i21k_l    C=  10 random   s0 | delta 0.0523 exc -0.1013 | NC 99.40->99.40 (+0.00pp, n=500) | 0s
i21k_l    C=  10 random   s1 | delta 0.0507 exc -0.1062 | NC 99.20->99.20 (+0.00pp, n=500) | 0s
i21k_l    C=  10 random   s2 | delta 0.0501 exc -0.1031 | NC 99.60->99.60 (+0.00pp, n=500) | 0s
i21k_l    C=  10 random   s3 | delta 0.0676 exc -0.0821 | NC 95.80->96.00 (+0.20pp, n=500) | 0s
i21k_l    C=  10 random   s4 | delta 0.0876 exc -0.0639 | NC 99.80->99.80 (+0.00pp, n=500) | 0s
i21k_l    C=  10 coherent s0 | delta 0.0874 exc -0.0760 | NC 94.20->94.40 (+0.20pp, n=500) | 0s
i21k_l    C=  10 coherent s1 | delta 0.0580 exc -0.1299 | NC 90.80->90.80 (+0.00pp, n=500) | 0s
i21k_l    C=  10 coherent s2 | delta 0.0980 exc -0.0742 | NC 92.60->92.20 (-0.40pp, n=500) | 0s
i21k_l    C=  10 coherent s3 | delta 0.0757 exc -0.0853 | NC 97.80->98.20 (+0.40pp, n=500) | 0s
i21k_l    C=  10 coherent s4 | delta 0.0880 exc -0.0837 | NC 94.60->94.00 (-0.60pp, n=500) | 0s
i21k_l    C=  20 random   s0 | delta 0.0605 exc -0.1365 | NC 98.80->98.90 (+0.10pp, n=1000) | 0s
i21k_l    C=  20 random   s1 | delta 0.0580 exc -0.1377 | NC 98.90->98.80 (-0.10pp, n=1000) | 1s
i21k_l    C=  20 random   s2 | delta 0.0696 exc -0.1263 | NC 98.50->98.50 (+0.00pp, n=1000) | 0s
i21k_l    C=  20 random   s3 | delta 0.0858 exc -0.1062 | NC 97.00->97.00 (+0.00pp, n=1000) | 0s
i21k_l    C=  20 random   s4 | delta 0.0806 exc -0.1139 | NC 98.40->98.50 (+0.10pp, n=1000) | 0s
i21k_l    C=  20 coherent s0 | delta 0.0901 exc -0.0992 | NC 94.20->94.50 (+0.30pp, n=1000) | 0s
i21k_l    C=  20 coherent s1 | delta 0.0717 exc -0.1167 | NC 94.50->94.50 (+0.00pp, n=1000) | 0s
i21k_l    C=  20 coherent s2 | delta 0.1078 exc -0.0823 | NC 88.10->87.80 (-0.30pp, n=1000) | 0s
i21k_l    C=  20 coherent s3 | delta 0.0764 exc -0.1103 | NC 97.30->97.60 (+0.30pp, n=1000) | 0s
i21k_l    C=  20 coherent s4 | delta 0.0887 exc -0.1013 | NC 91.40->90.60 (-0.80pp, n=1000) | 0s
i21k_l    C=  50 random   s0 | delta 0.0784 exc -0.0979 | NC 97.48->97.60 (+0.12pp, n=2500) | 2s
i21k_l    C=  50 random   s1 | delta 0.0771 exc -0.0981 | NC 97.24->97.12 (-0.12pp, n=2500) | 2s
i21k_l    C=  50 random   s2 | delta 0.0714 exc -0.1032 | NC 98.28->98.36 (+0.08pp, n=2500) | 2s
i21k_l    C=  50 random   s3 | delta 0.0899 exc -0.0866 | NC 95.92->96.16 (+0.24pp, n=2500) | 2s
i21k_l    C=  50 random   s4 | delta 0.0909 exc -0.0833 | NC 96.84->96.80 (-0.04pp, n=2500) | 2s
i21k_l    C=  50 coherent s0 | delta 0.0887 exc -0.0889 | NC 94.00->94.20 (+0.20pp, n=2500) | 2s
i21k_l    C=  50 coherent s1 | delta 0.0862 exc -0.0957 | NC 95.60->95.64 (+0.04pp, n=2500) | 2s
i21k_l    C=  50 coherent s2 | delta 0.1167 exc -0.0695 | NC 87.20->87.00 (-0.20pp, n=2500) | 2s
i21k_l    C=  50 coherent s3 | delta 0.0929 exc -0.0884 | NC 92.60->92.68 (+0.08pp, n=2500) | 2s
i21k_l    C=  50 coherent s4 | delta 0.0914 exc -0.0908 | NC 91.20->91.00 (-0.20pp, n=2500) | 2s
i21k_l    C= 100 random   s0 | delta 0.0895 exc -0.0617 | NC 95.52->95.60 (+0.08pp, n=5000) | 3s
i21k_l    C= 100 random   s1 | delta 0.0896 exc -0.0601 | NC 94.64->94.74 (+0.10pp, n=5000) | 2s
i21k_l    C= 100 random   s2 | delta 0.0852 exc -0.0639 | NC 96.70->96.66 (-0.04pp, n=5000) | 4s
i21k_l    C= 100 random   s3 | delta 0.0805 exc -0.0681 | NC 95.98->95.98 (+0.00pp, n=5000) | 4s
i21k_l    C= 100 random   s4 | delta 0.0938 exc -0.0549 | NC 96.06->96.16 (+0.10pp, n=5000) | 4s
i21k_l    C= 100 coherent s0 | delta 0.0882 exc -0.0630 | NC 92.26->92.70 (+0.44pp, n=5000) | 4s
i21k_l    C= 100 coherent s1 | delta 0.0840 exc -0.0640 | NC 94.02->94.18 (+0.16pp, n=5000) | 4s
i21k_l    C= 100 coherent s2 | delta 0.1247 exc -0.0345 | NC 85.72->85.50 (-0.22pp, n=5000) | 4s
i21k_l    C= 100 coherent s3 | delta 0.0909 exc -0.0562 | NC 88.72->88.68 (-0.04pp, n=5000) | 4s
i21k_l    C= 100 coherent s4 | delta 0.1055 exc -0.0485 | NC 91.42->91.52 (+0.10pp, n=5000) | 4s
i21k_l    C= 200 random   s0 | delta 0.0908 exc -0.0442 | NC 93.06->93.20 (+0.14pp, n=10000) | 5s
i21k_l    C= 200 random   s1 | delta 0.0917 exc -0.0444 | NC 93.73->93.79 (+0.06pp, n=10000) | 4s
i21k_l    C= 200 random   s2 | delta 0.0816 exc -0.0510 | NC 94.43->94.54 (+0.11pp, n=10000) | 4s
i21k_l    C= 200 random   s3 | delta 0.0861 exc -0.0480 | NC 94.22->94.31 (+0.09pp, n=10000) | 3s
i21k_l    C= 200 random   s4 | delta 0.0881 exc -0.0466 | NC 94.98->95.12 (+0.14pp, n=10000) | 4s
i21k_l    C= 200 coherent s0 | delta 0.0891 exc -0.0462 | NC 88.06->88.29 (+0.23pp, n=10000) | 4s
i21k_l    C= 200 coherent s1 | delta 0.0966 exc -0.0401 | NC 90.12->90.09 (-0.03pp, n=10000) | 3s
i21k_l    C= 200 coherent s2 | delta 0.1043 exc -0.0331 | NC 86.58->86.42 (-0.16pp, n=10000) | 4s
i21k_l    C= 200 coherent s3 | delta 0.0873 exc -0.0455 | NC 87.90->88.07 (+0.17pp, n=10000) | 4s
i21k_l    C= 200 coherent s4 | delta 0.1023 exc -0.0305 | NC 86.67->86.50 (-0.17pp, n=10000) | 4s
i21k_l    C= 500 random   s0 | delta 0.0813 exc -0.0373 | NC 89.54->89.58 (+0.04pp, n=25000) | 9s
i21k_l    C= 500 random   s1 | delta 0.0810 exc -0.0364 | NC 90.41->90.48 (+0.07pp, n=25000) | 10s
i21k_l    C= 500 coherent s0 | delta 0.1033 exc -0.0150 | NC 85.29->85.40 (+0.10pp, n=25000) | 9s
i21k_l    C= 500 coherent s1 | delta 0.0850 exc -0.0380 | NC 88.80->88.70 (-0.10pp, n=25000) | 9s
i21k_l    C=1000 random   s0 | delta 0.0794 exc -0.0357 | NC 86.14->86.18 (+0.03pp, n=50000) | 10s
dinov2_l  C=  10 random   s0 | delta 0.0226 exc -0.1304 | NC 92.60->93.80 (+1.20pp, n=500) | 0s
dinov2_l  C=  10 random   s1 | delta 0.0332 exc -0.1181 | NC 96.80->97.00 (+0.20pp, n=500) | 0s
dinov2_l  C=  10 random   s2 | delta 0.0205 exc -0.1316 | NC 99.00->99.20 (+0.20pp, n=500) | 0s
dinov2_l  C=  10 random   s3 | delta 0.0443 exc -0.1090 | NC 92.40->93.80 (+1.40pp, n=500) | 0s
dinov2_l  C=  10 random   s4 | delta 0.0318 exc -0.1181 | NC 92.60->94.80 (+2.20pp, n=500) | 0s
dinov2_l  C=  10 coherent s0 | delta 0.0310 exc -0.1334 | NC 82.20->82.20 (+0.00pp, n=500) | 0s
dinov2_l  C=  10 coherent s1 | delta 0.0598 exc -0.1189 | NC 84.40->84.40 (+0.00pp, n=500) | 0s
dinov2_l  C=  10 coherent s2 | delta 0.1005 exc -0.0659 | NC 92.20->92.80 (+0.60pp, n=500) | 0s
dinov2_l  C=  10 coherent s3 | delta 0.0327 exc -0.1216 | NC 97.00->97.60 (+0.60pp, n=500) | 0s
dinov2_l  C=  10 coherent s4 | delta 0.1171 exc -0.0380 | NC 84.80->84.00 (-0.80pp, n=500) | 0s
dinov2_l  C=  20 random   s0 | delta 0.0444 exc -0.1573 | NC 93.40->95.40 (+2.00pp, n=1000) | 0s
dinov2_l  C=  20 random   s1 | delta 0.0391 exc -0.1565 | NC 94.90->95.90 (+1.00pp, n=1000) | 0s
dinov2_l  C=  20 random   s2 | delta 0.0337 exc -0.1648 | NC 97.40->97.80 (+0.40pp, n=1000) | 0s
dinov2_l  C=  20 random   s3 | delta 0.0443 exc -0.1533 | NC 92.50->93.80 (+1.30pp, n=1000) | 0s
dinov2_l  C=  20 random   s4 | delta 0.0405 exc -0.1548 | NC 92.20->94.10 (+1.90pp, n=1000) | 0s
dinov2_l  C=  20 coherent s0 | delta 0.0688 exc -0.1272 | NC 87.00->87.20 (+0.20pp, n=1000) | 0s
dinov2_l  C=  20 coherent s1 | delta 0.0531 exc -0.1427 | NC 91.00->91.10 (+0.10pp, n=1000) | 0s
dinov2_l  C=  20 coherent s2 | delta 0.1116 exc -0.0870 | NC 84.60->84.40 (-0.20pp, n=1000) | 0s
dinov2_l  C=  20 coherent s3 | delta 0.0327 exc -0.1665 | NC 95.20->96.00 (+0.80pp, n=1000) | 0s
dinov2_l  C=  20 coherent s4 | delta 0.1335 exc -0.0649 | NC 83.20->82.90 (-0.30pp, n=1000) | 0s
dinov2_l  C=  50 random   s0 | delta 0.0453 exc -0.1267 | NC 90.24->92.80 (+2.56pp, n=2500) | 1s
dinov2_l  C=  50 random   s1 | delta 0.0433 exc -0.1290 | NC 93.52->94.80 (+1.28pp, n=2500) | 1s
dinov2_l  C=  50 random   s2 | delta 0.0505 exc -0.1210 | NC 96.00->96.48 (+0.48pp, n=2500) | 1s
dinov2_l  C=  50 random   s3 | delta 0.0538 exc -0.1190 | NC 91.40->92.72 (+1.32pp, n=2500) | 1s
dinov2_l  C=  50 random   s4 | delta 0.0512 exc -0.1245 | NC 90.88->93.16 (+2.28pp, n=2500) | 1s
dinov2_l  C=  50 coherent s0 | delta 0.0684 exc -0.1107 | NC 86.20->87.24 (+1.04pp, n=2500) | 1s
dinov2_l  C=  50 coherent s1 | delta 0.0530 exc -0.1201 | NC 93.48->93.52 (+0.04pp, n=2500) | 1s
dinov2_l  C=  50 coherent s2 | delta 0.1145 exc -0.0735 | NC 82.76->82.84 (+0.08pp, n=2500) | 1s
dinov2_l  C=  50 coherent s3 | delta 0.0854 exc -0.0968 | NC 88.44->89.28 (+0.84pp, n=2500) | 1s
dinov2_l  C=  50 coherent s4 | delta 0.1119 exc -0.0640 | NC 85.12->85.76 (+0.64pp, n=2500) | 1s
dinov2_l  C= 100 random   s0 | delta 0.0782 exc -0.0623 | NC 90.40->92.08 (+1.68pp, n=5000) | 2s
dinov2_l  C= 100 random   s1 | delta 0.0461 exc -0.0948 | NC 90.10->91.38 (+1.28pp, n=5000) | 2s
dinov2_l  C= 100 random   s2 | delta 0.0719 exc -0.0696 | NC 92.68->93.48 (+0.80pp, n=5000) | 2s
dinov2_l  C= 100 random   s3 | delta 0.0525 exc -0.0875 | NC 91.90->93.38 (+1.48pp, n=5000) | 2s
dinov2_l  C= 100 random   s4 | delta 0.0534 exc -0.0885 | NC 91.40->93.44 (+2.04pp, n=5000) | 2s
dinov2_l  C= 100 coherent s0 | delta 0.0592 exc -0.0833 | NC 86.08->87.48 (+1.40pp, n=5000) | 2s
dinov2_l  C= 100 coherent s1 | delta 0.0550 exc -0.0847 | NC 91.98->92.32 (+0.34pp, n=5000) | 2s
dinov2_l  C= 100 coherent s2 | delta 0.1185 exc -0.0369 | NC 81.36->81.78 (+0.42pp, n=5000) | 2s
dinov2_l  C= 100 coherent s3 | delta 0.0795 exc -0.0659 | NC 83.82->84.82 (+1.00pp, n=5000) | 2s
dinov2_l  C= 100 coherent s4 | delta 0.1125 exc -0.0325 | NC 86.52->87.22 (+0.70pp, n=5000) | 2s
dinov2_l  C= 200 random   s0 | delta 0.0611 exc -0.0549 | NC 88.13->89.78 (+1.65pp, n=10000) | 3s
dinov2_l  C= 200 random   s1 | delta 0.0559 exc -0.0602 | NC 88.65->89.89 (+1.24pp, n=10000) | 3s
dinov2_l  C= 200 random   s2 | delta 0.0693 exc -0.0460 | NC 89.71->91.26 (+1.55pp, n=10000) | 4s
dinov2_l  C= 200 random   s3 | delta 0.0529 exc -0.0628 | NC 89.54->90.66 (+1.12pp, n=10000) | 3s
dinov2_l  C= 200 random   s4 | delta 0.0701 exc -0.0452 | NC 90.74->92.43 (+1.69pp, n=10000) | 3s
dinov2_l  C= 200 coherent s0 | delta 0.0669 exc -0.0521 | NC 81.95->83.26 (+1.31pp, n=10000) | 3s
dinov2_l  C= 200 coherent s1 | delta 0.0968 exc -0.0210 | NC 86.79->86.86 (+0.07pp, n=10000) | 4s
dinov2_l  C= 200 coherent s2 | delta 0.0988 exc -0.0253 | NC 82.98->82.97 (-0.01pp, n=10000) | 4s
dinov2_l  C= 200 coherent s3 | delta 0.0664 exc -0.0523 | NC 82.29->83.55 (+1.26pp, n=10000) | 4s
dinov2_l  C= 200 coherent s4 | delta 0.1040 exc -0.0212 | NC 81.62->81.96 (+0.34pp, n=10000) | 4s
dinov2_l  C= 500 random   s0 | delta 0.0537 exc -0.0341 | NC 83.49->84.61 (+1.12pp, n=25000) | 9s
