model,paradigm,d_orig,d_common,delta_pca,delta_pca_std,delta_gauss_matched
i21k_t,Supervised,192,192,0.1229479213028363,0.0034839786456970275,0.10383773048619953
i21k_s,Supervised,384,192,0.11344546484295681,0.008187317396003039,0.10383773048619953
i21k_b,Supervised,768,192,0.10966875625699288,0.008039078714264338,0.10383773048619953
i21k_l,Supervised,1024,192,0.10381461134980959,0.004405293984186594,0.10383773048619953
dinov1_b,SSL,768,192,0.11608186539806582,0.0028786941356851565,0.10383773048619953
dinov2_s,SSL,384,192,0.12823183962089985,0.010002848809216909,0.10383773048619953
dinov2_b,SSL,768,192,0.11658813579392062,0.007929384088847566,0.10383773048619953
dinov2_l,SSL,1024,192,0.08531238842759274,0.008736803203621041,0.10383773048619953
dinov2_g,SSL,1536,192,0.11115978758941303,0.007793604796855736,0.10383773048619953
clip_b,Contrastive,512,192,0.12494836130642133,0.004121848050687095,0.10383773048619953
clip_l,Contrastive,768,192,0.12413469209003361,0.00481427027889844,0.10383773048619953
siglip_b,Contrastive,768,192,0.12006149215870995,0.006622823789330433,0.10383773048619953
