model,paradigm,n,d,delta_real,delta_specnull,delta_specnull_std,excess
i21k_t,Supervised,1000,192,0.12294791897025936,0.14201971223057233,0.004108627705123401,-0.01907179326031297
i21k_s,Supervised,1000,384,0.10425233655119796,0.11923007464540998,0.002023451686757266,-0.014977738094212018
i21k_b,Supervised,1000,768,0.092236951199716,0.11535593900384916,0.0052274293443719975,-0.023118987804133156
i21k_l,Supervised,1000,1024,0.0842537907539591,0.11555910448051947,0.003740466605881001,-0.03130531372656037
dinov1_b,SSL,1000,768,0.10907397644615376,0.1196863158832383,0.003303098702862498,-0.010612339437084548
dinov2_s,SSL,1000,384,0.11934023713553761,0.10829955597558544,0.000948205885742844,0.011040681159952173
dinov2_b,SSL,1000,768,0.09609312291691063,0.0852952233775014,0.00207278513024925,0.01079789953940924
dinov2_l,SSL,1000,1024,0.06707243551446997,0.07761416438723423,0.00174710922972037,-0.010541728872764264
dinov2_g,SSL,1000,1536,0.080310193643202,0.07534664648714638,0.0016787024727434234,0.004963547156055612
clip_b,Contrastive,1000,512,0.12182197580918697,0.14256913217070497,0.0015473573052692063,-0.020747156361518
clip_l,Contrastive,1000,768,0.11797463893929158,0.13752110572342033,0.006162491427891916,-0.019546466784128746
siglip_b,Contrastive,1000,768,0.11547823498516958,0.13277254734191876,0.003657699537462086,-0.017294312356749178
