model_a,model_b,knn_R,knn_H,knn_null,knn_cal_R,knn_cal_H,cka_R,cka_H,cka_null,cka_null_H,cka_cal_R,cka_cal_H,time_s
i21k_t,i21k_s,0.7091999999999999,0.6527000000000001,0.010033333333333333,0.6991666666666666,0.6426666666666667,0.8568255305290222,0.8620452519017916,0.04062962904572487,0.04042884095682516,0.8161959014832973,0.8216164109449664,0.0843496322631836
i21k_t,i21k_b,0.6434,0.5897,0.010766666666666667,0.6326333333333333,0.5789333333333333,0.8174417018890381,0.8214041023912363,0.044471061478058495,0.04427417473867203,0.7729706404109796,0.7771299276525643,0.28281521797180176
i21k_t,i21k_l,0.6144999999999999,0.5488999999999999,0.010700000000000001,0.6037999999999999,0.5381999999999999,0.8411877155303955,0.845148352244623,0.04281801854570707,0.04271770196746213,0.7983696969846884,0.8024306502771609,0.18520379066467285
i21k_t,dinov1_b,0.6642,0.5574,0.010466666666666666,0.6537333333333334,0.5469333333333334,0.7675214409828186,0.7770261406676157,0.051564120997985206,0.05121923381575053,0.7159573199848334,0.7258069068518651,0.04943394660949707
i21k_t,dinov2_s,0.5287,0.4006,0.010433333333333334,0.5182666666666667,0.39016666666666666,0.4511338472366333,0.4627156279361454,0.0660200168689092,0.06628120241455333,0.3851138303677241,0.3964344255215921,0.0526120662689209
i21k_t,dinov2_b,0.2734,0.1955,0.011200000000000002,0.2622,0.18430000000000002,0.3902797996997833,0.40317059516729054,0.0922689139842987,0.0923011486756304,0.2980108857154846,0.31086944649166015,0.048777103424072266
i21k_t,dinov2_l,0.1819,0.1412,0.010666666666666666,0.17123333333333335,0.13053333333333333,0.3991927206516266,0.4147998304659251,0.10417825231949489,0.10448939917086987,0.2950144683321317,0.31031043129505526,0.11495590209960938
i21k_t,dinov2_g,0.1809,0.1421,0.011366666666666666,0.16953333333333334,0.13073333333333334,0.3821108043193817,0.3968275366115902,0.1090574140350024,0.10963324789390194,0.2730533902843793,0.28719428871768826,0.19835114479064941
i21k_t,clip_b,0.7038,0.6793,0.010266666666666669,0.6935333333333333,0.6690333333333334,0.8567737340927124,0.8620606889354956,0.024100760618845623,0.023846281939444474,0.8326729734738668,0.8382144069960511,0.04233241081237793
i21k_t,clip_l,0.6623,0.6291,0.010066666666666666,0.6522333333333333,0.6190333333333333,0.8433988690376282,0.8480481821567675,0.029920831322669983,0.02978625551569201,0.8134780377149582,0.8182619266410754,0.04931020736694336
i21k_t,siglip_b,0.6848,0.6546000000000001,0.010066666666666666,0.6747333333333333,0.6445333333333334,0.8534761667251587,0.8595680720322999,0.029031310851375263,0.028943969775872446,0.8244448558737835,0.8306241022564275,0.051146507263183594
i21k_s,i21k_b,0.7534,0.7169,0.010333333333333333,0.7430666666666667,0.7065666666666667,0.8558341264724731,0.8587425637205651,0.06477417796850204,0.06441040350039064,0.7910599485039711,0.7943321602201745,0.06861662864685059
i21k_s,i21k_l,0.6964,0.6462,0.010033333333333333,0.6863666666666667,0.6361666666666667,0.8596717119216919,0.862876420900353,0.0625607930123806,0.06231919828029503,0.7971109189093113,0.8005572226200579,0.10466527938842773
i21k_s,dinov1_b,0.6355000000000001,0.5553,0.010233333333333332,0.6252666666666667,0.5450666666666667,0.7535991668701172,0.7626088764429771,0.07533749689658482,0.07467014117735579,0.6782616699735323,0.6879387352656213,0.06394052505493164
i21k_s,dinov2_s,0.5333,0.44539999999999996,0.010733333333333333,0.5225666666666666,0.43466666666666665,0.4912565350532532,0.5014443817428823,0.09718197335799535,0.09736069638203944,0.39407456169525784,0.4040836853608429,0.06191515922546387
i21k_s,dinov2_b,0.3122,0.2585,0.011066666666666664,0.3011333333333333,0.24743333333333334,0.4625660181045532,0.4741790588003574,0.13593330482641855,0.13568060816873792,0.3266327132781347,0.33849845063161943,0.14644122123718262
i21k_s,dinov2_l,0.2157,0.199,0.010333333333333333,0.20536666666666667,0.18866666666666668,0.4678923785686493,0.4825212330138553,0.15252355734507242,0.1526330167873635,0.3153688212235769,0.3298882162264918,0.1344132423400879
i21k_s,dinov2_g,0.2113,0.19690000000000002,0.011533333333333333,0.19976666666666665,0.18536666666666668,0.4620339572429657,0.47570228928704056,0.15972147385279337,0.16025910973064061,0.30231248339017236,0.31544317955639994,0.18425369262695312
i21k_s,clip_b,0.6333,0.5721,0.010066666666666668,0.6232333333333333,0.5620333333333334,0.8413447737693787,0.845034088245972,0.035213944812615715,0.034814467976814145,0.8061308289567629,0.8102196202691578,0.05632662773132324
i21k_s,clip_l,0.6588,0.6125,0.009733333333333335,0.6490666666666667,0.6027666666666667,0.8340693712234497,0.839777767064107,0.04364853103955587,0.04341622138599673,0.7904208401838938,0.7963615456781102,0.06805300712585449
i21k_s,siglip_b,0.6639,0.6134000000000001,0.0096,0.6543,0.6038,0.8346306681632996,0.8414675396080313,0.04238617544372877,0.04217932486034237,0.7922444927195708,0.799288214747689,0.06373929977416992
i21k_b,i21k_l,0.7672,0.7208,0.010766666666666667,0.7564333333333333,0.7100333333333333,0.8948047161102295,0.897116475118881,0.06795108566681544,0.06772620525050485,0.8268536304434141,0.8293902698683762,0.10744786262512207
i21k_b,dinov1_b,0.6043999999999999,0.5156,0.011133333333333334,0.5932666666666666,0.5044666666666666,0.7532510757446289,0.7601280033263547,0.08141323675711949,0.08073401049204931,0.6718378389875094,0.6793939928343053,0.06636238098144531
i21k_b,dinov2_s,0.5014000000000001,0.3972,0.010766666666666667,0.4906333333333334,0.38643333333333335,0.47558149695396423,0.485391843769339,0.10561150809129079,0.10583604942532826,0.36996998886267346,0.37955579434401077,0.06289291381835938
i21k_b,dinov2_b,0.30870000000000003,0.2334,0.011133333333333334,0.2975666666666667,0.22226666666666667,0.4647101163864136,0.4762042916819926,0.14677350719769797,0.14660830619025136,0.3179366091887156,0.3295959854917412,0.0661003589630127
i21k_b,dinov2_l,0.2184,0.1772,0.010333333333333333,0.20806666666666668,0.16686666666666666,0.4817773103713989,0.49637908390363095,0.16504697501659393,0.1652687141767424,0.316730335354805,0.33111036972688856,0.0941324234008789
i21k_b,dinov2_g,0.21389999999999998,0.1757,0.010733333333333333,0.20316666666666663,0.16496666666666665,0.4736342132091522,0.4879652883865718,0.1729623277982076,0.17363231365896223,0.3006718854109446,0.31433297472760957,0.17255926132202148
i21k_b,clip_b,0.5902999999999999,0.5351,0.010333333333333333,0.5799666666666666,0.5247666666666667,0.8371570706367493,0.839890446422964,0.03827752421299616,0.0378526020780153,0.7988795464237531,0.8020378443449486,0.060915231704711914
i21k_b,clip_l,0.6341,0.5793999999999999,0.010166666666666666,0.6239333333333333,0.5692333333333333,0.8369333744049072,0.8425721920696108,0.047424369802077614,0.04720132793471992,0.7895090046028296,0.7953708641348909,0.06629586219787598
i21k_b,siglip_b,0.6371,0.5819,0.009566666666666668,0.6275333333333333,0.5723333333333334,0.8288281559944153,0.8354848533340747,0.046198358138402305,0.04598264691495551,0.7826297978560129,0.7895022064191193,0.06589055061340332
i21k_l,dinov1_b,0.5725,0.4847,0.010433333333333334,0.5620666666666667,0.47426666666666667,0.7708580493927002,0.7756933047357424,0.0797693207859993,0.0792195555455928,0.6910887286067009,0.6964737491901496,0.09775733947753906
i21k_l,dinov2_s,0.4694,0.3752,0.010333333333333332,0.4590666666666667,0.3648666666666667,0.468719482421875,0.4773984274004576,0.102989062666893,0.10334744198474581,0.365730419754982,0.3740509854157118,0.0853726863861084
i21k_l,dinov2_b,0.2948,0.23650000000000002,0.010266666666666667,0.28453333333333336,0.22623333333333334,0.452457994222641,0.4630769704334459,0.14328626294930777,0.1433480466861502,0.3091717312733332,0.3197289237472957,0.09237217903137207
i21k_l,dinov2_l,0.21880000000000002,0.1887,0.009533333333333333,0.20926666666666668,0.17916666666666667,0.47127681970596313,0.48498641069416004,0.16114996870358786,0.16163406544062617,0.31012685100237525,0.32335234525353385,0.11848783493041992
i21k_l,dinov2_g,0.21269999999999997,0.1879,0.009966666666666665,0.20273333333333332,0.17793333333333333,0.4632287323474884,0.4763913493110001,0.16918009519577026,0.1701299467367545,0.29404863715171814,0.3062614025742456,0.20135235786437988
i21k_l,clip_b,0.5779,0.5058,0.010066666666666666,0.5678333333333333,0.49573333333333336,0.8630441427230835,0.8648373520392496,0.03762109329303106,0.037257281364256045,0.8254230494300524,0.8275800706749936,0.09103202819824219
i21k_l,clip_l,0.6357999999999999,0.5769,0.010166666666666666,0.6256333333333333,0.5667333333333333,0.8605311512947083,0.8640569133601802,0.046504183361927666,0.04636703092880406,0.8140269679327806,0.8176898824313762,0.08947873115539551
i21k_l,siglip_b,0.6343,0.5819,0.009666666666666667,0.6246333333333333,0.5722333333333333,0.8587859869003296,0.8641445745071182,0.0452114666501681,0.04506690024894958,0.8135745202501615,0.8190776742581687,0.08967733383178711
dinov1_b,dinov2_s,0.5723,0.4909,0.009933333333333334,0.5623666666666667,0.48096666666666665,0.6758366823196411,0.6797695542620112,0.12333960831165314,0.1230669360710996,0.552497074007988,0.5567026181909116,0.0627446174621582
dinov1_b,dinov2_b,0.3039,0.24220000000000003,0.011566666666666668,0.29233333333333333,0.23063333333333336,0.570107638835907,0.5783505330007436,0.1719497044881185,0.17096548465120687,0.39815793434778846,0.4073850483495367,0.06597113609313965
dinov1_b,dinov2_l,0.20329999999999998,0.1764,0.011066666666666667,0.1922333333333333,0.16533333333333333,0.5506102442741394,0.5621578090635604,0.19350580871105194,0.1928942305673187,0.35710443556308746,0.3692635784962417,0.0954582691192627
