model_a,model_b,par_a,par_b,align_R,align_H,gain
i21k_t,i21k_s,Supervised,Supervised,0.7091999999999999,0.6527000000000001,-0.056499999999999884
i21k_t,i21k_b,Supervised,Supervised,0.6434,0.5897,-0.05369999999999997
i21k_t,i21k_l,Supervised,Supervised,0.6144999999999999,0.5488999999999999,-0.06559999999999999
i21k_t,dinov1_b,Supervised,SSL,0.6642,0.5574,-0.1068
i21k_t,dinov2_s,Supervised,SSL,0.5287,0.4006,-0.12809999999999994
i21k_t,dinov2_b,Supervised,SSL,0.2734,0.1955,-0.07789999999999997
i21k_t,dinov2_l,Supervised,SSL,0.1819,0.1412,-0.040700000000000014
i21k_t,dinov2_g,Supervised,SSL,0.1809,0.1421,-0.0388
i21k_t,clip_b,Supervised,Contrastive,0.7038,0.6793,-0.024499999999999966
i21k_t,clip_l,Supervised,Contrastive,0.6623,0.6291,-0.03320000000000001
i21k_t,siglip_b,Supervised,Contrastive,0.6848,0.6546000000000001,-0.030199999999999894
i21k_s,i21k_b,Supervised,Supervised,0.7534,0.7169,-0.03649999999999998
i21k_s,i21k_l,Supervised,Supervised,0.6964,0.6462,-0.05020000000000002
i21k_s,dinov1_b,Supervised,SSL,0.6355000000000001,0.5553,-0.08020000000000005
i21k_s,dinov2_s,Supervised,SSL,0.5333,0.44539999999999996,-0.08790000000000003
i21k_s,dinov2_b,Supervised,SSL,0.3122,0.2585,-0.05369999999999997
i21k_s,dinov2_l,Supervised,SSL,0.2157,0.199,-0.016699999999999993
i21k_s,dinov2_g,Supervised,SSL,0.2113,0.19690000000000002,-0.014399999999999968
i21k_s,clip_b,Supervised,Contrastive,0.6333,0.5721,-0.06119999999999992
i21k_s,clip_l,Supervised,Contrastive,0.6588,0.6125,-0.04630000000000001
i21k_s,siglip_b,Supervised,Contrastive,0.6639,0.6134000000000001,-0.05049999999999999
i21k_b,i21k_l,Supervised,Supervised,0.7672,0.7208,-0.0464
i21k_b,dinov1_b,Supervised,SSL,0.6043999999999999,0.5156,-0.08879999999999999
i21k_b,dinov2_s,Supervised,SSL,0.5014000000000001,0.3972,-0.10420000000000007
i21k_b,dinov2_b,Supervised,SSL,0.30870000000000003,0.2334,-0.07530000000000003
i21k_b,dinov2_l,Supervised,SSL,0.2184,0.1772,-0.041200000000000014
i21k_b,dinov2_g,Supervised,SSL,0.21389999999999998,0.1757,-0.038199999999999984
i21k_b,clip_b,Supervised,Contrastive,0.5902999999999999,0.5351,-0.055199999999999916
i21k_b,clip_l,Supervised,Contrastive,0.6341,0.5793999999999999,-0.05470000000000008
i21k_b,siglip_b,Supervised,Contrastive,0.6371,0.5819,-0.05520000000000003
i21k_l,dinov1_b,Supervised,SSL,0.5725,0.4847,-0.08779999999999999
i21k_l,dinov2_s,Supervised,SSL,0.4694,0.3752,-0.0942
i21k_l,dinov2_b,Supervised,SSL,0.2948,0.23650000000000002,-0.05829999999999999
i21k_l,dinov2_l,Supervised,SSL,0.21880000000000002,0.1887,-0.030100000000000016
i21k_l,dinov2_g,Supervised,SSL,0.21269999999999997,0.1879,-0.02479999999999996
i21k_l,clip_b,Supervised,Contrastive,0.5779,0.5058,-0.07209999999999994
i21k_l,clip_l,Supervised,Contrastive,0.6357999999999999,0.5769,-0.05889999999999995
i21k_l,siglip_b,Supervised,Contrastive,0.6343,0.5819,-0.0524
dinov1_b,dinov2_s,SSL,SSL,0.5723,0.4909,-0.08140000000000003
dinov1_b,dinov2_b,SSL,SSL,0.3039,0.24220000000000003,-0.06169999999999998
dinov1_b,dinov2_l,SSL,SSL,0.20329999999999998,0.1764,-0.02689999999999998
dinov1_b,dinov2_g,SSL,SSL,0.2011,0.1748,-0.02629999999999999
dinov1_b,clip_b,SSL,Contrastive,0.5836,0.4867,-0.09689999999999999
dinov1_b,clip_l,SSL,Contrastive,0.5769,0.4929,-0.08399999999999996
dinov1_b,siglip_b,SSL,Contrastive,0.5964,0.5009,-0.09550000000000003
dinov2_s,dinov2_b,SSL,SSL,0.4689,0.5077,0.03880000000000006
dinov2_s,dinov2_l,SSL,SSL,0.3409,0.4181,0.07720000000000005
dinov2_s,dinov2_g,SSL,SSL,0.3423,0.41929999999999995,0.07699999999999996
dinov2_s,clip_b,SSL,Contrastive,0.47919999999999996,0.3624,-0.11679999999999996
dinov2_s,clip_l,SSL,Contrastive,0.49029999999999996,0.3895,-0.10079999999999995
dinov2_s,siglip_b,SSL,Contrastive,0.5093,0.395,-0.11429999999999996
dinov2_b,dinov2_l,SSL,SSL,0.7191,0.8089000000000001,0.0898000000000001
dinov2_b,dinov2_g,SSL,SSL,0.6845,0.7423,0.05779999999999996
dinov2_b,clip_b,SSL,Contrastive,0.253,0.18560000000000001,-0.06739999999999999
dinov2_b,clip_l,SSL,Contrastive,0.2843,0.2257,-0.058599999999999985
dinov2_b,siglip_b,SSL,Contrastive,0.2889,0.21749999999999997,-0.07140000000000002
dinov2_l,dinov2_g,SSL,SSL,0.7727999999999999,0.8101,0.03730000000000011
dinov2_l,clip_b,SSL,Contrastive,0.1695,0.1348,-0.03470000000000001
dinov2_l,clip_l,SSL,Contrastive,0.1971,0.1718,-0.02529999999999999
dinov2_l,siglip_b,SSL,Contrastive,0.1983,0.1643,-0.034
dinov2_g,clip_b,SSL,Contrastive,0.1701,0.1366,-0.0335
dinov2_g,clip_l,SSL,Contrastive,0.1967,0.1731,-0.02360000000000001
dinov2_g,siglip_b,SSL,Contrastive,0.19519999999999998,0.1645,-0.030699999999999977
clip_b,clip_l,Contrastive,Contrastive,0.7542,0.7049000000000001,-0.0492999999999999
clip_b,siglip_b,Contrastive,Contrastive,0.7186,0.6755,-0.04310000000000003
clip_l,siglip_b,Contrastive,Contrastive,0.7603,0.7264999999999999,-0.03380000000000005
