model,paradigm,ari_R,nmi_R,ari_H,nmi_H,rho_single_mean,rho_single_std,rho_centroid
i21k_t,Supervised,0.30756143667296787,0.7384024395296112,0.2394125312194592,0.6925958495599136,0.33485813746886406,0.0064857226856790086,0.5170551000478464
i21k_s,Supervised,0.3552735203247107,0.7747428975655865,0.2747931563775224,0.7282571570990009,0.11918967661568936,0.011048163155008303,0.4922781512608795
i21k_b,Supervised,0.3882798485150488,0.7800298673091132,0.3632465543644717,0.7807341125353768,0.17648193393832518,0.01696683868928659,0.4797823032417266
i21k_l,Supervised,0.3800397758090761,0.7766517671837075,0.3462905972691147,0.7653223983251555,0.2327759224455915,0.01162908252437899,0.5254006917218316
dinov1_b,SSL,0.21582373560340512,0.7037684914277569,0.1874755734600006,0.6843978809392605,0.2000509716120467,0.00803241816552923,0.3583854476081711
dinov2_s,SSL,0.11836676172117698,0.6250064217915116,0.04248128445225429,0.4970075069638899,0.15286219274115967,0.005458451246744188,0.21829329271233883
dinov2_b,SSL,0.017072096170185985,0.3947928444312107,0.003402168150371929,0.31106177760433834,0.11813426680344541,0.007445643618196554,0.17988308007669765
dinov2_l,SSL,0.005092961894827269,0.3342178414414765,0.002574370709382151,0.2972692310572562,0.08259059918139579,0.010105532173174756,0.17816567553198787
dinov2_g,SSL,0.003402168150371929,0.3097358825808598,0.003402168150371929,0.3097358825808598,0.03027703954526152,0.012883412782379878,0.19539761051833596
clip_b,Contrastive,0.1794548649121032,0.6872485952639202,0.16325766211770837,0.6766504784028106,0.22479707059991413,0.014947200773673569,0.56388898099352
clip_l,Contrastive,0.3487145989828769,0.7624218636184581,0.22435752814980414,0.7099434136355899,0.27009980344079726,0.007884992464986527,0.5918074451660784
siglip_b,Contrastive,0.22195602525637007,0.7242303087206189,0.1687225852654194,0.6817805349914635,0.23475760497281267,0.01228936634346063,0.5767587620059181
