model,paradigm,rho_eucl,rho_cos,triplet_eucl,triplet_cos
i21k_t,Supervised,0.5170551000478464,0.4771403368599878,0.6961858079414687,0.6815141304408164
i21k_s,Supervised,0.4922781512608795,0.4418299416163579,0.6989058692261149,0.681408658676718
i21k_b,Supervised,0.4797823032417266,0.30320955754561585,0.6968463942534542,0.6439717335672216
i21k_l,Supervised,0.5254006917218316,0.4601275708677814,0.7130113298879224,0.6934546443658649
dinov1_b,SSL,0.3583854476081711,0.45864292063138723,0.6314094913485397,0.6584158141032402
dinov2_s,SSL,0.21829329271233883,0.13356134326116748,0.574793358609549,0.5459329532649062
dinov2_b,SSL,0.17988308007669765,0.1766181587697063,0.5616204903881916,0.5633413454866412
dinov2_l,SSL,0.17816567553198787,0.244458661075653,0.5586117695386443,0.5854293533470631
dinov2_g,SSL,0.19539761051833596,0.23199188414272282,0.5634024080869088,0.5826426783166706
clip_b,Contrastive,0.56388898099352,0.5442859324125432,0.7337393071060213,0.7311913313312202
clip_l,Contrastive,0.5918074451660784,0.5671571739413112,0.7324236856275292,0.7313301099681919
siglip_b,Contrastive,0.5767587620059181,0.5064675060943957,0.7297424823612353,0.7125616871041339
