model,paradigm,n_edges,frac_within,orc_within,orc_across,fneg_within,fneg_across
i21k_t,Supervised,6999,0.8701243034719246,0.34670608974165695,0.18799739725278228,0.05139573070607553,0.13861386138613863
i21k_s,Supervised,7430,0.9,0.34765078743927835,0.25802980658030733,0.03992821893225662,0.11036339165545088
i21k_b,Supervised,7652,0.9296915838996341,0.37294465197481086,0.3482162613047735,0.030362665167275794,0.04460966542750929
i21k_l,Supervised,7569,0.9031576165940018,0.3841363001833147,0.32064442098037454,0.028671737858396724,0.058663028649386086
dinov1_b,SSL,7740,0.9354005167958657,0.37305347996532884,0.39144789365873295,0.034668508287292815,0.008
dinov2_s,SSL,8058,0.9357160585753289,0.35628832106589464,0.4569508123695123,0.01989389920424403,0.0
dinov2_b,SSL,9183,0.9664597626048133,0.6163417976145984,0.7899164362677905,0.0014647887323943661,0.0
dinov2_l,SSL,9487,0.969431854116159,0.6879357497944566,0.8275332903983023,0.00032619332390997064,0.0
dinov2_g,SSL,9445,0.96929592376919,0.696175315114574,0.8271331594128978,0.0,0.0
clip_b,Contrastive,7158,0.8593182453199217,0.3520396580944311,0.21811777734898505,0.04161924890261746,0.1221449851042701
clip_l,Contrastive,7107,0.8719572252708597,0.34281142827515426,0.20859688346151609,0.0477650476036792,0.11978021978021978
siglip_b,Contrastive,7043,0.8547493965639642,0.33335900218154507,0.18603973671627427,0.04817275747508306,0.13978494623655913
