model,paradigm,variant,delta,delta_std,var_retained
i21k_t,Supervised,pca192,0.12265904431836976,0.003725129966712641,1.0
i21k_t,Supervised,rp192,0.1363368974781927,0.00415348091795915,
i21k_s,Supervised,pca192,0.10624749612326853,0.00621558423876999,0.9030501246452332
i21k_s,Supervised,pca384,0.09710508638403316,0.006433847271930342,1.0
i21k_s,Supervised,rp192,0.11876166854295457,0.004059890877960838,
i21k_b,Supervised,pca192,0.10652963785901433,0.006329225654112008,0.8056009411811829
i21k_b,Supervised,pca384,0.09305596180025735,0.007891991359337859,0.9500774145126343
i21k_b,Supervised,rp192,0.10871892350032593,0.0037002361203863168,
i21k_l,Supervised,pca192,0.10390834774272999,0.004631811035494123,0.794468879699707
i21k_l,Supervised,pca384,0.08985624323412941,0.003999655810273649,0.935723066329956
i21k_l,Supervised,rp192,0.11301403641959673,0.002175493102138102,
dinov1_b,SSL,pca192,0.12019774405458486,0.005514823066843562,0.8864486813545227
dinov1_b,SSL,pca384,0.11450727717394482,0.005589955570265904,0.9851774573326111
dinov1_b,SSL,rp192,0.11108474681618807,0.004658715192294758,
dinov2_s,SSL,pca192,0.1268782475719479,0.011020450815822667,0.8978036046028137
dinov2_s,SSL,pca384,0.11854299952411382,0.010082533138543579,1.0
dinov2_s,SSL,rp192,0.11646220578115984,0.004638354996906423,
dinov2_b,SSL,pca192,0.11335930529872296,0.006069322534817121,0.6850073337554932
dinov2_b,SSL,pca384,0.09930944105033117,0.009168156602777928,0.9191007018089294
dinov2_b,SSL,rp192,0.10019827996209792,0.002098039933764743,
dinov2_l,SSL,pca192,0.08933882400865807,0.01013933329081817,0.5958135724067688
dinov2_l,SSL,pca384,0.07881504739044658,0.0067212479141484085,0.8562459945678711
dinov2_l,SSL,rp192,0.09390030065816761,0.0007692957846973764,
dinov2_g,SSL,pca192,0.11036782734545995,0.005336612942751628,0.5587356686592102
dinov2_g,SSL,pca384,0.09578841038982311,0.006278475867160139,0.8204976916313171
dinov2_g,SSL,rp192,0.09830126938074284,0.001916494121001545,
clip_b,Contrastive,pca192,0.12340154134303086,0.005412346221658507,0.9711266160011292
clip_b,Contrastive,pca384,0.11970697069424127,0.005265464899416998,0.9983304142951965
clip_b,Contrastive,rp192,0.1307858104078099,0.004200831888491885,
clip_l,Contrastive,pca192,0.12332315339331809,0.00634807296279325,0.9395383596420288
clip_l,Contrastive,pca384,0.11846737087298354,0.005167923477007978,0.9919945597648621
clip_l,Contrastive,rp192,0.12541864329596777,0.004021721391164804,
siglip_b,Contrastive,pca192,0.11917490974241862,0.010308781529781059,0.9470371007919312
siglip_b,Contrastive,pca384,0.11424660480494872,0.009076520950041743,0.9933283925056458
siglip_b,Contrastive,rp192,0.1282223736846196,0.002468352980600532,
