model,dataset,n_sup,delta,delta_sd,nullA_mean,nullA_sd,excessA,nullB_mean,nullB_sd,excessB,zB,time_s
i21k_t,imagenet,30,0.13995610591662577,0.00515029483378623,0.14821219830034776,0.008911042834891351,-0.008256092383721991,0.15591154830528314,0.006331404326055856,-0.01595544238865737,-1.954933118611333,12.772834539413452
i21k_s,imagenet,30,0.11267257201978109,0.004677295442700293,0.13104679191127153,0.005329250157614721,-0.018374219891490434,0.1407961120781714,0.007655586730574816,-0.028123540058390295,-3.1348173405617685,14.775404930114746
i21k_b,imagenet,30,0.11342182635045166,0.004668948469678963,0.13963498415831696,0.005888219431693291,-0.026213157807865303,0.14769787904560489,0.010573507448328094,-0.03427605269515323,-2.9654499370356757,18.95327615737915
i21k_l,imagenet,30,0.10136989103099658,0.002913243408846331,0.12759440783859916,0.0067545975792808076,-0.02622451680760257,0.1333341343458611,0.0055312084975976,-0.03196424331486453,-5.11305164401838,30.74905824661255
dinov1_b,imagenet,30,0.11215371720064467,0.005159968490903539,0.11792734273887576,0.005276124132180186,-0.005773625538231089,0.12804301445410077,0.008422283093271633,-0.0158892972534561,-1.6086757332618524,25.06060481071472
dinov2_s,imagenet,30,0.11946804374327194,0.011836764895877743,0.11003392183727574,0.004483928139606696,0.009434121905996198,0.12440425911753919,0.007130478169216775,-0.00493621537426725,-0.3572162223801948,20.695242881774902
dinov2_b,imagenet,30,0.09538213572924951,0.00837724196518084,0.0903773683714284,0.0013752544811577595,0.005004767357821113,0.10511667121175165,0.008163513350960324,-0.009734535482502138,-0.8322209435132827,26.25910758972168
dinov2_l,imagenet,30,0.07108348975897645,0.008849156390472906,0.08211822991249004,0.0013579966864607782,-0.011034740153513592,0.10512382895415937,0.007305121447739906,-0.034040339195182914,-2.966515047744053,33.96844434738159
dinov2_g,imagenet,30,0.07943258716889476,0.0066441289344806274,0.0772277468704949,0.0021157237268091262,0.00220484029839986,0.10834964087596924,0.01784557720705497,-0.02891705370707448,-1.5185696191220444,43.09352493286133
clip_b,imagenet,30,0.12302522715153039,0.005644122493340373,0.1443085087487644,0.005865273021119629,-0.021283281597234027,0.147452303409885,0.011288824478539313,-0.024427076258354607,-1.9354066093865445,17.228657484054565
clip_l,imagenet,30,0.12073955720395646,0.006568586537007707,0.13895198941771966,0.007737516972200433,-0.018212432213763202,0.13216261836451543,0.006065181843678676,-0.011423061160558967,-1.2776741195990238,18.491132974624634
siglip_b,imagenet,30,0.11381965718742892,0.008088544319572349,0.13235309306927961,0.006771347224124424,-0.01853343588185069,0.1322415633910376,0.006166168678972829,-0.018421906203608673,-1.8112455290978977,16.641027450561523
i21k_t,cifar100,20,0.16886612693773034,0.0027071835325949705,0.21193864558864722,0.011470943039985294,-0.04307251865091688,0.19795446380450774,0.010894027369404216,-0.029088336866777392,-2.591305808875737,5.9135048389434814
i21k_s,cifar100,20,0.1565304832589991,0.005482901565579968,0.18991817031843392,0.006347884033883907,-0.03338768705943482,0.1843477812695208,0.01140392893863214,-0.027817298010521713,-2.1983825427770194,5.7766077518463135
i21k_b,cifar100,20,0.1691518489653338,0.003852999500419518,0.18614339686629333,0.008199713370559508,-0.016991547900959525,0.18897040413045246,0.012047933620615611,-0.019818555165118656,-1.5668026326665223,6.771469831466675
i21k_l,cifar100,20,0.13567005864275186,0.002268764796920949,0.1833316972914615,0.007566660446424146,-0.04766163864870965,0.1725689790397024,0.010078245798359836,-0.03689892039695053,-3.571857671256839,5.885421514511108
dinov1_b,cifar100,20,0.11419533445939303,0.0037573232522253074,0.18222230713075208,0.005471199073966728,-0.06802697267135904,0.1631102116851846,0.015284466699502746,-0.048914877225791575,-3.107774955254085,6.300758600234985
dinov2_s,cifar100,20,0.11326184133440934,0.00335544793386342,0.16579413350148448,0.00486978376453382,-0.05253229216707514,0.14286178281640974,0.006249151378826838,-0.029599941482000403,-4.173108789819068,4.939954519271851
dinov2_b,cifar100,20,0.11196180005418092,0.002229551727113432,0.1545523113965554,0.0030304944695754192,-0.042590511342374474,0.12156691882248509,0.0038285683840399505,-0.009605118768304166,-2.1679809288638925,6.010275602340698
dinov2_l,cifar100,20,0.0983998808058492,0.0019029998758363228,0.14950039940548843,0.0023366271531939397,-0.051100518599639225,0.10516454058930788,0.010026105544528102,-0.006764659783458679,-0.6628700749642723,4.549661874771118
dinov2_g,cifar100,20,0.06984616018097747,0.002435097721995694,0.14913609054986338,0.0021852204874253114,-0.0792899303688859,0.09717424072345732,0.011085588804291311,-0.027328080542479843,-2.4077839501279237,6.4175865650177
clip_b,cifar100,20,0.14103894015431093,0.0027354401390508286,0.18848056263855978,0.007717977678997943,-0.04744162248424885,0.18558100986290452,0.010899417927761166,-0.04454206970859359,-3.9637221453330063,4.298987865447998
clip_l,cifar100,20,0.1406566097510245,0.002964240248211589,0.18328740751009892,0.006768938448064989,-0.04263079775907441,0.17686693302407203,0.016267578255380617,-0.03621032327304752,-2.1898613033948227,5.749150514602661
siglip_b,cifar100,20,0.14569211362869644,0.003471695574866869,0.18779099232156243,0.005319654193337092,-0.04209887869286599,0.17676705259187206,0.013813894963279304,-0.03107493896317562,-2.1816976190562807,5.828997611999512
