model,dataset,k,delta,nullB_mean,excessB,zB,time_s
i21k_t,imagenet,30,0.13995610591662577,0.15934940280785972,-0.019393296891233952,-2.799328633391814,11.086488246917725
i21k_s,imagenet,30,0.11267257201978109,0.1396887106216529,-0.027016138601871797,-3.4251475782261296,11.745523691177368
i21k_b,imagenet,30,0.11342182635045166,0.1471741254485058,-0.03375229909805415,-4.057737180393921,16.434420108795166
i21k_l,imagenet,30,0.10136989103099658,0.1350636471916194,-0.03369375616062281,-4.993616412647859,17.37412929534912
dinov1_b,imagenet,30,0.11215371720064467,0.118097971007082,-0.00594425380643733,-0.9861164181281874,16.192410469055176
dinov2_s,imagenet,30,0.11946804374327194,0.12429239094495403,-0.004824347201682094,-0.3651680803201668,11.417102575302124
dinov2_b,imagenet,30,0.09538213572924951,0.11426595439854485,-0.018883818669295338,-1.6377029552654465,10.89008116722107
dinov2_l,imagenet,30,0.07108348975897645,0.11796833128557738,-0.046884841526600926,-4.4474167758243865,14.170392990112305
dinov2_g,imagenet,30,0.07943258716889476,0.11608059427652925,-0.036648007107634495,-4.556283551144893,15.089597702026367
clip_b,imagenet,30,0.12302522715153039,0.14132237962854538,-0.018297152477014994,-2.064934254256748,12.865638494491577
clip_l,imagenet,30,0.12073955720395646,0.13405483744149568,-0.013315280237539223,-1.3467085705770663,10.408117055892944
siglip_b,imagenet,30,0.11381965718742892,0.1304852269064542,-0.016665569719025275,-1.7219751893412796,10.626279830932617
i21k_t,cifar100,20,0.16886612693773034,0.1959476297277988,-0.027081502790068462,-1.6458712921247718,5.003401279449463
i21k_s,cifar100,20,0.1565304832589991,0.18146623235392303,-0.024935749094923937,-1.4495446935702703,6.415268659591675
i21k_b,cifar100,20,0.1691518489653338,0.18693066335980144,-0.01777881439446763,-1.3388530990071155,7.462566137313843
i21k_l,cifar100,20,0.13567005864275186,0.18051965596020794,-0.04484959731745608,-2.7694696907202565,8.7869291305542
dinov1_b,cifar100,20,0.11419533445939303,0.16693005320844287,-0.052734718749049836,-5.958317688481793,6.748953104019165
dinov2_s,cifar100,20,0.11326184133440934,0.14788238509549656,-0.034620543761087225,-5.18332856459362,7.427571058273315
dinov2_b,cifar100,20,0.11196180005418092,0.15618584597916907,-0.044224045924988145,-3.02267622046913,7.500741481781006
dinov2_l,cifar100,20,0.0983998808058492,0.1581594870394975,-0.0597596062336483,-4.478861501167467,8.738441705703735
dinov2_g,cifar100,20,0.06984616018097747,0.15162438788588925,-0.08177822770491178,-7.90353248553186,10.599339723587036
clip_b,cifar100,20,0.14103894015431093,0.18145323203078828,-0.040414291876477354,-2.9034327914168623,7.303522109985352
clip_l,cifar100,20,0.1406566097510245,0.17361198896666177,-0.032955379215637265,-2.015520725916415,11.693973302841187
siglip_b,cifar100,20,0.14569211362869644,0.1793586529436168,-0.03366653931492036,-2.915425564993138,9.141302347183228
