model,dataset,n,delta,null_mean,excess,z,time_s
i21k_t,cifar100,1000,0.13026710688234844,0.14541395871717339,-0.015146851834824948,-1.6604545580403491,9.613659143447876
i21k_s,cifar100,1000,0.12084897092769957,0.12777469225156018,-0.006925721323860615,-0.8037815075674145,14.839892625808716
i21k_b,cifar100,1000,0.12121084477759585,0.12868625899451208,-0.007475414216916235,-0.8676763019304456,18.453532218933105
i21k_l,cifar100,1000,0.09987825010204489,0.11463209890950869,-0.014753848807463804,-2.8692119000389593,22.192810535430908
dinov1_b,cifar100,1000,0.10353816605245578,0.1141117584806485,-0.010573592428192724,-1.7457906935510041,24.767101526260376
dinov2_s,cifar100,1000,0.10010045228220261,0.10915059416819455,-0.00905014188599193,-1.2802291711715712,15.873831748962402
dinov2_b,cifar100,1000,0.0893125876908489,0.09558213261914819,-0.0062695449282992866,-1.1266780840551125,24.314839124679565
dinov2_l,cifar100,1000,0.08685289543704133,0.09365509405747681,-0.006802198620435476,-1.5242652276793156,24.14099907875061
dinov2_g,cifar100,1000,0.1021412697828761,0.09730839703483903,0.004832872748037079,0.38887429446709093,37.2527174949646
clip_b,cifar100,1000,0.11735442153272704,0.13498500040820044,-0.017630578875473396,-2.2830199314052613,14.881824016571045
clip_l,cifar100,1000,0.13193227765320786,0.12975516325180855,0.0021771144013993105,0.21152689677625153,27.90643811225891
siglip_b,cifar100,1000,0.11335280723936336,0.13277214715155244,-0.019419339912189082,-2.25372156414332,26.593564748764038
i21k_t,dtd,1034,0.12380204253480767,0.13646770560694835,-0.012665663072140676,-2.0610554078516032,12.581361293792725
i21k_s,dtd,1034,0.10275242799979492,0.11927438203370253,-0.016521954033907604,-2.4161503244185942,13.990880489349365
i21k_b,dtd,1034,0.09150173898126657,0.11053705929120765,-0.01903532030994108,-3.0386554972416375,16.31263494491577
i21k_l,dtd,1034,0.09232937170277623,0.10308448603737756,-0.010755114334601329,-1.2425419795727497,25.35775065422058
dinov1_b,dtd,1034,0.10971405716514027,0.1166399751688871,-0.006925918003746839,-1.5408560870118986,14.751223087310791
dinov2_s,dtd,1034,0.14532227099660472,0.1327556279894102,0.012566643007194511,1.745035205811869,13.119672536849976
dinov2_b,dtd,1034,0.13870121224312584,0.11536234610300142,0.023338866140124426,2.1058814773014527,23.06409192085266
dinov2_l,dtd,1034,0.13068727661889984,0.11055322774844459,0.02013404887045525,1.4859804252121407,31.986628770828247
dinov2_g,dtd,1034,0.13602385443680004,0.11284540362202555,0.023178450814774487,2.281312622483015,44.156426191329956
clip_b,dtd,1034,0.12499193911077582,0.13347556946554479,-0.00848363035476897,-1.1741129883941683,16.888290405273438
clip_l,dtd,1034,0.1203484801454034,0.13115954579470052,-0.01081106564929711,-1.3333013668152445,20.770655393600464
siglip_b,dtd,1034,0.11418326868151434,0.12939734880972628,-0.015214080128211946,-1.6613962042878063,20.665493726730347
