model,dataset,n_sup,delta,delta_sd,nullA_mean,nullA_sd,excessA,nullB_mean,nullB_sd,excessB,zB,time_s
i21k_t,imagenet,30,0.10039079115589797,0.00022709055050368373,0.09350778332086267,0.005414567601576428,0.006883007835035301,0.10161895134361257,0.006666430092661565,-0.0012281601877145998,-0.18412376722357351,17.991640090942383
i21k_s,imagenet,30,0.07896719520461207,0.0003021299350643867,0.08380437593555616,0.004244283366516444,-0.004837180730944093,0.08615567278046606,0.006150898073558894,-0.007188477575853988,-1.16728015789041,22.71585702896118
i21k_b,imagenet,30,0.08138601788576076,0.00019787211548717378,0.08784576203555274,0.0036284137306240583,-0.006459744149791974,0.0885253245599284,0.00715685718518864,-0.007139306674167636,-0.9971666872616503,35.10913848876953
i21k_l,imagenet,30,0.06857185369052046,0.00019671001546362347,0.0824966821595589,0.0032350260881267986,-0.013924828469038433,0.0849554700749391,0.005155739633238395,-0.01638361638441864,-3.1754327723514497,41.59061002731323
dinov1_b,imagenet,30,0.054348962837057015,0.00033322195488131077,0.07900245352067271,0.002246728543183685,-0.0246534906836157,0.07338982098425059,0.003640190430482259,-0.019040858147193578,-5.208952608250697,31.411056995391846
dinov2_s,imagenet,30,0.053307359689816494,0.00042643000538487993,0.07529028715225788,0.0012940059983798798,-0.02198292746244139,0.07025835923002623,0.003616755443409489,-0.016950999540209732,-4.654556602479947,21.862539052963257
dinov2_b,imagenet,30,0.03495649928507461,0.00016446503830526828,0.06056553326994281,0.0007564381712105719,-0.025609033984868197,0.058143406457774285,0.0039882664991440055,-0.023186907172699674,-5.808843896986542,32.136765241622925
dinov2_l,imagenet,30,0.03175137759461159,0.00010293878267148824,0.05522764137732775,0.0005463811750307208,-0.02347626378271616,0.055371207276834644,0.004765480133683629,-0.02361982968222305,-4.955286863282216,41.472448110580444
dinov2_g,imagenet,30,0.03163255894319051,0.00034454542833889504,0.05197579762604615,0.00041095369150012575,-0.02034323868285564,0.05296772841569214,0.004016531054554197,-0.02133516947250163,-5.292403340990986,54.51120638847351
clip_b,imagenet,30,0.08668419602221591,0.0002675039684350675,0.09282360350354321,0.00388545604724495,-0.006139407481327297,0.09471739893436396,0.006748977821730244,-0.00803320291214804,-1.1893504984785972,24.555134296417236
clip_l,imagenet,30,0.07622853491399023,0.00034640293671771755,0.0876395525736421,0.003690436396112746,-0.01141101765965187,0.08623364380629903,0.005116161135349065,-0.010005108892308795,-1.951121921248891,30.80434250831604
siglip_b,imagenet,30,0.07583879794088053,0.0002112013024691193,0.08483744739805664,0.003310857432082627,-0.008998649457176114,0.08579161276211897,0.004568109450156836,-0.009952814821238443,-2.1764352491690437,30.43305277824402
i21k_t,cifar100,20,0.13091116037629616,0.00018946347045129994,0.13848041565565206,0.009319026258153925,-0.0075692552793558965,0.1353146009471356,0.007767710530976764,-0.00440344057083944,-0.5667218507815229,8.632884979248047
i21k_s,cifar100,20,0.12201883887540599,0.0003118169999520068,0.1272395282930096,0.008301521951124779,-0.005220689417603619,0.12580450134032045,0.010009707055559688,-0.0037856624649144632,-0.37801575517238833,9.0012686252594
i21k_b,cifar100,20,0.12592955120900734,0.00041531548991135056,0.12487737088824662,0.008331716286191487,0.0010521803207607233,0.1238411627371538,0.009994391948973103,0.002088388471853539,0.20877585086670905,10.725579261779785
i21k_l,cifar100,20,0.09395713512929824,0.00021135002477319726,0.12261101716353298,0.0069740282124217436,-0.028653882034234746,0.11836714741669441,0.006604650815421274,-0.02441001228739617,-3.6939914753425556,11.034934759140015
dinov1_b,cifar100,20,0.08217579478434547,0.00020743078514805192,0.1228499601912599,0.005775742336222085,-0.04067416540691443,0.1124134630778089,0.005806717412781762,-0.03023766829346343,-5.204040670790484,10.564398765563965
dinov2_s,cifar100,20,0.0672418727517851,0.00028089798370294533,0.1139952697440664,0.004927629459529128,-0.0467533969922813,0.10047299035744028,0.004998344446967052,-0.03323111760565518,-6.637951033090366,8.702312707901001
dinov2_b,cifar100,20,0.049220013861640696,0.0002254516791667539,0.1061933367345913,0.004143376509418944,-0.05697332287295061,0.08454662049756538,0.0028553690527071706,-0.035326606635924684,-12.333607738305089,10.85742712020874
dinov2_l,cifar100,20,0.03646468310739012,0.00016461804818072786,0.1032775423440623,0.0037649585975462335,-0.06681285923667218,0.07195354569283283,0.0034029840401428577,-0.035488862585442704,-10.416567076621808,10.80912709236145
dinov2_g,cifar100,20,0.030008624669895567,0.00014585741071636364,0.10293033473040084,0.0034703959669175376,-0.07292171006050527,0.06445710070110515,0.003545830418251733,-0.03444847603120958,-9.706997826925651,12.919185400009155
clip_b,cifar100,20,0.1009863390958035,0.00035877607415080425,0.12620769001723262,0.007759342355115299,-0.025221350921429117,0.12711928175879986,0.008438730359982941,-0.02613294266299636,-3.0939910494486753,9.85157561302185
clip_l,cifar100,20,0.09706439934187909,0.0005306858483585808,0.1232571982186906,0.006827568560234831,-0.026192798876811516,0.11902796641781961,0.00723914071892923,-0.02196356707594052,-3.025882239231232,10.963651418685913
siglip_b,cifar100,20,0.09781604158699787,0.0005469030512733433,0.12649458830099708,0.0071027009958718485,-0.028678546713999206,0.12271769533958099,0.007213027840695141,-0.024901653752583117,-3.4424353789829842,10.857830286026001
