model,kind,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,time_s
gpt2,causal,768,0.1280005705780341,0.004133590203051537,0.1430185903307019,0.008438199111830889,-0.01501801975266781,-1.5982969585374864,1.0,38.14867162704468
gpt2_m,causal,1024,0.08160560355642223,0.004483021838750108,0.09137384814646052,0.007209596657840444,-0.009768244590038291,-1.1505934140778973,0.9,42.40407657623291
gpt2_l,causal,1280,0.0823318127142184,0.0047688554345704706,0.1229012408091058,0.00604061766017112,-0.04056942809488741,-5.2713783944635635,1.0,87.59610939025879
gpt2_xl,causal,1600,0.07213911640415527,0.002745502873080389,0.12067827882602289,0.006001623382565674,-0.04853916242186762,-7.35464908143755,1.0,131.4950807094574
pythia_410m,causal,1024,0.09838986334657651,0.005186942530350306,0.13452143065220795,0.00611957187781268,-0.03613156730563144,-4.504023047016919,1.0,54.86358141899109
pythia_1b,causal,2048,0.09626459289721648,0.0038772241486359532,0.1281392465501177,0.00619922715496256,-0.031874653652901236,-4.359309027008996,1.0,68.0271532535553
pythia_2b8,causal,2560,0.09806037870291144,0.004328969918453902,0.13415363048524354,0.007198557587641778,-0.036093251782332095,-4.296839684685694,1.0,110.4258918762207
olmo_1b,causal,2048,0.08170641937224665,0.003658782087135512,0.12105404906674118,0.005853278812828184,-0.039347629694494526,-5.700307003753159,1.0,60.825730323791504
bge_base,embed,768,0.12131541381759961,0.00574150927823113,0.11765628911211541,0.005663641053506979,0.0036591247054841985,0.4537128428237104,0.25,29.634355545043945
bge_large,embed,1024,0.12051414722220499,0.007566516114391564,0.11766408557353392,0.003919207811653817,0.002850061648671076,0.3344637002286149,0.25,50.12982392311096
gte_base,embed,768,0.12423772485100515,0.010938171416591235,0.11295691078085993,0.0042795113215261475,0.011280814070145223,0.9604334864684365,0.0,30.440004587173462
gte_large,embed,1024,0.12025215778425372,0.011574566062778851,0.1133707995340705,0.0036753020548150645,0.006881358250183212,0.5666435154627425,0.05,51.72657036781311
gte_qwen2,embed,1536,0.12244129947002917,0.008308373932319372,0.12051565968988989,0.0046900671259676365,0.0019256397801392794,0.20183328093551575,0.4,134.52409982681274
e5_base,embed,768,0.1152156363073348,0.007467612202495539,0.11280234268789616,0.005474525488760846,0.00241329361943865,0.2606330063508644,0.45,30.001280546188354
e5_large,embed,1024,0.11386099242186949,0.009794371956421272,0.10914040823449234,0.004732416332507715,0.004720584187377155,0.4339668923719567,0.15,49.145187854766846
