model,family,size,dataset,modality,K,n,d,curv,delta,delta_sd,excessA,zA,frac_null_below,excessB_real,excessB_star,depth,z_depth,delta_native,delta_raw,ari_ward,ari_avg,time_s
meru_s,meru,s,cifar100,image,20,100,512,0.10000000149011612,0.16300425798312737,0.0051507696729591575,-0.0396803695726812,-3.007763103548966,0.0,-0.02280677661029809,-0.045416330071564655,0.022609553461266564,1.745437318204592,0.16295723617076874,0.1597920621571753,0.4084317885435117,0.2704311816149134,13.974847793579102
meru_s,meru,s,cifar100,text,20,100,512,0.10000000149011612,0.13386907263354125,0.007725042790097361,-0.038561261740855834,-3.7263124742987452,0.0,-0.007741191079716381,-0.033756788936195777,0.026015597856479396,2.567955257845357,0.1335725486278534,0.1336888469377548,0.6071823204419889,0.2829946612589496,14.10898470878601
meru_s,meru,s,imagenet,image,30,1000,512,0.10000000149011612,0.12815171666416875,0.004145148020098997,-0.024101891134749476,-2.4894239576572468,0.0,-0.015126570775764736,-0.011524108547862367,-0.0036024622279023696,-0.3636460915958868,0.12795639038085938,0.12907234696518302,0.21656499680273153,0.4577153302370469,63.79716396331787
meru_b,meru,b,cifar100,image,20,100,512,0.10000000149011612,0.15613209811945486,0.0031439838336106674,-0.041881354679828925,-3.369657307710158,0.0,-0.024099054028848238,-0.04686812652963954,0.0227690725007913,2.4516724470390474,0.1560538411140442,0.1579127238770653,0.5021698698078115,0.2726758971460865,13.80337119102478
meru_s,meru,s,imagenet,text,30,1000,512,0.10000000149011612,0.13385720079165955,0.007404906271049793,-0.0010451991241244019,-0.10055166363894892,0.35,0.001859247635274397,-0.0028639811819380265,0.004723228817212424,0.48325706860639955,0.13364574313163757,0.13619737068346158,0.143726112595277,0.3103455164558567,68.07055306434631
meru_b,meru,b,cifar100,text,20,100,512,0.10000000149011612,0.1394390450922347,0.0046607965060711815,-0.03262958683684625,-3.9902979004313295,0.0,-0.007078178381028644,-0.03173723335864107,0.024659054977612428,2.5275111700100026,0.1392899751663208,0.1400617734217658,0.5484057702549379,0.3401326879359139,13.681364059448242
clip_s,clip,s,cifar100,image,20,100,512,0.0,0.14088781485747462,0.0035924775541655825,-0.05877367676870848,-4.911695076031709,0.0,-0.04189613939525194,-0.04123629924351208,-0.0006598401517398586,-0.0636843069262121,0.13960471749305725,0.14013979962509437,0.37179408704168454,0.2733996429482275,14.360567331314087
clip_s,clip,s,cifar100,text,20,100,512,0.0,0.12756838501893933,0.007603760986441802,-0.04201709681781948,-4.30395217281662,0.0,-0.008587451062899654,-0.029811832355272475,0.02122438129237282,1.7495717281368994,0.13900917768478394,0.12801467305492706,0.4678074602979195,0.1809250215455329,14.838824033737183
meru_b,meru,b,imagenet,image,30,1000,512,0.10000000149011612,0.12931775886278057,0.004836930480488178,-0.022437507246877875,-2.357106060072781,0.0,-0.011471250719583104,-0.011776039021324259,0.0003047883017411549,0.023003956018716278,0.12907889485359192,0.13112260975797646,0.2173561766060871,0.4375151085355632,36.26731634140015
clip_s,clip,s,imagenet,image,30,1000,512,0.0,0.12577846158562828,0.0033405672089825227,-0.024577198134167866,-2.6869033796179433,0.0,-0.016849856556304138,-0.01180733401199661,-0.0050425225443075285,-0.5021182415192599,0.15136656165122986,0.11838135797454226,0.23031253980151037,0.45274516111878443,34.177143573760986
meru_b,meru,b,imagenet,text,30,1000,512,0.10000000149011612,0.13925836822422002,0.008646165727561363,0.0018313708967107323,0.15841538867005994,0.65,0.007612389668265024,-0.00271255129620634,0.010324940964471363,0.9356140208756325,0.13902631402015686,0.13882760891486012,0.1443222436466761,0.3283252139316793,35.046385765075684
clip_b,clip,b,cifar100,image,20,100,512,0.0,0.14104537938412426,0.002841449567781506,-0.05619473212930684,-4.44458740710774,0.0,-0.038588541111027164,-0.04854017251942818,0.009951631408401017,0.8889063506469125,0.14557400345802307,0.13731590372783525,0.45324347093513057,0.3309629677191518,13.212689876556396
clip_s,clip,s,imagenet,text,30,1000,512,0.0,0.13808935340234177,0.009619039786011842,0.008727567308395967,0.7712231181267983,0.9,0.009267796450315807,-0.0014533813480518594,0.010721177798367667,0.9264782187596388,0.155435711145401,0.1292274797063885,0.13687005647942105,0.09779783441000717,33.957401275634766
clip_b,clip,b,cifar100,text,20,100,512,0.0,0.13963511657853034,0.004522878792482974,-0.029915048819850854,-3.9907089073691995,0.0,0.004935764922233077,-0.02891322529891491,0.033848990221147984,4.188905524340822,0.15443149209022522,0.1341554502842129,0.4545740201520833,0.09302740959596335,12.490848779678345
clip_b,clip,b,imagenet,image,30,1000,512,0.0,0.124179046103897,0.006988181497714255,-0.025448532341660154,-2.2791748740402675,0.0,-0.012001219878219796,-0.010676236928649113,-0.001324982949570683,-0.11503870446092587,0.15076717734336853,0.11612472788373229,0.2327939946322348,0.43763907434185473,28.90319538116455
clip_b,clip,b,imagenet,text,30,1000,512,0.0,0.14358853182422596,0.00672722481794606,0.01090720492194383,1.1640064360249498,0.95,0.004229216068076774,-0.001900457778038549,0.006129673846115323,0.5689639532836054,0.16211985051631927,0.13075275885743237,0.13259656412490417,0.13726309146800997,28.584562301635742
meru_l,meru,l,cifar100,image,20,100,512,0.10000000149011612,0.170538722253001,0.0093297015197063,-0.023185652002602253,-1.5395002686411137,0.0,-0.0033807016893772635,-0.04633851765046523,0.04295781596108797,3.1446530601586486,0.17038443684577942,0.1644987991344973,0.4130967593271467,0.3267175572519084,11.864098072052002
meru_l,meru,l,cifar100,text,20,100,512,0.10000000149011612,0.15304335995126817,0.005308756704497701,-0.01906619730062792,-2.2487104615573976,0.0,0.0064094525427936255,-0.03435396435315666,0.04076341689595028,4.556471563162744,0.15282723307609558,0.15337066376104355,0.5353678788899853,0.3138450338959916,12.03658676147461
meru_l,meru,l,imagenet,image,30,1000,512,0.10000000149011612,0.12813394474778406,0.004537972089074409,-0.02052102813097928,-2.2095720577209694,0.0,-0.0055035706576364585,-0.009412029607269034,0.003908458949632576,0.42672271317213883,0.12781976163387299,0.12621184169897637,0.22635587627376327,0.5021984927924473,27.626932859420776
