model,dataset,b,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,n_rep,time_s
i21k_t,imagenet,-1,1000,0.08783908467353604,0.0003035147351940353,0.09314192998040813,0.004223125180632758,-0.005302845306872084,45,0.11764705882352941,50,166.46738123893738
i21k_t,imagenet,0,1000,0.08871234529085162,0.00020467586397463289,0.09283505890321427,0.004192524332322446,-0.004122713612362647,42,0.17647058823529413,50,171.32757019996643
i21k_t,imagenet,1,1000,0.08813615954847576,0.00027444902672241233,0.09284942320185628,0.004190212473030144,-0.0047132636533805256,43,0.1568627450980392,50,167.20101284980774
i21k_t,imagenet,2,1000,0.08825121396751084,0.00027427435069576396,0.09290270488207017,0.004193076655584578,-0.004651490914559325,43,0.1568627450980392,50,171.31044816970825
i21k_t,imagenet,3,1000,0.08815991581521271,0.0002667712050790312,0.09290539602279405,0.00420232264789909,-0.004745480207581337,44,0.13725490196078433,50,158.89229011535645
i21k_t,imagenet,4,1000,0.08773761629263369,0.00018304839422059513,0.09299572882943201,0.004204604657386042,-0.005258112536798323,45,0.11764705882352941,50,159.23394203186035
i21k_t,imagenet,5,1000,0.0868633029732125,0.0003835105856900434,0.09294484070834948,0.0041921448697496,-0.006081537735136977,45,0.11764705882352941,50,159.17087197303772
i21k_t,imagenet,6,1000,0.08861024634182388,0.0003196221388450352,0.09287895336211693,0.004194994646446126,-0.0042687070202930555,42,0.17647058823529413,50,158.56964492797852
i21k_t,imagenet,7,1000,0.08825132645881831,0.00021615576974008005,0.09287882994904594,0.004187753101406065,-0.004627503490227627,43,0.1568627450980392,50,160.25123286247253
i21k_t,imagenet,8,1000,0.08791781785418654,0.00012635533437992184,0.09297220655416268,0.004195125983762168,-0.0050543886999761395,45,0.11764705882352941,50,167.64292669296265
i21k_t,imagenet,9,1000,0.08827591879467907,0.0002861132419531353,0.09291740385926256,0.004189190910610172,-0.004641485064583492,43,0.1568627450980392,50,153.91573548316956
i21k_t,imagenet,10,1000,0.0884536193837857,0.0002994865074749719,0.0929525777156607,0.004200037134329365,-0.004498958331875011,43,0.1568627450980392,50,184.16384482383728
i21k_t,imagenet,11,1000,0.08866358082913604,0.00024702489323429446,0.09294683984776712,0.0041876020718458525,-0.00428325901863108,42,0.17647058823529413,50,235.57643628120422
i21k_t,imagenet,12,1000,0.0879209130568251,0.00022873180470865784,0.09296869534243248,0.0041979111788889795,-0.005047782285607372,45,0.11764705882352941,50,311.82819986343384
i21k_t,imagenet,13,1000,0.0868407665112831,0.00021436873841469768,0.09291840147174922,0.004195455076620608,-0.006077634960466122,45,0.11764705882352941,50,234.94334745407104
i21k_t,imagenet,14,1000,0.08848605330455517,0.00035139571618862084,0.09281099566449594,0.004199742493884447,-0.00432494235994077,42,0.17647058823529413,50,240.81438946723938
i21k_t,imagenet,15,1000,0.0857287932309163,0.00030222334180757563,0.09287710312062042,0.004206757541634794,-0.007148309889704121,47,0.0784313725490196,50,240.2291488647461
i21k_t,imagenet,16,1000,0.0879830079638667,0.0001921281128059491,0.09298285702290272,0.004193081573752155,-0.004999849059036027,45,0.11764705882352941,50,268.90252327919006
i21k_t,imagenet,17,1000,0.08707660120500685,0.00024925945560561285,0.09296021104583069,0.004189782669452441,-0.005883609840823839,45,0.11764705882352941,50,292.90985131263733
i21k_t,imagenet,18,1000,0.0869061116225621,0.00022499480728416053,0.09284858179730705,0.004194837066874273,-0.00594247017474496,45,0.11764705882352941,50,347.2179057598114
i21k_t,imagenet,19,1000,0.08850467740484583,0.0002716085255070595,0.09299518983003549,0.0041951533318813836,-0.004490512425189663,43,0.1568627450980392,50,347.6074812412262
i21k_t,imagenet,20,1000,0.0867661327834087,0.0002471891855908519,0.09290303809372924,0.004187146680842977,-0.006136905310320545,45,0.11764705882352941,50,311.52608036994934
i21k_t,imagenet,21,1000,0.08786221299709153,0.00035663811866892294,0.0930268894702235,0.004187537155349559,-0.005164676473131971,45,0.11764705882352941,50,251.22013306617737
i21k_t,imagenet,22,1000,0.08607554103860318,0.0002386148161546316,0.09291650198231266,0.004197599425203814,-0.006840960943709479,47,0.0784313725490196,50,227.83486533164978
i21k_t,imagenet,23,1000,0.08599012611014853,0.00028198299270886765,0.09298876753885589,0.004186975173644855,-0.006998641428707361,47,0.0784313725490196,50,443.47729444503784
i21k_t,imagenet,24,1000,0.08964068413596467,0.0002791437448977421,0.09278908289883445,0.004201864264953618,-0.003148398762869778,39,0.23529411764705882,50,517.8991537094116
i21k_t,imagenet,25,1000,0.09017172649358603,0.0002600611226230025,0.09285870262581873,0.0042004778442926395,-0.0026869761322327046,38,0.2549019607843137,50,528.9286725521088
i21k_t,imagenet,26,1000,0.08891024533179932,0.00028117670775771957,0.09287888200303436,0.004200866727978921,-0.003968636671235037,42,0.17647058823529413,50,527.2762875556946
i21k_t,imagenet,27,1000,0.08858782617844184,0.0003124080825344806,0.0929028616675577,0.004194271048897677,-0.004315035489115868,42,0.17647058823529413,50,440.5483753681183
i21k_t,imagenet,28,1000,0.08918203451871347,0.0003074746186748525,0.09295261321281213,0.004199774173707737,-0.003770578694098664,41,0.19607843137254902,50,472.98657727241516
i21k_t,imagenet,29,1000,0.08884039206646249,0.0002581851267881017,0.09284320690539966,0.0042063650555930684,-0.004002814838937163,42,0.17647058823529413,50,454.40467643737793
