model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
clip_b,cifar100,-1,100,500,0.1009863390958035,0.00035877607415080425,0.12043992342193034,0.006245658290681192,-0.019453584326126844,200,200,216.79417443275452
clip_b,cifar100,0,100,500,0.10058215466378476,0.00028345635294802396,0.12058304964345329,0.006184411158398968,-0.020000894979668532,200,200,241.1751880645752
clip_b,cifar100,1,100,500,0.10109510741788823,0.0002510471150497453,0.12035713307365573,0.006237067102266184,-0.019262025655767498,200,200,228.99603390693665
clip_b,cifar100,2,100,500,0.101243274782809,0.0002465978211404724,0.12035553437298063,0.006219568070046149,-0.019112259590171626,200,200,222.67457818984985
clip_b,cifar100,3,100,500,0.1007642723267109,0.0002215375411623421,0.12024453632638991,0.006216465999492831,-0.019480263999679018,200,200,217.21526408195496
clip_b,cifar100,4,100,500,0.10199891226802767,0.0002835865042945955,0.12037331458848775,0.006228491817047567,-0.018374402320460087,200,200,214.2477946281433
clip_b,cifar100,5,100,500,0.1006093602491828,0.00023265986413009232,0.12026857766381083,0.006202133544879095,-0.019659217414628033,200,200,213.31598353385925
clip_b,cifar100,6,100,500,0.1017601873175868,0.0002874160809055516,0.12052678688853102,0.006218069545101786,-0.018766599570944217,200,200,222.06804752349854
clip_b,cifar100,7,100,500,0.10083767830201913,0.0002819828885752206,0.12041318312727257,0.006184012139702279,-0.019575504825253442,200,200,218.81098556518555
clip_b,cifar100,8,100,500,0.10031547478625982,0.00028113759368639127,0.12013034793478872,0.006226975477966081,-0.019814873148528894,200,200,219.36501049995422
clip_b,cifar100,9,100,500,0.1001041229275215,0.0003034864123886565,0.12014564103026715,0.0062398699333242385,-0.020041518102745653,200,200,212.87940883636475
clip_b,cifar100,10,100,500,0.10031004652176226,0.00024478718852569023,0.12032936548567587,0.006247727490022315,-0.02001931896391361,200,200,222.91674661636353
clip_b,cifar100,11,100,500,0.1004717208763507,0.00023877595070433775,0.12004192702960477,0.006235942041441885,-0.01957020615325407,200,200,215.64398908615112
clip_b,cifar100,12,100,500,0.10101242469067737,0.00023829824670202872,0.12027704459961336,0.00621377051770218,-0.019264619908935993,200,200,216.9500231742859
clip_b,cifar100,13,100,500,0.10155153167327605,0.0002648756806880516,0.12033832068122077,0.0062166880719502935,-0.018786789007944726,200,200,219.8331081867218
clip_b,cifar100,14,100,500,0.10261474562224107,0.00040861426188282816,0.12044358249251261,0.006223853067911182,-0.017828836870271536,200,200,217.1248059272766
clip_b,cifar100,15,100,500,0.10048096815653033,0.0002776580336624899,0.12029703859186876,0.00621165013033984,-0.019816070435338423,200,200,214.10800313949585
clip_b,cifar100,16,100,500,0.10118744801491268,0.0003206517962724423,0.12025738430758694,0.00622200555364709,-0.019069936292674255,200,200,213.1002960205078
clip_b,cifar100,17,100,500,0.10105750885897613,0.00032757524581700703,0.11982281632210746,0.006245746868551853,-0.018765307463131334,200,200,215.30828857421875
clip_b,cifar100,18,100,500,0.1014789629473019,0.00024053802966603294,0.12036012105112177,0.006221947735721962,-0.01888115810381988,200,200,229.2323980331421
clip_b,cifar100,19,100,500,0.10247490806063511,0.0002785549612106156,0.1202952973981141,0.006223412239062602,-0.017820389337478995,200,200,227.2145917415619
clip_b,cifar100,20,100,500,0.10004707515424656,0.00021559318182922229,0.1203527831201794,0.006208841199378985,-0.02030570796593284,200,200,222.35108089447021
clip_b,cifar100,21,100,500,0.10154526827850667,0.00028767603258061827,0.12009816294680713,0.006258997846487751,-0.018552894668300457,200,200,224.06538939476013
clip_b,cifar100,22,100,500,0.09994803682796644,0.00036397877313429177,0.12040311697133596,0.006227953642484077,-0.020455080143369525,200,200,223.48922419548035
clip_b,cifar100,23,100,500,0.10233279579733161,0.00025255208679370847,0.12026518387609901,0.006224551097196243,-0.017932388078767403,200,200,228.70065093040466
clip_b,cifar100,24,100,500,0.10083736325716959,0.00022296823469775305,0.12010908193414849,0.006243487932981126,-0.019271718676978897,200,200,238.551819562912
clip_b,cifar100,25,100,500,0.10060237100763807,0.00026761375776349,0.12014909379590953,0.006212153243771014,-0.019546722788271464,200,200,233.87963128089905
clip_b,cifar100,26,100,500,0.10141908615000902,0.00030364871682663674,0.12029121733067305,0.006201057084854692,-0.018872131180664026,200,200,233.28607201576233
clip_b,cifar100,27,100,500,0.10213551458431873,0.00034414917446901094,0.12026826264554284,0.006235460136667143,-0.018132748061224113,200,200,233.78810858726501
clip_b,cifar100,28,100,500,0.1010316884982484,0.0002459208056403181,0.12017023897204304,0.006257911949829671,-0.019138550473794647,200,200,245.04508018493652
clip_b,cifar100,29,100,500,0.10151540176115233,0.00025843474451851274,0.1202022238763113,0.006222484110239483,-0.01868682211515897,200,200,247.6365089416504
clip_b,dtd,-1,47,80,0.09882658147110926,0.00018551046647280768,0.12279249196725385,0.006520390065383914,-0.02396591049614459,200,200,232.03983330726624
clip_b,dtd,0,47,80,0.09750347867205558,0.00044824790000737785,0.12204478372088216,0.006364795527092388,-0.02454130504882658,200,200,233.44685530662537
clip_b,dtd,1,47,80,0.09882500056815832,0.00028664068355159354,0.12258841460563996,0.006400212712095117,-0.02376341403748164,200,200,232.0354700088501
clip_b,dtd,2,47,80,0.0967427746468621,0.00016914230444044332,0.12321677738741182,0.006455564262859915,-0.02647400274054973,200,200,221.23892617225647
clip_b,dtd,3,47,80,0.0984740894697638,0.0004003095142118553,0.12139840244048614,0.006314285027959334,-0.022924312970722338,200,200,215.7357349395752
clip_b,dtd,4,47,80,0.09681262927332679,0.000289328001155358,0.12119287539901577,0.006426714808807308,-0.02438024612568898,200,200,218.7045328617096
clip_b,dtd,5,47,80,0.10198211583460262,0.0003088251586127517,0.12202980125659423,0.0063654145996451215,-0.020047685421991604,199,200,218.14742732048035
clip_b,dtd,6,47,80,0.09590871160341655,0.00030292582807612466,0.12089344073066811,0.006304718606517048,-0.024984729127251568,200,200,224.82071661949158
clip_b,dtd,7,47,80,0.09929102684954938,0.00040496334367397767,0.12233099123759321,0.00639381696373283,-0.02303996438804383,200,200,213.7253999710083
clip_b,dtd,8,47,80,0.09922474755684914,0.00024948468440427594,0.12176854001956809,0.006342804872848659,-0.022543792462718953,200,200,214.7809820175171
clip_b,dtd,9,47,80,0.10014812157546218,0.0003519444846113158,0.12194808778065984,0.006439530676253045,-0.021799966205197654,200,200,215.3272476196289
clip_b,dtd,10,47,80,0.09788464311145519,0.00038081634399655706,0.12197786555998867,0.006426143617917968,-0.024093222448533486,200,200,216.75663995742798
clip_b,dtd,11,47,80,0.09501394988893598,0.00025887173771976254,0.12179081833913016,0.0063340944474049535,-0.026776868450194183,200,200,223.04480934143066
clip_b,dtd,12,47,80,0.09729370229227544,0.00014401558505073263,0.12213321966708922,0.006437164445971024,-0.024839517374813783,200,200,213.98973035812378
clip_b,dtd,13,47,80,0.09914852367582636,0.0003431528488834123,0.12201314893085362,0.006362036921959476,-0.022864625255027263,200,200,222.50321793556213
clip_b,dtd,14,47,80,0.101243561903317,0.00032667788464646203,0.12233269130368178,0.006465384544126312,-0.02108912940036478,199,200,220.1082317829132
