model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
clip_l,cifar100,-1,100,500,0.09706439934187909,0.0005306858483585808,0.11515968908603828,0.005027764673935125,-0.018095289744159193,200,200,232.41240119934082
clip_l,cifar100,0,100,500,0.09594568982976731,0.0004887732846577429,0.11516920659783272,0.005014721527046491,-0.019223516768065413,200,200,235.78208136558533
clip_l,cifar100,1,100,500,0.09684757058731173,0.000480093606176302,0.11499293918989029,0.005036467519263151,-0.01814536860257855,200,200,231.79863119125366
clip_l,cifar100,2,100,500,0.09807818996832737,0.0005719625051515612,0.11515826187509777,0.005022106025428942,-0.017080071906770397,200,200,228.91855549812317
clip_l,cifar100,3,100,500,0.09687798426821119,0.00041860185996468605,0.1150697364932244,0.005019221077512351,-0.018191752225013208,200,200,214.2806749343872
clip_l,cifar100,4,100,500,0.09638168438701421,0.00041067329324105103,0.11519973971168734,0.004996698356633378,-0.018818055324673136,200,200,221.41634392738342
clip_l,cifar100,5,100,500,0.09928556073554258,0.0005215563284387393,0.11518412838173195,0.004991594850478626,-0.015898567646189368,200,200,222.96904158592224
clip_l,cifar100,6,100,500,0.09680036075663402,0.0004767394101547768,0.11502851852637848,0.005040802110029922,-0.018228157769744457,200,200,217.22991156578064
clip_l,cifar100,7,100,500,0.09686478007218263,0.0006460744311506903,0.11473109444157883,0.005009980951408525,-0.017866314369396202,200,200,221.16163802146912
clip_l,cifar100,8,100,500,0.09552372108980013,0.0005009225781830944,0.11481673153575024,0.005004898989031893,-0.01929301044595011,200,200,215.682550907135
clip_l,cifar100,9,100,500,0.09785463231932498,0.000466477617578022,0.11511082812049506,0.005013058187717077,-0.017256195801170077,200,200,208.31659960746765
clip_l,cifar100,10,100,500,0.09563724946654559,0.00047169337121275663,0.11511124381655086,0.005031122773373098,-0.01947399435000527,200,200,219.2443654537201
clip_l,cifar100,11,100,500,0.09609232312432471,0.0006654233498542665,0.11486766523866918,0.00501314476604047,-0.018775342114344465,200,200,226.4265491962433
clip_l,cifar100,12,100,500,0.0969638127410851,0.0005573445870555565,0.11503040209026065,0.004994419120653735,-0.018066589349175544,200,200,213.56437921524048
clip_l,cifar100,13,100,500,0.09758983887583181,0.00042135727267781823,0.11493083166422564,0.005027436522751779,-0.017340992788393836,200,200,214.38210272789001
clip_l,cifar100,14,100,500,0.09765553338474361,0.00058202740374041,0.11502822468422934,0.004995254228889348,-0.017372691299485724,200,200,209.4200758934021
clip_l,cifar100,15,100,500,0.0952017698171312,0.0005186896223794779,0.11494299264529624,0.0050123113439732555,-0.01974122282816504,200,200,219.3254590034485
clip_l,cifar100,16,100,500,0.09609022124455698,0.0004877236154751368,0.11495509155387357,0.00496546436832631,-0.018864870309316592,200,200,218.78847765922546
clip_l,cifar100,17,100,500,0.0967582151593826,0.0005102786319961453,0.11487657518332924,0.005025040536992727,-0.018118360023946636,200,200,237.80555081367493
clip_l,cifar100,18,100,500,0.09563111930890142,0.00048197662663069927,0.11502848452336858,0.004989156953364867,-0.019397365214467166,200,200,234.0860824584961
clip_l,cifar100,19,100,500,0.09602889631332262,0.0006159420470848204,0.11486792218957172,0.005029499517115132,-0.018839025876249096,200,200,227.88755583763123
clip_l,cifar100,20,100,500,0.09733562120322804,0.00048354718376503164,0.11507245398496974,0.005028254546685933,-0.017736832781741693,200,200,228.64727783203125
clip_l,cifar100,21,100,500,0.09656051278225522,0.0005093401337388876,0.11484213891639347,0.005013949273844734,-0.01828162613413825,200,200,228.7116720676422
clip_l,cifar100,22,100,500,0.09755853823742547,0.0006028193941997801,0.11506735366258491,0.0049838197478506655,-0.017508815425159446,200,200,233.79682993888855
clip_l,cifar100,23,100,500,0.09663014282671459,0.00043045875388600206,0.11498635756528541,0.005050031809879522,-0.018356214738570825,200,200,233.37278032302856
clip_l,cifar100,24,100,500,0.09713204458500067,0.0005516895706329245,0.11507484132573868,0.004999350850406171,-0.01794279674073801,200,200,234.19743585586548
clip_l,cifar100,25,100,500,0.0961073993568025,0.0006091955467057931,0.11478248065651256,0.0050487594708839125,-0.01867508129971006,200,200,237.90829586982727
clip_l,cifar100,26,100,500,0.09569123733375381,0.00039627685330370264,0.11492122821855837,0.004979276963441987,-0.01922999088480455,200,200,236.00058364868164
clip_l,cifar100,27,100,500,0.09714882714427925,0.0005553563249614415,0.11487966136852194,0.004992426275597105,-0.017730834224242695,200,200,239.25942873954773
clip_l,cifar100,28,100,500,0.09569457186268668,0.0005527006674850964,0.11494588258931465,0.005047476110402073,-0.019251310726627974,200,200,241.69161820411682
clip_l,cifar100,29,100,500,0.09717920263909288,0.000545569246090852,0.11503407562125535,0.0049893478712329225,-0.01785487298216247,200,200,247.76884961128235
clip_l,dtd,-1,47,80,0.09791602685789025,0.00023660329674651888,0.12453434325164339,0.005827877381952468,-0.026618316393753144,200,200,235.27327871322632
clip_l,dtd,0,47,80,0.09561615057479307,0.00016255982183120536,0.12321392297747463,0.005687709738956199,-0.02759777240268156,200,200,238.4424684047699
clip_l,dtd,1,47,80,0.09608508727025053,0.0003674846432493165,0.12290322544239025,0.005618374815420827,-0.026818138172139724,200,200,236.01553392410278
clip_l,dtd,2,47,80,0.09453915889748377,0.00028332025438904834,0.12400040848280007,0.00565122750381966,-0.029461249585316304,200,200,219.62862300872803
clip_l,dtd,3,47,80,0.0975705918676175,0.0003087711281772251,0.12331122396906594,0.005632292739747565,-0.025740632101448432,200,200,227.455575466156
clip_l,dtd,4,47,80,0.09759279153596549,0.00019756328044134028,0.12315163420802876,0.005782032462838418,-0.025558842672063264,200,200,217.71895909309387
