model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
dinov1_b,cifar100,-1,100,500,0.08217579478434547,0.00020743078514805192,0.11381148827407085,0.004133214976127428,-0.03163569348972538,200,200,234.58030533790588
dinov1_b,cifar100,0,100,500,0.08196132044505527,0.00028923183913483923,0.11352674235301106,0.00410349798539027,-0.03156542190795579,200,200,242.3849549293518
dinov1_b,cifar100,1,100,500,0.08232118568216516,0.0003082461317746896,0.11383617663108211,0.004129265832238055,-0.03151499094891695,200,200,229.41444873809814
dinov1_b,cifar100,2,100,500,0.08183723265113832,0.00026388488733176897,0.11355607573905425,0.004112528601321427,-0.031718843087915935,200,200,228.69796204566956
dinov1_b,cifar100,3,100,500,0.08151006666433236,0.0002564343624121215,0.1136658261217705,0.004124011811328744,-0.032155759457438135,200,200,220.910902261734
dinov1_b,cifar100,4,100,500,0.08229150170016164,0.0002049803181394466,0.11359501877238318,0.004115921212748681,-0.03130351707222154,200,200,218.4044704437256
dinov1_b,cifar100,5,100,500,0.08241355378639463,0.00027842605845422455,0.11367743017288852,0.004135085239691406,-0.03126387638649389,200,200,218.05382108688354
dinov1_b,cifar100,6,100,500,0.08265355027334866,0.00021490612871169314,0.11353829239211324,0.004099009974321078,-0.030884742118764588,200,200,223.73372983932495
dinov1_b,cifar100,7,100,500,0.08099207458805237,0.0002886823820610285,0.11351089249074356,0.004114451657440439,-0.03251881790269119,200,200,213.27574253082275
dinov1_b,cifar100,8,100,500,0.08103845506215968,0.00021168485709682644,0.11351532102511719,0.004096968969937687,-0.03247686596295751,200,200,215.43933033943176
dinov1_b,cifar100,9,100,500,0.08274687280615792,0.00020386153348860323,0.11351300806910249,0.004114028953606637,-0.03076613526294457,200,200,224.1190710067749
dinov1_b,cifar100,10,100,500,0.08227412225734296,0.0002050692761939689,0.11370483244496622,0.004112826310971915,-0.031430710187623265,200,200,225.47683238983154
dinov1_b,cifar100,11,100,500,0.08205061076340608,0.0002219288164561297,0.11360608762975968,0.004112966001662216,-0.0315554768663536,200,200,215.69859337806702
dinov1_b,cifar100,12,100,500,0.08183296362877251,0.00022764173127143904,0.11345658111348493,0.004122573135483376,-0.031623617484712416,200,200,216.58567905426025
dinov1_b,cifar100,13,100,500,0.08193583880192898,0.0002024611429003718,0.11355118986656366,0.004101457344379072,-0.031615351064634686,200,200,227.40034794807434
dinov1_b,cifar100,14,100,500,0.0812834496468071,0.00022743876951447246,0.11349868338677252,0.004128513032886141,-0.03221523373996542,200,200,229.745995759964
dinov1_b,cifar100,15,100,500,0.08216471281178041,0.00024466739972525773,0.11360561209228677,0.00411605981589202,-0.03144089928050636,200,200,225.93739700317383
dinov1_b,cifar100,16,100,500,0.08226705350948385,0.0002637794765417794,0.11364023495130268,0.004114640162906357,-0.03137318144181883,200,200,212.97488045692444
dinov1_b,cifar100,17,100,500,0.08277831089947094,0.00025512846317982644,0.11360900098385121,0.004127701564336627,-0.030830690084380274,200,200,235.10626196861267
dinov1_b,cifar100,18,100,500,0.08392041689191035,0.00023854434187030988,0.1134944419244989,0.004101475248780789,-0.029574025032588547,200,200,229.16972088813782
dinov1_b,cifar100,19,100,500,0.08235940315021281,0.00023870607840720595,0.11358190957067059,0.004097439111402211,-0.031222506420457777,200,200,234.7453169822693
dinov1_b,cifar100,20,100,500,0.08172935353020198,0.00028386196959198737,0.11360475483133442,0.0041156782772414705,-0.031875401301132436,200,200,230.6249623298645
dinov1_b,cifar100,21,100,500,0.08233847045910969,0.0001971258696010132,0.1135653822051459,0.004132414206454739,-0.031226911746036215,200,200,235.29098343849182
dinov1_b,cifar100,22,100,500,0.08164473191230429,0.00021169516785015004,0.11362685535908248,0.004121933213514153,-0.0319821234467782,200,200,233.3810954093933
dinov1_b,cifar100,23,100,500,0.08127251976723185,0.00023592761239207336,0.11361153302430756,0.004107850960990405,-0.03233901325707571,200,200,243.98602271080017
dinov1_b,cifar100,24,100,500,0.08207351300737994,0.00017418839239849549,0.11361495723595276,0.004118737204106432,-0.031541444228572815,200,200,230.40622758865356
dinov1_b,cifar100,25,100,500,0.08165634652642575,0.00021975735477786223,0.11363319803846653,0.004136889242802635,-0.03197685151204077,200,200,231.595712184906
dinov1_b,cifar100,26,100,500,0.08231881162303566,0.00016113729208195167,0.11343375199072553,0.004091353663889642,-0.031114940367689872,200,200,233.1890263557434
dinov1_b,cifar100,27,100,500,0.08179990207137058,0.0002765179008301958,0.11354120324983384,0.0041075123136337585,-0.03174130117846326,200,200,242.95540118217468
