model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
dinov2_g,cifar100,-1,100,500,0.030008624669895567,0.00014585741071636364,0.06955806561947654,0.0013606769359124171,-0.039549440949580975,200,200,242.9766457080841
dinov2_g,cifar100,0,100,500,0.029905454853401525,0.00012131422508047467,0.06930905382151537,0.0013541071468719473,-0.03940359896811384,200,200,236.7135453224182
dinov2_g,cifar100,1,100,500,0.029711115606557904,0.00015350150323308577,0.06939059417831751,0.001374426658189413,-0.03967947857175961,200,200,237.26616883277893
dinov2_g,cifar100,2,100,500,0.0298010047525016,0.00019626184887037637,0.06957364497092772,0.0013636947860439976,-0.039772640218426115,200,200,225.60825395584106
dinov2_g,cifar100,3,100,500,0.029816840756647145,0.00016870273634970613,0.06924014558696132,0.0013520390672304618,-0.03942330483031417,200,200,221.69559335708618
dinov2_g,cifar100,4,100,500,0.029920944158062724,0.000161866738931962,0.06935587567313858,0.001358138714719214,-0.03943493151507586,200,200,229.40448474884033
dinov2_g,cifar100,5,100,500,0.030100584226413762,0.00019078468155027322,0.06933508221261009,0.0013529125493771284,-0.039234497986196326,200,200,223.12205624580383
dinov2_g,cifar100,6,100,500,0.029453470438846847,0.00015047640342800612,0.06957601008916424,0.0013638273675128305,-0.040122539650317396,200,200,222.22127842903137
dinov2_g,cifar100,7,100,500,0.030018486044201965,0.00018351462958398474,0.0695241670622319,0.0013484460569913495,-0.03950568101802993,200,200,219.94120073318481
dinov2_g,cifar100,8,100,500,0.029953442526264272,0.00017452505612703222,0.06930047869516014,0.0013588157354639898,-0.039347036168895864,200,200,230.07408022880554
dinov2_g,cifar100,9,100,500,0.029830153920503987,0.00019095573257300866,0.06934472055609221,0.001355208449104656,-0.03951456663558822,200,200,223.72604894638062
dinov2_g,cifar100,10,100,500,0.029862962873420763,0.00020001880045443786,0.0694626915611891,0.001355484202776598,-0.03959972868776834,200,200,223.99136757850647
dinov2_g,cifar100,11,100,500,0.030011360038610498,0.00020292924449791122,0.069643008973225,0.0013611376963691664,-0.03963164893461451,200,200,224.33377695083618
dinov2_g,cifar100,12,100,500,0.030031085692843885,0.0001729706733671326,0.06920075543676568,0.0013558901004406749,-0.039169669743921796,200,200,230.06449556350708
dinov2_g,cifar100,13,100,500,0.029955702696714392,0.0002186059303809635,0.06958626215343722,0.0013568877693664345,-0.03963055945672282,200,200,223.6680202484131
dinov2_g,cifar100,14,100,500,0.02990485849328193,0.0001833086504559931,0.0694497571185555,0.001347215243410455,-0.03954489862527357,200,200,229.96172046661377
dinov2_g,cifar100,15,100,500,0.029978507009908516,0.0001466212993953321,0.06965947738967634,0.0013574389140923228,-0.039680970379767824,200,200,220.03403973579407
dinov2_g,cifar100,16,100,500,0.02981073160600579,0.0001831728526703353,0.06954346286459029,0.0013551052301311601,-0.039732731258584494,200,200,226.69721126556396
dinov2_g,cifar100,17,100,500,0.030166433961205802,0.00018703561019492432,0.06936676392270913,0.0013565958792213875,-0.03920032996150333,200,200,238.26103472709656
dinov2_g,cifar100,18,100,500,0.030045383976011364,0.00017317279599901134,0.06949042116900214,0.0013617442852928803,-0.03944503719299078,200,200,244.57736945152283
dinov2_g,cifar100,19,100,500,0.029611982722672386,0.00013474186680430313,0.06961778333561675,0.0013670018006135356,-0.040005800612944356,200,200,229.9403474330902
dinov2_g,cifar100,20,100,500,0.02992927014946768,0.00018334058354695982,0.06924325009738139,0.0013452754112604358,-0.039313979947913705,200,200,231.55517053604126
dinov2_g,cifar100,21,100,500,0.029846496783014716,0.00015394847964576562,0.06937463074061472,0.0013582616435062857,-0.0395281339576,200,200,240.18757677078247
dinov2_g,cifar100,22,100,500,0.030088912374594257,0.0001746777325432565,0.0695241809210247,0.0013573356825771843,-0.03943526854643045,200,200,230.65012884140015
dinov2_g,cifar100,23,100,500,0.02996292519397482,0.000185491699177,0.06943020453783676,0.0013503847897407325,-0.03946727934386193,200,200,244.62844014167786
dinov2_g,cifar100,24,100,500,0.02985737228017644,0.0001568105462667112,0.06965319231218714,0.0013592744411406903,-0.039795820032010695,200,200,240.70544362068176
dinov2_g,cifar100,25,100,500,0.029710900128302242,0.00011956351728402312,0.06955973672208496,0.0013588949993206497,-0.039848836593782716,200,200,232.303955078125
dinov2_g,cifar100,26,100,500,0.02984645057503595,0.0001661043987888444,0.06926555599517208,0.0013480720453895474,-0.03941910542013613,200,200,248.6067934036255
dinov2_g,cifar100,27,100,500,0.029968488098273044,0.00019021847910283412,0.06933626161120417,0.001352356136538789,-0.03936777351293112,200,200,252.44349217414856
dinov2_g,cifar100,28,100,500,0.03000832173784389,0.00017432997159872235,0.06920148742391956,0.001353853409605761,-0.03919316568607567,200,200,250.15117979049683
dinov2_g,cifar100,29,100,500,0.029836667234873448,0.00012069367265439294,0.06954702457660025,0.0013609185821414395,-0.0397103573417268,200,200,258.3723361492157
dinov2_g,dtd,-1,47,80,0.07308887946938485,0.0002303184640741918,0.1117244415705758,0.003887721761481142,-0.03863556210119096,200,200,231.91286206245422
dinov2_g,dtd,0,47,80,0.0729167503033483,0.0002561208905232589,0.1102839696292471,0.003785326881928065,-0.0373672193258988,200,200,230.20146203041077
dinov2_g,dtd,1,47,80,0.06830069095426347,0.00022250488016404874,0.11095437308373085,0.0036602294831284644,-0.04265368212946738,200,200,218.27156114578247
dinov2_g,dtd,2,47,80,0.07171054775601524,0.00026758159170552347,0.1092837629965595,0.0037717474864423107,-0.03757321524054426,200,200,219.16286635398865
dinov2_g,dtd,3,47,80,0.06964223175331287,0.000323232327344512,0.11002398943224369,0.0037020587963506896,-0.04038175767893082,200,200,216.6491346359253
dinov2_g,dtd,4,47,80,0.07138991475251305,0.00015837987620015553,0.10953318128416685,0.003818269005590582,-0.0381432665316538,200,200,220.0281159877777
dinov2_g,dtd,5,47,80,0.06822971157353354,0.00032294225005756786,0.11070155481538482,0.003861971659702569,-0.042471843241851284,200,200,221.27277636528015
dinov2_g,dtd,6,47,80,0.07005190270249655,0.00036189890373675214,0.10960493449538213,0.0036934734122684976,-0.03955303179288558,200,200,222.30373620986938
dinov2_g,dtd,7,47,80,0.0702972043863778,0.0002521435531233868,0.1099030708635268,0.0037050015200057866,-0.03960586647714899,200,200,218.74810647964478
dinov2_g,dtd,8,47,80,0.07225539211424767,0.00045164725569096185,0.10994399917953551,0.0037212069737467875,-0.037688607065287844,200,200,213.33115577697754
dinov2_g,dtd,9,47,80,0.07418523553642828,0.0004917668737127797,0.10999724324473081,0.0037817237470674516,-0.035812007708302535,200,200,218.92064499855042
dinov2_g,dtd,10,47,80,0.07173039157469357,0.00017396492531186695,0.1108477252796408,0.0038016045993128703,-0.03911733370494723,200,200,219.34437775611877
dinov2_g,dtd,11,47,80,0.07091320357120304,0.00017591625402515928,0.11106521486183056,0.0038193933575380264,-0.04015201129062752,200,200,220.91711044311523
dinov2_g,dtd,12,47,80,0.07190935874798775,0.0003487042773150558,0.11080718276238544,0.0036956759600635645,-0.03889782401439769,200,200,219.6263325214386
dinov2_g,dtd,13,47,80,0.07324951141020744,0.0003429713639477056,0.10982462692435192,0.003798254434959921,-0.03657511551414448,200,200,221.47747468948364
dinov2_g,dtd,14,47,80,0.07041829436887462,0.0003173825667530308,0.10981654391625666,0.0037846461069655887,-0.03939824954738204,200,200,210.75717401504517
dinov2_g,dtd,15,47,80,0.06942219914979902,0.00023557294615246974,0.11046918275950764,0.003696865130246631,-0.04104698360970861,200,200,224.24655747413635
dinov2_g,dtd,16,47,80,0.07328172095007458,0.0001978316400916083,0.10828054554171898,0.0036314335359581115,-0.0349988245916444,200,200,220.26085686683655
dinov2_g,dtd,17,47,80,0.07609810013665945,0.0002788962286300499,0.10909603871550705,0.0037593712069544493,-0.0329979385788476,200,200,218.04813027381897
dinov2_g,dtd,18,47,80,0.06984968658318369,0.0003925202852525384,0.11089817264267979,0.003766567379019855,-0.0410484860594961,200,200,213.78255414962769
dinov2_g,dtd,19,47,80,0.07108928252110727,0.0002497998585112305,0.10990980401654234,0.003753770535248998,-0.038820521495435065,200,200,216.3562512397766
dinov2_g,dtd,20,47,80,0.07269628341459224,0.00025457935448220005,0.11174258657097366,0.0038910714271108353,-0.039046303156381426,200,200,215.03873777389526
dinov2_g,dtd,21,47,80,0.07010231653598561,0.00035292300393695953,0.11124284986840317,0.0038160638101478734,-0.04114053333241756,200,200,216.10856103897095
dinov2_g,dtd,22,47,80,0.06874821428331182,0.0005108291717343352,0.11100177546079049,0.003828867155353796,-0.042253561177478666,200,200,211.78553247451782
dinov2_g,dtd,23,47,80,0.07090683003980348,0.0004889359616537685,0.11060495676379556,0.0037034480173568805,-0.039698126723992075,200,200,216.39912486076355
dinov2_g,dtd,24,47,80,0.0746545577680247,0.0004295230789859346,0.10910643047768488,0.003870764878674065,-0.034451872709660186,200,200,219.10992670059204
dinov2_g,dtd,25,47,80,0.06857562025336955,0.0004540130203041882,0.1096721659454785,0.0036904476610273625,-0.04109654569210895,200,200,218.7932469844818
dinov2_g,dtd,26,47,80,0.07051135597198174,0.00022272825681406218,0.11052606074862721,0.003819278221920686,-0.04001470477664547,200,200,221.9834258556366
dinov2_g,dtd,27,47,80,0.07120593343665087,0.0003950622337539573,0.10968728327620056,0.003803679020469253,-0.03848134983954969,200,200,226.7897825241089
