model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
dinov2_l,cifar100,-1,100,500,0.03646468310739012,0.00016461804818072786,0.07129818006414429,0.0015687160243546543,-0.03483349695675417,200,200,211.24956059455872
dinov2_l,cifar100,0,100,500,0.03646411740039734,0.00015856984105130936,0.0708856129115401,0.0015504711048935982,-0.034421495511142756,200,200,236.9609432220459
dinov2_l,cifar100,1,100,500,0.036327058417845844,0.0001268838401554444,0.07130483643314349,0.001582815362229762,-0.034977778015297646,200,200,239.13101601600647
dinov2_l,cifar100,2,100,500,0.036264379258723875,0.00011626616438836501,0.07144571503158258,0.0015731387718818824,-0.0351813357728587,200,200,228.84750938415527
dinov2_l,cifar100,3,100,500,0.03643341026613374,0.00011737284770928948,0.07094738587011076,0.0015603427823257154,-0.03451397560397702,200,200,224.53650641441345
dinov2_l,cifar100,4,100,500,0.03630502844894461,0.00013522790125462396,0.0710634625444699,0.001562739637619568,-0.03475843409552529,200,200,227.66418743133545
dinov2_l,cifar100,5,100,500,0.036294169788734426,0.00015419467988135268,0.07099755182355989,0.0015549492436076869,-0.03470338203482547,200,200,218.5563325881958
dinov2_l,cifar100,6,100,500,0.03575787151089259,0.00014412570124591967,0.07131218210978232,0.001579779664614937,-0.035554310598889735,200,200,220.69206643104553
dinov2_l,cifar100,7,100,500,0.036564166643276955,0.00011212748412556049,0.07115999980951745,0.001552578477231031,-0.0345958331662405,200,200,216.90526413917542
dinov2_l,cifar100,8,100,500,0.03644583194978497,0.0001658519364013654,0.07107184595831378,0.0015567274375228126,-0.03462601400852881,200,200,221.39131236076355
dinov2_l,cifar100,9,100,500,0.03603927926089177,0.0001637453886716671,0.07114717061661455,0.001561747873842298,-0.03510789135572278,200,200,225.22313475608826
dinov2_l,cifar100,10,100,500,0.03623007128150264,0.0001394852367899449,0.07104627004022436,0.0015558599188291418,-0.03481619875872172,200,200,221.47509145736694
dinov2_l,cifar100,11,100,500,0.036187148246759046,0.00010929629987199565,0.07137745747657492,0.0015563622306869096,-0.03519030922981588,200,200,220.5525300502777
dinov2_l,cifar100,12,100,500,0.03668873521982009,0.00014670074808141944,0.07096120956563486,0.0015640191172780831,-0.03427247434581476,200,200,222.48620748519897
dinov2_l,cifar100,13,100,500,0.03650802886573841,0.00015120889980673596,0.07131579255957497,0.0015659695777648643,-0.03480776369383656,200,200,221.84795212745667
dinov2_l,cifar100,14,100,500,0.0360147298444843,0.00013349757364723914,0.07103031705689992,0.0015530268813294047,-0.03501558721241563,200,200,217.88757872581482
dinov2_l,cifar100,15,100,500,0.036355915124286896,0.00011043931948376811,0.07133824098959334,0.0015700848773973063,-0.03498232586530644,200,200,221.66565918922424
dinov2_l,cifar100,16,100,500,0.036185767712245354,0.00017713188590144093,0.07114538745948827,0.0015590224046409323,-0.03495961974724292,200,200,218.35842657089233
dinov2_l,cifar100,17,100,500,0.0361180596214367,0.00013647110550844672,0.07110883352361977,0.0015614227637241946,-0.03499077390218307,200,200,239.80396676063538
dinov2_l,cifar100,18,100,500,0.036464827017752374,0.00017534989675875326,0.07120526786770578,0.001558023457768122,-0.03474044084995341,200,200,236.30223035812378
dinov2_l,cifar100,19,100,500,0.03593003044538014,0.00014838495282848283,0.07133216762376193,0.0015606890864018838,-0.035402137178381796,200,200,230.36948466300964
dinov2_l,cifar100,20,100,500,0.036522082365443666,0.00017059523509241274,0.07105384473099004,0.0015516127860971016,-0.03453176236554637,200,200,230.5369634628296
dinov2_l,cifar100,21,100,500,0.036615207051885576,0.00010788505415073847,0.07116376783434056,0.0015560327170442486,-0.03454856078245498,200,200,233.81507420539856
dinov2_l,cifar100,22,100,500,0.036213192881123374,0.00013713339063021156,0.07116590438691892,0.001565283640007326,-0.03495271150579554,200,200,241.2961835861206
dinov2_l,cifar100,23,100,500,0.03645404974649672,0.00012233823868531692,0.07103328679314179,0.0015492378853572655,-0.03457923704664507,200,200,237.98156023025513
dinov2_l,cifar100,24,100,500,0.03626462372068251,0.0001258132899706513,0.07135650251670514,0.0015585581923663802,-0.03509187879602263,200,200,228.5873565673828
dinov2_l,cifar100,25,100,500,0.03622445991643164,0.000111134703420969,0.07118801841709813,0.0015629837853315773,-0.034963558500666486,200,200,244.84456729888916
dinov2_l,cifar100,26,100,500,0.0361787164192662,0.000139293761622219,0.07105716501567207,0.0015594579822999035,-0.03487844859640587,200,200,246.58187294006348
dinov2_l,cifar100,27,100,500,0.036290324058001436,0.00015083371103438042,0.07115861545281514,0.0015655301889600376,-0.034868291394813705,200,200,253.47576713562012
dinov2_l,cifar100,28,100,500,0.03685992979146401,0.00012778138804003773,0.07097828167251581,0.0015597931413102663,-0.0341183518810518,200,200,247.38210225105286
dinov2_l,cifar100,29,100,500,0.03616891289003641,0.00013847690232489732,0.07121112062689396,0.001570674120296073,-0.035042207736857546,200,200,250.84846138954163
dinov2_l,dtd,-1,47,80,0.06926402629604358,0.00039434552188302675,0.11122027160835955,0.0036145014258347156,-0.04195624531231597,200,200,231.87492513656616
dinov2_l,dtd,0,47,80,0.06926564460313869,0.00030951529573745585,0.10933140844054468,0.003503309391393097,-0.04006576383740598,200,200,230.52143955230713
dinov2_l,dtd,1,47,80,0.0666069948507908,0.00017528825423612082,0.11003490372907607,0.003402223584177128,-0.043427908878285265,200,200,225.30257987976074
dinov2_l,dtd,2,47,80,0.06763874206606173,0.00032546246957221975,0.10854579604140355,0.0035445628318489042,-0.04090705397534182,200,200,218.51263761520386
dinov2_l,dtd,3,47,80,0.06630785585206556,0.00033040034061055236,0.10881856489859207,0.003457366143285816,-0.04251070904652651,200,200,217.7513885498047
dinov2_l,dtd,4,47,80,0.06895481213319796,0.00021277620001612164,0.10912997976489884,0.0035803357019209554,-0.040175167631700884,200,200,215.0201268196106
dinov2_l,dtd,5,47,80,0.065908779300373,0.0003377707668373094,0.10988930431859155,0.0036366523902866695,-0.043980525018218544,200,200,215.7917878627777
dinov2_l,dtd,6,47,80,0.06630396312989284,0.00034248174306312324,0.10899991190811086,0.0033877590968259806,-0.042695948778218015,200,200,215.58163714408875
dinov2_l,dtd,7,47,80,0.06685794708550867,0.0004179430975366852,0.10885222154640944,0.0034623125458254534,-0.041994274460900774,200,200,222.39219522476196
dinov2_l,dtd,8,47,80,0.06699755506465194,0.0004838280997780431,0.10876392366279825,0.0034425443931203883,-0.04176636859814631,200,200,216.89520907402039
dinov2_l,dtd,9,47,80,0.06811502735740843,0.00042073489238600903,0.10955195535948235,0.0035263890302614682,-0.04143692800207392,200,200,217.5985631942749
