model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
dinov2_s,cifar100,-1,100,500,0.0672418727517851,0.00028089798370294533,0.09782655450877624,0.0031144164089538084,-0.03058468175699114,200,200,225.02278470993042
dinov2_s,cifar100,0,100,500,0.06742352041209372,0.0002914892558503457,0.0976543634298996,0.0030895673109379933,-0.030230843017805875,200,200,233.92218732833862
dinov2_s,cifar100,1,100,500,0.0673596049722708,0.0003557533199545125,0.09773380015677187,0.0031245349567794803,-0.030374195184501074,200,200,216.44853949546814
dinov2_s,cifar100,2,100,500,0.06679740246672013,0.0002539030881797499,0.09766720952061864,0.0030886872026214133,-0.03086980705389851,200,200,229.3134880065918
dinov2_s,cifar100,3,100,500,0.06740401962368195,0.0002486087998831567,0.09752059992232272,0.0031004596542150206,-0.03011658029864077,200,200,213.5415050983429
dinov2_s,cifar100,4,100,500,0.06714312563644788,0.00022810731082527116,0.09768369813920671,0.0031085233600985623,-0.030540572502758837,200,200,215.42572855949402
dinov2_s,cifar100,5,100,500,0.067323463418593,0.00020285819627284513,0.097550167027741,0.003091344460198366,-0.030226703609148003,200,200,219.3727638721466
dinov2_s,cifar100,6,100,500,0.06666903691161069,0.0002753017438965958,0.09765565822363581,0.003100245933344411,-0.03098662131202512,200,200,216.02392315864563
dinov2_s,cifar100,7,100,500,0.06726660746951771,0.00029103927665372347,0.09765781616410671,0.0030801111468638084,-0.030391208694589,200,200,219.33159351348877
dinov2_s,cifar100,8,100,500,0.06698261377807087,0.0003043553477081002,0.09755984856042683,0.003086560084524556,-0.030577234782355966,200,200,215.30494832992554
dinov2_s,cifar100,9,100,500,0.06695140969058819,0.00030470072919549064,0.09754269010016424,0.0030966345511666687,-0.030591280409576052,200,200,218.8450038433075
dinov2_s,cifar100,10,100,500,0.06803586029706644,0.00035870375704769286,0.09772805887238203,0.0030951289612396902,-0.02969219857531559,200,200,217.14389967918396
dinov2_s,cifar100,11,100,500,0.06708877160937134,0.0003137392877187149,0.09788900122735476,0.0031150890315430795,-0.030800229617983427,200,200,213.5312042236328
dinov2_s,cifar100,12,100,500,0.06704578821505561,0.00017863219735070072,0.09763214254249838,0.003107328026599637,-0.030586354327442777,200,200,219.47876358032227
dinov2_s,cifar100,13,100,500,0.06776838732441849,0.00026692277009467553,0.09779311702723667,0.0031063921980393674,-0.03002472970281818,200,200,218.1369354724884
dinov2_s,cifar100,14,100,500,0.068052220850195,0.0003498596849750702,0.09771499455674455,0.003083052603710886,-0.02966277370654956,200,200,222.40527319908142
dinov2_s,cifar100,15,100,500,0.06672908895020616,0.00031542284103067977,0.09764631291067684,0.0030964704661287116,-0.030917223960470683,200,200,217.66606616973877
dinov2_s,cifar100,16,100,500,0.06754125600423642,0.0003743907403501387,0.09767235546650348,0.0031049587425260317,-0.030131099462267052,200,200,214.79897904396057
dinov2_s,cifar100,17,100,500,0.06668922125459859,0.00027233926294432145,0.09756461756543765,0.003101187332720073,-0.030875396310839062,200,200,226.41324090957642
dinov2_s,cifar100,18,100,500,0.06652176083573343,0.00027141688094407265,0.09769285178034559,0.003084722634725619,-0.031171090944612165,200,200,231.70738124847412
dinov2_s,cifar100,19,100,500,0.06715145347351767,0.00033866526899840866,0.09766757091367595,0.0031020403601383353,-0.03051611744015828,200,200,226.99435830116272
dinov2_s,cifar100,20,100,500,0.06699778128180581,0.0002714866295867767,0.09759994418965767,0.0030995699046902645,-0.030602162907851865,200,200,223.02430129051208
dinov2_s,cifar100,21,100,500,0.06699060301379113,0.00026363692479401034,0.09768473689322339,0.003104765579592334,-0.03069413387943226,200,200,231.80564737319946
dinov2_s,cifar100,22,100,500,0.06716460958623878,0.0002184330405553939,0.09766017424632141,0.003099572754091,-0.03049556466008263,200,200,223.5336184501648
dinov2_s,cifar100,23,100,500,0.06681174377931724,0.00026976069983110503,0.0974729626344751,0.003088435452686223,-0.03066121885515785,200,200,233.17491149902344
dinov2_s,cifar100,24,100,500,0.06707462077155225,0.0002560306502881114,0.09773065030431191,0.0030869850582763408,-0.030656029532759657,200,200,237.62100386619568
dinov2_s,cifar100,25,100,500,0.06650681099669395,0.0002942902504618688,0.09756269621591632,0.0030945868374151458,-0.031055885219222368,200,200,233.10505962371826
dinov2_s,cifar100,26,100,500,0.06634251898669571,0.00027534104820369203,0.09736992936134875,0.003079397808683178,-0.031027410374653036,200,200,228.25977635383606
dinov2_s,cifar100,27,100,500,0.06676184228385235,0.00027877834151343383,0.09768752637383937,0.0031152316805962916,-0.030925684089987027,200,200,235.81614351272583
dinov2_s,cifar100,28,100,500,0.0668792969962962,0.0002947482926899023,0.09767573670306157,0.003110705166822517,-0.030796439706765363,200,200,244.73291563987732
dinov2_s,cifar100,29,100,500,0.06635160706555923,0.00029345985461367853,0.0977037369942729,0.0031040050799733304,-0.03135212992871367,200,200,246.72855257987976
dinov2_s,dtd,-1,47,80,0.10531931977064338,0.00042696525002554325,0.12318498222627622,0.004989508978836911,-0.01786566245563284,200,200,227.93028593063354
dinov2_s,dtd,0,47,80,0.10469751915214368,0.00032778970563854243,0.1222190413832865,0.004926066094307343,-0.017521522231142825,200,200,231.7945146560669
dinov2_s,dtd,1,47,80,0.10410788919554341,0.0003301702804816258,0.12194739380101074,0.004803304362754384,-0.017839504605467335,200,200,236.08936738967896
dinov2_s,dtd,2,47,80,0.1058420416418627,0.0005255475796450544,0.12154403741981035,0.00493502188229105,-0.015701995777947647,199,200,220.08168983459473
dinov2_s,dtd,3,47,80,0.10591565264375483,0.0005595999142580057,0.1219627243292229,0.004856312246834758,-0.016047071685468067,199,200,217.22681879997253
dinov2_s,dtd,4,47,80,0.10565536523863062,0.0006147218538091362,0.12203039287296598,0.004981922772897907,-0.016375027634335362,199,200,217.29882884025574
dinov2_s,dtd,5,47,80,0.10729747933682139,0.0005063733457364874,0.12251154467754777,0.004963052169377097,-0.015214065340726377,199,200,219.13084983825684
dinov2_s,dtd,6,47,80,0.10425028127474154,0.0005668437671082396,0.12114374990754723,0.004820120884773612,-0.01689346863280569,199,200,215.54415106773376
dinov2_s,dtd,7,47,80,0.09803509496270893,0.00043072976660054664,0.12223863928145644,0.004820714176641527,-0.024203544318747508,200,200,226.05023407936096
dinov2_s,dtd,8,47,80,0.10511849055671216,0.00027333352020448724,0.12167902918045279,0.004922578466593077,-0.016560538623740628,199,200,214.26485061645508
dinov2_s,dtd,9,47,80,0.10654364890165398,0.0004419432867428599,0.1226873571440727,0.004915145175190511,-0.016143708242418717,199,200,218.75740504264832
dinov2_s,dtd,10,47,80,0.10589850038686169,0.000578591456779174,0.12245639969471991,0.004959623824328314,-0.016557899307858226,199,200,216.1825909614563
dinov2_s,dtd,11,47,80,0.10674771203552831,0.0004087893161790367,0.12238703519017324,0.004950013394215367,-0.015639323154644932,199,200,220.41455912590027
dinov2_s,dtd,12,47,80,0.10560223407265612,0.0005293205395329151,0.12259817456444919,0.0048148785439104365,-0.016995940491793066,200,200,218.8114447593689
dinov2_s,dtd,13,47,80,0.10568367176326476,0.00040881078829627283,0.12219016526264945,0.004906962174558296,-0.016506493499384683,199,200,220.66792702674866
dinov2_s,dtd,14,47,80,0.1052776039461178,0.0007084706172329466,0.12193562193830795,0.004915700639669227,-0.016658017992190147,200,200,214.77465629577637
dinov2_s,dtd,15,47,80,0.10275904136716571,0.00047402027182931103,0.12204666284871143,0.004838135620371158,-0.019287621481545725,200,200,218.15471148490906
dinov2_s,dtd,16,47,80,0.10617866593940103,0.0004667403260019545,0.12119241506802961,0.004817162638785971,-0.015013749128628573,199,200,219.02436423301697
dinov2_s,dtd,17,47,80,0.10618024342760668,0.0005727206693726343,0.12186817563061846,0.004904672693771945,-0.015687932203011776,199,200,218.9959728717804
dinov2_s,dtd,18,47,80,0.10483034261599014,0.00044312566503345305,0.12300776537275349,0.004893589493650117,-0.018177422756763345,200,200,218.69266057014465
dinov2_s,dtd,19,47,80,0.10810446063500159,0.00037067255080548424,0.12176699384794659,0.0048918175428756955,-0.013662533212945,199,200,219.62042021751404
dinov2_s,dtd,20,47,80,0.10595706220104839,0.0002545282063960007,0.12334672918523458,0.0049278510428356495,-0.01738966698418619,200,200,216.21131920814514
