model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
i21k_b,cifar100,-1,100,500,0.12592955120900734,0.00041531548991135056,0.12020199790546808,0.007242950937969662,0.0057275533035392595,43,200,242.6684386730194
i21k_b,cifar100,0,100,500,0.12672882730907106,0.00028303475542742525,0.1202132335745249,0.0071922101159801926,0.00651559373454616,40,200,238.35914826393127
i21k_b,cifar100,1,100,500,0.12598267126235796,0.0004242193901332362,0.12024145115119804,0.007204842073968867,0.00574122011115992,43,200,227.91938519477844
i21k_b,cifar100,2,100,500,0.12415087156649733,0.0003405425827661466,0.1199119278133488,0.007238868541547288,0.004238943753148525,59,200,223.1584656238556
i21k_b,cifar100,3,100,500,0.12637755328667097,0.0004188980208648882,0.12029867303450544,0.007223823767686346,0.006078880252165533,42,200,222.07095956802368
i21k_b,cifar100,4,100,500,0.12528973860765016,0.00041432290168283474,0.12040559710175704,0.007221660155523877,0.0048841415058931276,54,200,223.6692397594452
i21k_b,cifar100,5,100,500,0.12732542523507145,0.00046311974038810706,0.12023803044781126,0.007169373538862111,0.007087394787260198,36,200,219.22553944587708
i21k_b,cifar100,6,100,500,0.1278801502141424,0.0004706485865807857,0.12025389031199647,0.007245042635984529,0.007626259902145924,32,200,214.37340641021729
i21k_b,cifar100,7,100,500,0.12485086579336017,0.0003786260467824233,0.11996375359241457,0.007230807368477124,0.004887112200945606,53,200,220.77711081504822
i21k_b,cifar100,8,100,500,0.1239641965921738,0.0004052787399533767,0.12006613455537424,0.007226658606720535,0.003898062036799557,62,200,222.93180131912231
i21k_b,cifar100,9,100,500,0.12385403802460879,0.0004917900519470597,0.12004589312510668,0.007224513440807474,0.003808144899502111,65,200,210.97731757164001
i21k_b,cifar100,10,100,500,0.12490006188988487,0.00034147942972187245,0.12033987360609272,0.0071964570012048226,0.004560188283792149,56,200,214.1750454902649
i21k_b,cifar100,11,100,500,0.12538718820255434,0.0004722042170065241,0.11992521369416696,0.007230095436350489,0.005461974508387382,45,200,216.2011182308197
i21k_b,cifar100,12,100,500,0.12595310982369406,0.0004110229046130139,0.1199311541813768,0.007256841098223898,0.006021955642317264,42,200,216.29546976089478
i21k_b,cifar100,13,100,500,0.1253500070865234,0.0002818213360807158,0.11990058840618677,0.007198779061743912,0.005449418680336646,45,200,217.25069403648376
i21k_b,cifar100,14,100,500,0.12653329765740445,0.0004165640753031896,0.12007525052238753,0.007249161872797694,0.006458047135016923,39,200,214.87353539466858
i21k_b,cifar100,15,100,500,0.125061280275446,0.00044726624557620204,0.12023725383491055,0.007231929707706949,0.0048240264405354505,53,200,219.48639297485352
i21k_b,cifar100,16,100,500,0.12357964398904628,0.0003209188955191508,0.12020500690145493,0.007208152425125247,0.0033746370875913506,70,200,214.91865825653076
i21k_b,cifar100,17,100,500,0.12631223336104183,0.000395757813773348,0.11999912243108483,0.007226312701689734,0.006313110929956997,41,200,231.11487698554993
i21k_b,cifar100,18,100,500,0.125796410021741,0.0004368720634346229,0.12032615606183716,0.007189862513206115,0.005470253959903831,45,200,230.29380416870117
i21k_b,cifar100,19,100,500,0.12397110090532584,0.00040089551605001,0.11982683946841373,0.007213052240354358,0.004144261436912114,58,200,233.0248293876648
i21k_b,cifar100,20,100,500,0.12585155207673165,0.0003454277494735988,0.12018820477767869,0.007204456195597336,0.005663347299052962,43,200,232.4047179222107
i21k_b,cifar100,21,100,500,0.1266188276762465,0.0004220939488082064,0.11980276959483466,0.007227409181338408,0.0068160580814118354,38,200,218.99645161628723
i21k_b,cifar100,22,100,500,0.12516435398308884,0.00036263292048174296,0.12019248109866094,0.007165411484164013,0.004971872884427894,49,200,228.91927695274353
i21k_b,cifar100,23,100,500,0.12497243692732285,0.0003937395604325617,0.11998514759555533,0.007235511477054111,0.004987289331767522,52,200,235.1804280281067
i21k_b,cifar100,24,100,500,0.12442734088443266,0.0003306872481666411,0.11975708955784209,0.0072318634876529534,0.004670251326590574,56,200,234.22057795524597
i21k_b,cifar100,25,100,500,0.12674685966757618,0.00042797411665097736,0.11977598536738764,0.007237629910109785,0.006970874300188543,37,200,228.39792037010193
i21k_b,cifar100,26,100,500,0.12563600654172577,0.0004958148076301996,0.12002137199951451,0.0071874915549038675,0.005614634542211255,43,200,225.26056003570557
i21k_b,cifar100,27,100,500,0.12543734894464525,0.0003299851914121938,0.12009244108781358,0.007211545731106452,0.005344907856831671,46,200,246.62325310707092
i21k_b,cifar100,28,100,500,0.12637603263930683,0.0005285028923904771,0.11985519692773584,0.00725363345865756,0.006520835711570985,40,200,240.22066521644592
i21k_b,cifar100,29,100,500,0.1268104173054215,0.0003898396318492672,0.12014958826940714,0.007185401519918111,0.006660829036014365,39,200,245.2199366092682
i21k_b,dtd,-1,47,80,0.08885700661181575,0.00044942660245905384,0.10963020494911543,0.00492482301499728,-0.02077319833729968,200,200,231.90834212303162
i21k_b,dtd,0,47,80,0.08641279903012553,0.0002769096888064945,0.10806361514933766,0.004744645959919922,-0.02165081611921213,200,200,241.05144357681274
i21k_b,dtd,1,47,80,0.08778874060124768,0.0004958568021188782,0.1084121099445564,0.004749052379820998,-0.020623369343308717,200,200,231.989328622818
i21k_b,dtd,2,47,80,0.08651056963908861,0.0003933664542275917,0.107977590737089,0.004752497682457885,-0.02146702109800039,200,200,218.8206250667572
i21k_b,dtd,3,47,80,0.08826178264430322,0.00021783083028040204,0.10831636928830403,0.004755059902421076,-0.02005458664400081,200,200,222.9615933895111
i21k_b,dtd,4,47,80,0.08775361198249107,0.0002798579192532905,0.10847170872394253,0.004741774031146668,-0.02071809674145146,200,200,222.78716588020325
i21k_b,dtd,5,47,80,0.08675815197480932,0.0001742206271438432,0.10866562882709516,0.004818748129149808,-0.021907476852285834,200,200,232.89373302459717
i21k_b,dtd,6,47,80,0.08524914964618817,0.00042666114027148876,0.10742301516309077,0.00468341964683527,-0.022173865516902605,200,200,220.27199983596802
i21k_b,dtd,7,47,80,0.088334040704746,0.000234576556080201,0.10805552968018815,0.004685088043949965,-0.019721488975442153,200,200,219.03189420700073
i21k_b,dtd,8,47,80,0.0903151822710918,0.0003201802215519042,0.10894416584346459,0.004842742313339424,-0.01862898357237279,200,200,224.89970707893372
i21k_b,dtd,9,47,80,0.08566005228984833,0.0003012502079885668,0.1080780975261146,0.004734632827522045,-0.022418045236266268,200,200,219.29944038391113
i21k_b,dtd,10,47,80,0.08808446638462371,0.00029274597944159897,0.10933990375249816,0.004881322476774683,-0.021255437367874455,200,200,220.40825271606445
i21k_b,dtd,11,47,80,0.08514770121889967,0.000246863148905417,0.10762768635435062,0.004757500377907028,-0.02247998513545095,200,200,225.39195132255554
i21k_b,dtd,12,47,80,0.0852343554190094,0.00024070679481253936,0.1080899543498051,0.004774848010519028,-0.02285559893079571,200,200,213.89126205444336
i21k_b,dtd,13,47,80,0.08749573987432212,0.00033141048961469387,0.10879513036022169,0.004773514936636432,-0.021299390485899572,200,200,221.93190956115723
i21k_b,dtd,14,47,80,0.08857643857423406,0.00025858533106188286,0.10816975512471767,0.0047558196696039666,-0.019593316550483617,200,200,223.5655210018158
i21k_b,dtd,15,47,80,0.08671623787677447,0.00021545933417197892,0.10837338246957026,0.004773844353110777,-0.021657144592795788,200,200,220.94281101226807
i21k_b,dtd,16,47,80,0.08563950763867371,0.0005387246546163834,0.10774876054347018,0.004743274043770234,-0.02210925290479647,200,200,213.41194438934326
i21k_b,dtd,17,47,80,0.08510566261248573,0.00028673884966051597,0.10702156482533791,0.004700975373317028,-0.02191590221285218,200,200,217.85526847839355
i21k_b,dtd,18,47,80,0.08556718992208695,0.0003130620537649463,0.10931340033425925,0.0047843913887677305,-0.0237462104121723,200,200,222.35248708724976
i21k_b,dtd,19,47,80,0.08989060430775045,0.00018240262068892367,0.1070624138914325,0.004717347545697236,-0.017171809583682057,200,200,225.9084610939026
i21k_b,dtd,20,47,80,0.08590116485334312,0.0001411228102441039,0.1088438353039755,0.004834783549633722,-0.022942670450632377,200,200,218.96415615081787
i21k_b,dtd,21,47,80,0.08587571923336076,0.00017894342716832899,0.10904107722802642,0.004760991467648974,-0.023165357994665653,200,200,224.64444231987
i21k_b,dtd,22,47,80,0.08385164634178442,0.00027141600894951275,0.10837861817916805,0.004705332950934625,-0.02452697183738363,200,200,221.87413597106934
i21k_b,dtd,23,47,80,0.0890947908616562,0.0004232850948121893,0.10849973606077182,0.004805336128677713,-0.01940494519911562,200,200,221.52767872810364
i21k_b,dtd,24,47,80,0.08639286341050183,0.0003090791232623844,0.10811811595204715,0.004790828236338843,-0.021725252541545323,200,200,222.13359212875366
i21k_b,dtd,25,47,80,0.0846058871300458,0.00026739600878967747,0.10787582882793402,0.004712447084686693,-0.023269941697888222,200,200,228.2798376083374
i21k_b,dtd,26,47,80,0.0901240122507021,0.00016929365321838134,0.10908497211381714,0.004861078587687947,-0.018960959863115037,200,200,222.44277930259705
i21k_b,dtd,27,47,80,0.08740526707117346,0.00029110032638499426,0.10814109881814991,0.004747589696531809,-0.02073583174697645,200,200,224.97127509117126
i21k_b,dtd,28,47,80,0.08872672346237231,0.0005025200505881522,0.10744162416550482,0.0046820480765113765,-0.018714900703132503,200,200,219.2779266834259
i21k_b,dtd,29,47,80,0.08764638230364126,0.0002969129162873391,0.10799882235696596,0.004722820861023736,-0.020352440053324705,200,200,144.64457535743713
