model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
i21k_l,cifar100,-1,100,500,0.09395713512929824,0.00021135002477319726,0.11443380939662294,0.00510465479628416,-0.020476674267324704,200,200,241.0048451423645
i21k_l,cifar100,0,100,500,0.09377959816284283,0.00026592162314750096,0.11421958112927197,0.00504350254801863,-0.02043998296642914,200,200,240.60251212120056
i21k_l,cifar100,1,100,500,0.09408261630441683,0.00025740205557234555,0.11436909760995459,0.00506138650292342,-0.020286481305537757,200,200,236.11569666862488
i21k_l,cifar100,2,100,500,0.09358833191068223,0.0002780749049658023,0.11433725566825867,0.005098289408055756,-0.020748923757576435,200,200,224.18304109573364
i21k_l,cifar100,3,100,500,0.09468711780735109,0.0002172819364590141,0.11424426339873349,0.005071746114622433,-0.0195571455913824,200,200,219.06677651405334
i21k_l,cifar100,4,100,500,0.09346752545974094,0.0002333758406142593,0.11433438089065706,0.005060393804665692,-0.020866855430916126,200,200,222.7598934173584
i21k_l,cifar100,5,100,500,0.09361275605784969,0.00020466742249988505,0.11421009453699274,0.005050115105029933,-0.02059733847914305,200,200,216.41173124313354
i21k_l,cifar100,6,100,500,0.0937118129802941,0.0002778454538093758,0.11423810272046349,0.005070098809348009,-0.020526289740169387,200,200,223.87858152389526
i21k_l,cifar100,7,100,500,0.09366551770679653,0.0002746582779449523,0.1140371807985813,0.005064544837182588,-0.020371663091784772,200,200,227.0156741142273
i21k_l,cifar100,8,100,500,0.09379456167216971,0.000244343551267938,0.11411252869832221,0.005069542664985764,-0.020317967026152503,200,200,221.04928851127625
i21k_l,cifar100,9,100,500,0.09398356876130401,0.00024302611693650478,0.11418452955876723,0.005059728326399508,-0.020200960797463224,200,200,219.05352187156677
i21k_l,cifar100,10,100,500,0.09337590760661199,0.0002612690242136804,0.11429353365638616,0.0050366413070368566,-0.020917626049774166,200,200,216.96256756782532
i21k_l,cifar100,11,100,500,0.09230043364033817,0.00022069159584457728,0.11423639789414232,0.005092090177616938,-0.021935964253804147,200,200,228.31604981422424
i21k_l,cifar100,12,100,500,0.09478921150472727,0.0002343299679605522,0.11414265915267947,0.005088214328229209,-0.0193534476479522,200,200,220.91578269004822
i21k_l,cifar100,13,100,500,0.09381936622195003,0.0002698905200355061,0.11417460983266588,0.0050561422825928315,-0.020355243610715848,200,200,215.51947569847107
i21k_l,cifar100,14,100,500,0.09396055600090022,0.0002693385970300101,0.11443150419713884,0.0050995258607665125,-0.02047094819623861,200,200,222.78512597084045
i21k_l,cifar100,15,100,500,0.09359091143168888,0.000293895356675899,0.11427408432725947,0.005080374424849727,-0.02068317289557059,200,200,229.53882765769958
i21k_l,cifar100,16,100,500,0.09350672083824449,0.00020525353915643393,0.1142122163310513,0.005072925477510993,-0.020705495492806814,200,200,223.29789113998413
i21k_l,cifar100,17,100,500,0.0938206596013745,0.00025305508197993334,0.11398479595372145,0.005081478178914763,-0.020164136352346942,200,200,240.18818497657776
i21k_l,cifar100,18,100,500,0.0943066545778302,0.00029432044004276675,0.11413851780119419,0.0050933702704496235,-0.019831863223363985,200,200,235.98193883895874
