model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
i21k_s,cifar100,-1,100,500,0.12201883887540599,0.0003118169999520068,0.12236857691019239,0.006989204424546321,-0.0003497380347863982,111,200,222.1547827720642
i21k_s,cifar100,0,100,500,0.1218571920933453,0.00022187732360091903,0.12210556544120671,0.006944358670503864,-0.0002483733478614025,111,200,227.47710847854614
i21k_s,cifar100,1,100,500,0.12317156176653124,0.0003853748997763409,0.12208274416140369,0.0070059775788103695,0.001088817605127551,95,200,231.36892676353455
i21k_s,cifar100,2,100,500,0.12041120208256413,0.0002782102601116691,0.1224938825446063,0.0069485782267487235,-0.002082680462042172,125,200,221.58591198921204
i21k_s,cifar100,3,100,500,0.12252728995419107,0.00026403155381189046,0.12234978316155357,0.006964251789338747,0.00017750679263750513,107,200,214.27010083198547
i21k_s,cifar100,4,100,500,0.12137511753566788,0.0003023389175788686,0.1225177040797051,0.006983996064785393,-0.001142586544037219,118,200,213.94233107566833
i21k_s,cifar100,5,100,500,0.12356542416544988,0.00031455165220243213,0.12235863184602085,0.0069328644086050885,0.001206792319429037,95,200,215.9357168674469
i21k_s,cifar100,6,100,500,0.12392119618832269,0.00028344864053641525,0.12238005940918666,0.006978189750967771,0.001541136779136032,92,200,211.73117446899414
i21k_s,cifar100,7,100,500,0.1210067103805859,0.00034212154967238907,0.12208913130786708,0.006984034635956654,-0.001082420927281183,116,200,217.84000515937805
i21k_s,cifar100,8,100,500,0.12102506645789386,0.00019944842627138857,0.12201296769347367,0.006991021031757216,-0.000987901235579805,116,200,214.9786298274994
i21k_s,cifar100,9,100,500,0.12058394430968537,0.0002983343920889135,0.12222895680503293,0.006978403425618209,-0.001645012495347556,122,200,214.1703200340271
i21k_s,cifar100,10,100,500,0.1214085522587743,0.00022940623744793228,0.12207520208157949,0.006987802067145976,-0.0006666498228051904,113,200,214.14295864105225
i21k_s,cifar100,11,100,500,0.12133431470044032,0.0003124178699710936,0.12248744137554336,0.00693228870526694,-0.0011531266751030472,117,200,211.13134741783142
i21k_s,cifar100,12,100,500,0.12285844896682767,0.00016586466775454282,0.1224112356449937,0.006962337500979362,0.0004472133218339641,104,200,218.61096596717834
i21k_s,cifar100,13,100,500,0.12155982420753211,0.0003438625138233411,0.12202066663738168,0.007000517172550434,-0.0004608424298495617,112,200,216.02936363220215
i21k_s,cifar100,14,100,500,0.1224842948555626,0.0002835923776201285,0.12211436893393995,0.007002672077385056,0.00036992592162264637,106,200,213.03774237632751
i21k_s,cifar100,15,100,500,0.12086373864115692,0.00024084926373771676,0.12222551395468552,0.006991987576280898,-0.0013617753135286015,119,200,216.07682824134827
i21k_s,cifar100,16,100,500,0.11900503920530454,0.0002851600831559758,0.12235340749164536,0.006930636246331898,-0.0033483682863408165,129,200,216.53387880325317
i21k_s,cifar100,17,100,500,0.12191416100225065,0.00032156422787357904,0.12230109016896268,0.006971339800881165,-0.00038692916671202726,111,200,226.32950067520142
i21k_s,cifar100,18,100,500,0.12319327125397561,0.00026947447102798605,0.1222335237630777,0.00695571070069048,0.0009597474908979164,97,200,221.62626838684082
i21k_s,cifar100,19,100,500,0.12196487477758125,0.00036418869204408154,0.12196594734205343,0.006964075741691387,-1.0725644721820693e-06,109,200,227.70885682106018
i21k_s,cifar100,20,100,500,0.12165389751581832,0.00038404536390707083,0.12246606375264904,0.006945777030845622,-0.0008121662368307248,115,200,225.17146158218384
i21k_s,cifar100,21,100,500,0.12432870807561858,0.0005357751573555174,0.1222120941079427,0.006974802462861501,0.0021166139676758733,85,200,222.72990894317627
i21k_s,cifar100,22,100,500,0.12044838793114983,0.00027718896898144146,0.1222309989203624,0.00691951542830809,-0.0017826109892125769,122,200,226.23656582832336
i21k_s,cifar100,23,100,500,0.12110109251085346,0.00036200357780174456,0.12203902023568002,0.006980354392088684,-0.0009379277248265511,116,200,230.24192810058594
i21k_s,cifar100,24,100,500,0.12061427510910341,0.0004616569872903395,0.12212370685146759,0.006971311892600498,-0.0015094317423641757,122,200,235.0190465450287
i21k_s,cifar100,25,100,500,0.12257087535337594,0.0004374714212957012,0.12199139550799779,0.006976660749251986,0.0005794798453781502,105,200,228.9388816356659
i21k_s,cifar100,26,100,500,0.12219374039526613,0.0002525380691538043,0.12222497111277064,0.00692328764241958,-3.1230717504507344e-05,110,200,227.5176854133606
i21k_s,cifar100,27,100,500,0.12149665117147382,0.0002965535217292414,0.12212000297570719,0.006955500367081144,-0.0006233518042333686,112,200,228.1588237285614
i21k_s,cifar100,28,100,500,0.12195203126810646,0.00035536189220968667,0.12198506815107145,0.007008784325690876,-3.3036882964992964e-05,108,200,247.61835384368896
i21k_s,cifar100,29,100,500,0.1225723501919278,0.00029825352951713555,0.12224882928969745,0.006953597984249725,0.0003235209022303537,106,200,238.77233123779297
i21k_s,dtd,-1,47,80,0.09584507552385388,0.0003461725965027012,0.11444203183821554,0.005553982856272827,-0.01859695631436166,199,200,234.6444799900055
i21k_s,dtd,0,47,80,0.09625939781361134,0.0002803657344602614,0.11355392373803148,0.005445003388398158,-0.017294525924420143,199,200,224.3864300251007
i21k_s,dtd,1,47,80,0.09261873171414252,0.00025298695118652827,0.1141976823017482,0.0053759312925456704,-0.021578950587605686,200,200,237.67081546783447
i21k_s,dtd,2,47,80,0.09363856133639487,0.00033831898157281597,0.11299737103808666,0.005414522730074377,-0.019358809701691793,200,200,220.56314516067505
i21k_s,dtd,3,47,80,0.09238255204299292,0.00011766200056805171,0.11367650168922387,0.005376503433169081,-0.02129394964623095,200,200,220.82909297943115
i21k_s,dtd,4,47,80,0.09525449660808769,0.00036487652343328926,0.11263208121365377,0.005353064998501454,-0.017377584605566085,199,200,215.56441235542297
i21k_s,dtd,5,47,80,0.0964972402376401,0.0003557853161764552,0.1135686859834124,0.005486341719237639,-0.017071445745772296,199,200,223.26492619514465
i21k_s,dtd,6,47,80,0.09507284164161085,0.000202359721948784,0.11344388145964004,0.005407081657224854,-0.01837103981802919,199,200,216.90444231033325
i21k_s,dtd,7,47,80,0.09406687429395867,0.00011957668978137405,0.11328228492873307,0.005347960706240544,-0.019215410634774402,200,200,219.76599431037903
i21k_s,dtd,8,47,80,0.096322634768535,0.0002296791896992459,0.1135491609307307,0.005439596186717012,-0.017226526162195693,199,200,214.68133735656738
i21k_s,dtd,9,47,80,0.09583666100065417,0.0003961845429080443,0.11292858929178412,0.005377176478937082,-0.017091928291129946,199,200,216.59397101402283
i21k_s,dtd,10,47,80,0.09598549438318689,0.00032165019573075445,0.11466981132970316,0.0055066855309453605,-0.018684316946516275,199,200,215.09491395950317
i21k_s,dtd,11,47,80,0.0951892085400905,0.0001409268928774883,0.11255216687987338,0.0053629985176257885,-0.01736295833978288,199,200,221.02350211143494
i21k_s,dtd,12,47,80,0.09204976244069071,0.0003017536110277458,0.11387835350742388,0.005392294949620904,-0.02182859106673317,200,200,215.00538635253906
i21k_s,dtd,13,47,80,0.09738800270272026,0.00034695387785588244,0.11354917453133179,0.005423007376454889,-0.01616117182861153,199,200,214.53599667549133
i21k_s,dtd,14,47,80,0.09390978626167033,0.0003453222568159358,0.11300005807722205,0.005384763082459058,-0.019090271815551715,200,200,216.51831221580505
i21k_s,dtd,15,47,80,0.09460301686374258,0.0004247833830792289,0.11404491386570083,0.005455343731045072,-0.019441897001958253,200,200,211.5679714679718
i21k_s,dtd,16,47,80,0.09425958922651803,0.00021831093269789327,0.11367640828725274,0.0053804393299753785,-0.01941681906073471,200,200,217.572345495224
i21k_s,dtd,17,47,80,0.09344059160523388,0.000418692223681357,0.11241407494685611,0.005326090741456553,-0.01897348334162223,200,200,222.82418513298035
i21k_s,dtd,18,47,80,0.09023094397885417,0.00024280724691544783,0.11444414240498497,0.005438045796047788,-0.024213198426130803,200,200,214.9464111328125
i21k_s,dtd,19,47,80,0.09504490683546084,0.00018994401449272987,0.11176364770055716,0.005312821658972053,-0.016718740865096324,199,200,219.2248992919922
i21k_s,dtd,20,47,80,0.09326921870169164,0.00028179919326757426,0.11434672710350367,0.005507734175466466,-0.021077508401812037,200,200,210.17942881584167
i21k_s,dtd,21,47,80,0.09326740389752203,0.00026235469985643394,0.11395363850504978,0.005434269927810612,-0.020686234607527748,200,200,213.81686186790466
i21k_s,dtd,22,47,80,0.09625670231860609,0.00012246632610892283,0.1136562964616426,0.005362760858120867,-0.017399594143036518,199,200,213.5955662727356
i21k_s,dtd,23,47,80,0.09604284671216433,0.0002575159587367066,0.11317274241683585,0.005405826409789195,-0.01712989570467152,199,200,219.36007952690125
i21k_s,dtd,24,47,80,0.09334049689632265,0.0003239603272769974,0.11273633951353645,0.005397384274971946,-0.019395842617213804,200,200,213.75737118721008
i21k_s,dtd,25,47,80,0.09193136180133724,0.00023276566062845787,0.11380120926281856,0.00539706029485539,-0.021869847461481323,200,200,222.56043314933777
i21k_s,dtd,26,47,80,0.09714360293615903,0.0002827256518449071,0.11398541979254759,0.005508232940043106,-0.016841816856388553,199,200,219.66491079330444
i21k_s,dtd,27,47,80,0.09129598887408515,0.00021744125978049217,0.11286260501234366,0.005352930446353672,-0.021566616138258513,200,200,204.31135392189026
i21k_s,dtd,28,47,80,0.09448621761490347,0.00022516300981198186,0.11283445868828636,0.005413130021488949,-0.018348241073382884,199,200,212.16856861114502
i21k_s,dtd,29,47,80,0.09680734504101372,0.00017538372648592267,0.1132046483449955,0.0053655998806817545,-0.016397303303981772,199,200,211.8984513282776
