model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
i21k_t,cifar100,-1,100,500,0.13091116037629616,0.00018946347045129994,0.13735744238150233,0.008440346745269561,-0.0064462820052061665,151,200,211.93896770477295
i21k_t,cifar100,0,100,500,0.128027331268342,0.00025901970961437896,0.1368845642251291,0.008436419581117634,-0.008857232956787087,170,200,237.8663468360901
i21k_t,cifar100,1,100,500,0.13110238236564753,0.0004141580394931629,0.1373341461173406,0.00835112871357294,-0.00623176375169307,151,200,227.9061405658722
i21k_t,cifar100,2,100,500,0.13140714778213708,0.0003809998908761527,0.13730724143309733,0.008379301670683667,-0.005900093650960253,148,200,223.4076418876648
i21k_t,cifar100,3,100,500,0.13196703341962207,0.00041604295585024524,0.13737919750531633,0.008397994587544566,-0.005412164085694254,143,200,219.7836947441101
i21k_t,cifar100,4,100,500,0.13270806614192854,0.0002567274654606951,0.1368407062914763,0.00849323520923648,-0.004132640149547756,130,200,215.0633614063263
i21k_t,cifar100,5,100,500,0.13327667336915788,0.00031553037069514874,0.1373465164491971,0.008392840552877985,-0.004069843080039215,131,200,215.34558415412903
i21k_t,cifar100,6,100,500,0.1307218974458739,0.00025576268080910764,0.1371943519905661,0.00840251165903059,-0.006472454544692197,151,200,210.98054194450378
i21k_t,cifar100,7,100,500,0.13132139840524865,0.0003666284816677055,0.13697293022820156,0.008439638580338023,-0.0056515318229529155,145,200,218.0870566368103
i21k_t,cifar100,8,100,500,0.13186582558444707,0.00038693592013977403,0.1367152983863396,0.008455731636557285,-0.004849472801892546,136,200,215.56796002388
i21k_t,cifar100,9,100,500,0.13049467859361036,0.00021005972858400987,0.13738003246189234,0.008424490259799624,-0.006885353868281985,155,200,218.80098843574524
i21k_t,cifar100,10,100,500,0.13125513561664465,0.0003758112734128238,0.13686106993270616,0.008473699720668252,-0.005605934316061517,143,200,211.80011892318726
i21k_t,cifar100,11,100,500,0.12665441795354565,0.0003410496822135811,0.13719320454085016,0.008412648393364648,-0.010538786587304505,179,200,213.90967440605164
i21k_t,cifar100,12,100,500,0.1308995335586904,0.0005794899942972932,0.13702184935277892,0.008376360424558856,-0.0061223157940885065,149,200,216.03753519058228
i21k_t,cifar100,13,100,500,0.12985690811649037,0.0002920033090256558,0.13692702509462135,0.008388781838900308,-0.00707011697813098,159,200,222.41784000396729
i21k_t,cifar100,14,100,500,0.13429897975274746,0.0002618023735047252,0.13683971536089337,0.00848371792259509,-0.002540735608145911,118,200,212.37275314331055
i21k_t,cifar100,15,100,500,0.1307085638788136,0.00027663422407673584,0.13660295421179763,0.008462693745378244,-0.005894390332984029,147,200,205.81768894195557
i21k_t,cifar100,16,100,500,0.13043085384252034,0.00034783782281551574,0.13720725394139877,0.00839697227782327,-0.006776400098878421,155,200,216.17598509788513
i21k_t,cifar100,17,100,500,0.13309394702712649,0.00020535295095973252,0.1370020698397614,0.008470571248212034,-0.003908122812634918,130,200,212.88023900985718
i21k_t,cifar100,18,100,500,0.13199625542302953,0.0003380786912789528,0.1371992574049644,0.008419582874979795,-0.005203001981934852,141,200,233.5931534767151
i21k_t,cifar100,19,100,500,0.13109620575666547,0.000288746581776123,0.13710045769328358,0.008410054000384033,-0.006004251936618105,149,200,232.82471203804016
i21k_t,cifar100,20,100,500,0.13135947781204024,0.00024558939913397787,0.13754802498924568,0.008297152604048431,-0.0061885471772054335,151,200,226.96790671348572
i21k_t,cifar100,21,100,500,0.13126766826106417,0.00035208654069509047,0.13708586652092294,0.00840473498614546,-0.00581819825985877,146,200,222.2421269416809
i21k_t,cifar100,22,100,500,0.13192556373433167,0.0003545846256095434,0.13670099849271813,0.008478059558711195,-0.00477543475838646,137,200,221.56118297576904
i21k_t,cifar100,23,100,500,0.13066675208369533,0.0002998549182118348,0.13720375681081987,0.008383941516538162,-0.00653700472712454,153,200,221.58669567108154
i21k_t,cifar100,24,100,500,0.1325827222718239,0.0002860477997598629,0.1370352303620681,0.008422192366331223,-0.004452508090244195,135,200,228.96467566490173
i21k_t,cifar100,25,100,500,0.1276197683855914,0.0003444139282175168,0.1369110471961582,0.008449064545107408,-0.009291278810566822,172,200,226.54608535766602
i21k_t,cifar100,26,100,500,0.12899132808577776,0.0003900117882266527,0.13731761866582773,0.008366986560637123,-0.008326290580049966,165,200,225.9361801147461
i21k_t,cifar100,27,100,500,0.1342433579100021,0.00036493858113585047,0.1369224845988987,0.008400252903031008,-0.0026791266888965826,118,200,233.49927163124084
i21k_t,cifar100,28,100,500,0.13101389459620388,0.00029993654549162143,0.13702132253757096,0.008386025874105517,-0.006007427941367077,149,200,242.1447160243988
i21k_t,cifar100,29,100,500,0.13323932131877214,0.0002278293622428757,0.13714143932246167,0.008426645525047606,-0.003902118003689531,129,200,235.55384230613708
i21k_t,dtd,-1,47,80,0.1105465467483246,0.0002472334637240465,0.12475382159559394,0.006972941435007293,-0.01420727484726933,197,200,231.55613446235657
i21k_t,dtd,0,47,80,0.10661943810341024,0.00028778269140332776,0.12452649748396054,0.006912855499339268,-0.017907059380550303,199,200,231.38726043701172
i21k_t,dtd,1,47,80,0.1114948772151532,0.00030260136855395883,0.1251198594073408,0.00683836410280646,-0.013624982192187593,196,200,231.00903248786926
