model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
siglip_b,cifar100,-1,100,500,0.09781604158699787,0.0005469030512733433,0.11978152350086715,0.005059422080363259,-0.02196548191386928,200,200,236.46663522720337
siglip_b,cifar100,0,100,500,0.0989944379315238,0.0005784680217680524,0.11970183997602984,0.005038897678591446,-0.02070740204450605,200,200,231.57300543785095
siglip_b,cifar100,1,100,500,0.09815463176842958,0.0004928837731501596,0.11965158181412533,0.005060115326953621,-0.021496950045695754,200,200,234.4747233390808
siglip_b,cifar100,2,100,500,0.09796308482898436,0.0005266765215523083,0.11972345564009039,0.005033665558428331,-0.02176037081110603,200,200,225.01720428466797
siglip_b,cifar100,3,100,500,0.0976463778080633,0.0006715737228208245,0.11960037055943257,0.005034694258933457,-0.021953992751369264,200,200,216.54167938232422
siglip_b,cifar100,4,100,500,0.09809840143436777,0.0005709292221729324,0.11978669798239562,0.005048705297871242,-0.021688296548027855,200,200,216.83653855323792
siglip_b,cifar100,5,100,500,0.09712360595270948,0.0005209769536491243,0.11971724028416247,0.005040102060539279,-0.02259363433145299,200,200,219.17329788208008
siglip_b,cifar100,6,100,500,0.09921332931580902,0.0004933466581514056,0.11970096109066067,0.0050548452311090205,-0.020487631774851647,200,200,219.0668671131134
siglip_b,cifar100,7,100,500,0.09859817275522198,0.0005452067413600645,0.11963852989043441,0.005033167293798257,-0.021040357135212434,200,200,210.3446400165558
siglip_b,cifar100,8,100,500,0.098702188096262,0.0005082735276994099,0.1194819006631947,0.005055630438429374,-0.0207797125669327,200,200,222.36666822433472
siglip_b,cifar100,9,100,500,0.0980743021827183,0.0005336847460859895,0.1195055300092692,0.005066329025848725,-0.021431227826550894,200,200,220.70215940475464
siglip_b,cifar100,10,100,500,0.0980349272469519,0.0005615719537557255,0.11967411488461596,0.005033259960046786,-0.021639187637664065,200,200,217.51982259750366
siglip_b,cifar100,11,100,500,0.09878691473314145,0.0005392611671968215,0.1197054152164915,0.005041409961980338,-0.020918500483350047,200,200,217.16959404945374
siglip_b,cifar100,12,100,500,0.09830248150675423,0.0004988563925229199,0.11961643089321412,0.0050360718400388315,-0.02131394938645989,200,200,217.96431612968445
siglip_b,cifar100,13,100,500,0.09838032747373761,0.000628787425608481,0.11976655092323889,0.0050429875225581735,-0.02138622344950128,200,200,208.4320592880249
siglip_b,cifar100,14,100,500,0.09869831185531003,0.0005538829192604048,0.1196623801635522,0.005057765788401389,-0.02096406830824217,200,200,217.12160205841064
siglip_b,cifar100,15,100,500,0.09792178130563542,0.0005859469929806095,0.11973304492497248,0.005021749068514413,-0.021811263619337065,200,200,218.10814309120178
siglip_b,cifar100,16,100,500,0.09748818476222079,0.0005000078857907205,0.11966766285454693,0.005017359019458938,-0.022179478092326135,200,200,220.1317584514618
siglip_b,cifar100,17,100,500,0.09686621017596922,0.000520298115728431,0.11955092255647852,0.005062289858338408,-0.0226847123805093,200,200,224.72074794769287
siglip_b,cifar100,18,100,500,0.0981019350600613,0.0005019324266571174,0.11962643544802218,0.005051827968457936,-0.021524500387960874,200,200,235.16791915893555
siglip_b,cifar100,19,100,500,0.09691313440866395,0.0005822641122360513,0.1195650378272296,0.005040168863148453,-0.022651903418565655,200,200,224.90447473526
siglip_b,cifar100,20,100,500,0.09750580961579963,0.0004246595523267695,0.11973832205079034,0.00504274106982858,-0.022232512434990706,200,200,232.1729395389557
siglip_b,cifar100,21,100,500,0.0981537285678418,0.0004254108993724568,0.11959961861682827,0.005044483816934104,-0.021445890048986477,200,200,230.8506212234497
siglip_b,cifar100,22,100,500,0.09779676613146779,0.0005660355287408666,0.11969359949574301,0.005042657401887148,-0.021896833364275226,200,200,229.5236496925354
siglip_b,cifar100,23,100,500,0.0983162930373699,0.0005411108241912334,0.1196848101022266,0.0050460809348684904,-0.021368517064856707,200,200,232.65818572044373
siglip_b,cifar100,24,100,500,0.09775284845025606,0.0005921432085555286,0.1196318792877445,0.005028685060131925,-0.021879030837488447,200,200,240.98919558525085
siglip_b,cifar100,25,100,500,0.09837803105340756,0.0005855671048818343,0.11953076239375558,0.005053805664730339,-0.02115273134034802,200,200,227.5806860923767
siglip_b,cifar100,26,100,500,0.09613270406533676,0.0005834254692421982,0.1195727198475797,0.004992586059022008,-0.02344001578224293,200,200,232.93086552619934
siglip_b,cifar100,27,100,500,0.09678775388621466,0.000546704497412593,0.11960998663201824,0.0050305118014362165,-0.022822232745803583,200,200,241.27826142311096
siglip_b,cifar100,28,100,500,0.09783734594462126,0.0006316048208177704,0.1194399388945924,0.0050757330119009245,-0.021602592949971133,200,200,249.62198972702026
siglip_b,cifar100,29,100,500,0.09582699393599939,0.0005865238389579935,0.11952173583468136,0.005053620651739621,-0.023694741898681967,200,200,254.08089470863342
siglip_b,dtd,-1,47,80,0.0961696797036115,0.00023303961698772178,0.1194683453264985,0.005572360841775366,-0.023298665622887002,200,200,232.8092803955078
siglip_b,dtd,0,47,80,0.09544225998330427,0.00022253410443183298,0.11857866683505042,0.00544034800808398,-0.023136406851746144,200,200,236.61609721183777
siglip_b,dtd,1,47,80,0.09733960095628288,0.0002174580501316659,0.11866959383104782,0.005343767751012352,-0.021329992874764933,200,200,232.61252331733704
siglip_b,dtd,2,47,80,0.0954957304015505,0.0003627354682111186,0.11854905591575403,0.005378047165199688,-0.023053325514203526,200,200,222.96265363693237
siglip_b,dtd,3,47,80,0.09444212981142,0.00032918789078824367,0.11887532445688867,0.0053729857207165,-0.02443319464546867,200,200,223.8978226184845
siglip_b,dtd,4,47,80,0.09477411945073647,0.0002300531532380658,0.11790665229682076,0.005452414136653216,-0.023132532846084297,200,200,223.9437530040741
siglip_b,dtd,5,47,80,0.09797243159416802,0.0001544449374764179,0.11867801393345999,0.0055179682509659015,-0.02070558233929197,200,200,221.67170023918152
siglip_b,dtd,6,47,80,0.09223942641079438,0.00022849547341251283,0.1180751709910164,0.00540318571739621,-0.025835744580222017,200,200,227.20611119270325
siglip_b,dtd,7,47,80,0.09495958124450712,0.00032667099307603676,0.1191934350928884,0.005377581057266147,-0.02423385384838128,200,200,221.24743604660034
siglip_b,dtd,8,47,80,0.09596881178339402,0.00022087168395678369,0.11894379547009074,0.005402682276996019,-0.022974983686696718,200,200,226.3825340270996
siglip_b,dtd,9,47,80,0.09642618320957189,0.00029392200646082375,0.11847718410135222,0.005426230860256634,-0.02205100089178033,200,200,225.06877517700195
siglip_b,dtd,10,47,80,0.09497906396030259,0.00047015013429555906,0.11873929950068582,0.005504075948115633,-0.02376023554038323,200,200,215.43698143959045
siglip_b,dtd,11,47,80,0.09255205001675136,0.0002657504894477066,0.1182643904197025,0.0054964148289547024,-0.025712340402951145,200,200,228.28125166893005
siglip_b,dtd,12,47,80,0.09354362668180118,8.543626687877094e-05,0.1188826572081712,0.0053558266478511895,-0.02533903052637003,200,200,217.81274008750916
siglip_b,dtd,13,47,80,0.09640797176807844,0.00026790027788318397,0.11934388117373103,0.0054801484748965975,-0.022935909405652585,200,200,226.1286792755127
siglip_b,dtd,14,47,80,0.09637497416776412,0.0003016612828092306,0.11839340513467793,0.005499084528330697,-0.022018430966913805,200,200,217.32794427871704
siglip_b,dtd,15,47,80,0.09436210506376305,0.00016449611582906778,0.11807273303154311,0.005414948169680492,-0.023710627967780062,200,200,222.33127284049988
