model,seed,K,variant,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
clip_l,0,30,aniso_decoupled,-0.009595278655399941,0.0011414492336471085,0.002845989320415148,-0.01073672788904705,-1.2823939398192175,0.08503728294655333,0.005731030895821114,162.0821921825409
clip_l,1,30,aniso_decoupled,-0.0091730459789265,0.00032661010894188683,0.003464341094494184,-0.009499656087868387,-0.8125815584545252,0.08691239365935104,0.006595538071396077,164.72883486747742
clip_l,2,30,aniso_decoupled,-0.011892345284745046,0.0008090488592492534,0.0031155241180673417,-0.012701394143994299,-1.110342320107688,0.08716216672643617,0.007573008284744366,163.85126423835754
clip_l,3,30,aniso_decoupled,-0.009446958582210507,8.324271959501416e-05,0.002132671903006938,-0.009530201301805522,-0.9035422187306718,0.08791169351206249,0.007565501588669536,160.55323600769043
clip_l,4,30,aniso_decoupled,-0.008158768829911664,0.0014084901004302597,0.0028792408322656925,-0.009567258930341924,-0.912515395216105,0.08997856701385185,0.006761531089927597,164.82538390159607
clip_l,5,30,aniso_decoupled,-0.005079695472744811,0.0011062881195829251,0.0029279398839253084,-0.006185983592327736,-0.5700446705791,0.09207210197452247,0.006964659946271994,164.00054550170898
clip_l,6,30,aniso_decoupled,-0.009853255112477893,0.0006998167014426876,0.001786512579956386,-0.010553071813920581,-1.0064422013792644,0.08618916125587338,0.007294073899591167,158.8008370399475
clip_l,7,30,aniso_decoupled,-0.00614796786018304,0.0004903722512324862,0.004037178485296552,-0.0066383401114155265,-0.6213775186710996,0.0912970884949737,0.006980552354045091,171.4194769859314
clip_l,8,30,aniso_decoupled,-0.008444235023600546,0.0006571875472422689,0.0041774432247572305,-0.009101422570842815,-0.8166735950149778,0.09055143699414277,0.0066877741247155995,170.4433298110962
clip_l,9,30,aniso_decoupled,-0.007538457092039388,0.00010803938170424466,0.0026527423817255336,-0.007646496473743633,-0.7645234802561492,0.08943597554856611,0.005698141359985292,168.58231282234192
siglip_b,0,30,aniso_decoupled,-0.009441776538655244,0.00036435265508218405,0.0028573195769707213,-0.009806129193737429,-0.9470065469412454,0.08815212129210057,0.006636137473272558,166.86661434173584
siglip_b,1,30,aniso_decoupled,-0.011090797172388117,-0.0002520399121319891,0.003108233839577529,-0.010838757260256128,-1.0343376898061978,0.08633560850653088,0.00664214016626779,156.10415482521057
siglip_b,2,30,aniso_decoupled,-0.006317387247959022,-6.250825156725592e-05,0.003672301792203623,-0.006254878996391766,-0.5887047404838621,0.08968118636651527,0.0068860340535795974,135.58447861671448
siglip_b,3,30,aniso_decoupled,-0.009949208133476536,-9.24661771793428e-05,0.003198192385677076,-0.009856741956297193,-0.8632218856297723,0.08795056454857977,0.006505574306635813,124.42203950881958
siglip_b,4,30,aniso_decoupled,-0.008867399524710343,0.0008071931733044394,0.0015017827039011116,-0.009674592698014782,-1.040678762799061,0.08914633596940438,0.006780783589347182,100.16616249084473
siglip_b,5,30,aniso_decoupled,-0.0072137703787962665,-0.00036721338266086645,0.0031410725967085077,-0.0068465569961354,-0.5710228526928918,0.0901338118215307,0.006491513220483131,99.37124061584473
siglip_b,6,30,aniso_decoupled,-0.008799309552218942,-0.000845820847404985,0.0038816202646142876,-0.007953488704813957,-0.7532680392084035,0.08992038919276715,0.0068264106381172324,101.67291569709778
siglip_b,7,30,aniso_decoupled,-0.010941703391413274,-0.0005851397625472419,0.002067119884530632,-0.010356563628866031,-0.9642171697401166,0.08616857433996024,0.007096567511188498,92.0368857383728
siglip_b,8,30,aniso_decoupled,-0.006314990120381808,0.0009080539191700862,0.002341343896260392,-0.007223044039551894,-0.6517563231877345,0.09037234111198068,0.00664436236764286,89.71224021911621
siglip_b,9,30,aniso_decoupled,-0.010504410881226195,-0.0006569821070946627,0.0019868149636313127,-0.009847428774131532,-0.9754109817940323,0.08841001016985665,0.007497372434235832,90.94666504859924
