model,seed,K,variant,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov2_b,0,30,aniso_decoupled,0.007387827121458232,0.0005066215829762604,0.005295738555766222,0.006881205538481971,0.5418810094461466,0.09291731145979414,0.01081136142800326,167.4576699733734
dinov2_b,1,30,aniso_decoupled,0.003838518782998193,0.000671308004788368,0.004942894495616112,0.0031672107782098253,0.25829913509680125,0.08808224629243126,0.010564708184360186,157.01866459846497
dinov2_b,2,30,aniso_decoupled,0.0065596224096343275,0.0018007310163780919,0.005123530123730939,0.004758891393256236,0.3939957852602217,0.09099704009375172,0.010083321426476987,171.51400232315063
dinov2_b,3,30,aniso_decoupled,0.004823689224704553,0.0006834279974561958,0.00547603107334348,0.0041402612272483565,0.3432064009627399,0.08913882352194327,0.010344030836612436,163.32289671897888
dinov2_b,4,30,aniso_decoupled,0.006413805456284852,0.00013965745307155248,0.006525467414297928,0.0062741480032133,0.48774085133088924,0.09204923714666537,0.01056874736180128,163.01872658729553
dinov2_b,5,30,aniso_decoupled,0.006225098095700446,0.00028175517476170117,0.004912357640065806,0.005943342920938744,0.5220496692062395,0.09050121455437257,0.010043799122353403,165.45393824577332
dinov2_b,6,30,aniso_decoupled,0.006057466576546072,0.0008748462472680435,0.004284001208157261,0.005182620329278029,0.4236562614270031,0.0911516063833214,0.010860356973426907,160.32282638549805
dinov2_b,7,30,aniso_decoupled,0.006159243857052021,0.0006321839694210906,0.003728289798902163,0.0055270598876309305,0.512302146913727,0.08997480830391849,0.00995214345677742,166.1841185092926
dinov2_b,8,30,aniso_decoupled,0.005607355200754227,0.0013277232914357742,0.004315468953573807,0.004279631909318453,0.36489232370555047,0.09041311195235543,0.01019653601297658,168.29572224617004
dinov2_b,9,30,aniso_decoupled,0.0033556503540329435,0.0005958437831953933,0.004756309030969957,0.00275980657083755,0.23213321808480109,0.08836414327461165,0.009807699879748312,167.62382125854492
dinov2_l,0,30,aniso_decoupled,-0.0036515032785023605,-0.000435056961854606,0.005396539925530475,-0.0032164463166477544,-0.2800682118682542,0.06861030460402892,0.009339167515487353,206.39937353134155
dinov2_l,1,30,aniso_decoupled,-0.0024668233725941985,-0.0007844753553098105,0.00472634506619416,-0.001682348017284388,-0.15414993998099868,0.07030661912139548,0.00852366238231981,169.85390877723694
dinov2_l,2,30,aniso_decoupled,-0.002948737018585501,0.0005573732008653881,0.005503665948840118,-0.003506110219450889,-0.3258794720533252,0.06983995293426801,0.007654945155489146,160.45451498031616
dinov2_l,3,30,aniso_decoupled,-0.002194708999396777,0.001022253396214512,0.00530736880278762,-0.0032169623956112892,-0.3022027910575425,0.07196634956620859,0.008404288920321093,110.95452356338501
dinov2_l,4,30,aniso_decoupled,0.0005807759216942959,0.0008274996335884924,0.004633929280541286,-0.0002467237118941965,-0.028611093180080076,0.07174237729660322,0.006024819823136336,91.79308986663818
dinov2_l,5,30,aniso_decoupled,-0.004632324315231973,-6.329305328039991e-06,0.0053135179919950185,-0.004625995009903933,-0.41124195593346513,0.06810817205538913,0.008889348710642888,103.36124992370605
dinov2_l,6,30,aniso_decoupled,-0.0008438765426713596,0.0001452022930803931,0.005363005005326215,-0.0009890788357517527,-0.08390272726858543,0.07012851612223349,0.0088185269779955,91.62986016273499
dinov2_l,7,30,aniso_decoupled,-0.000995686055149922,-0.00040596397790443605,0.005814026066618282,-0.0005897220772454858,-0.05268269256926907,0.06937278870188071,0.00858047933912709,88.30964159965515
dinov2_l,8,30,aniso_decoupled,-0.0034949719153962305,0.00034965383454732963,0.006067298989970219,-0.0038446257499435603,-0.33362399728865877,0.06864393360684981,0.008562240076882962,106.64367842674255
dinov2_l,9,30,aniso_decoupled,0.00011229871789261714,0.0006226063127258527,0.004756006694780183,-0.0005103075948332356,-0.051411709561127034,0.07177368717561916,0.007732135246616841,73.31591629981995
