model,seed,K,variant,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov2_g,0,30,aniso_decoupled,-0.0012728915872350782,-0.0007320913880116936,0.007056639064032439,-0.0005408001992233847,-0.040069552339878335,0.07744877592233708,0.010976022551306197,269.1735396385193
dinov2_g,1,30,aniso_decoupled,0.00032189595568181406,0.000834372485424384,0.0064300164208641,-0.0005124765297425699,-0.03715116255070848,0.07888542292992981,0.01166029248808916,277.16870880126953
dinov2_g,2,30,aniso_decoupled,0.00010211490089014064,-0.0008370582479458336,0.007018396947151601,0.0009391731488359742,0.07481062434585294,0.07959490802033369,0.009804825745115982,283.93901562690735
dinov2_g,3,30,aniso_decoupled,4.919428425698147e-05,0.0003462838405938848,0.006039632195889997,-0.0002970895563369033,-0.024000641083305768,0.07909711915807857,0.010290876272502475,277.21411967277527
dinov2_g,4,30,aniso_decoupled,-0.0005826031535414722,0.0008459138720901607,0.007671770825598102,-0.001428517025631633,-0.11077407663250002,0.0791465183985173,0.009747376200262886,285.6459205150604
dinov2_g,5,30,aniso_decoupled,0.0002855382634497916,0.0003915687591128245,0.0058571245980743245,-0.00010603049566303287,-0.008099964768854403,0.07849679511075172,0.011314506448763344,273.236545085907
dinov2_g,6,30,aniso_decoupled,-0.0004594264233511586,-0.0006035261642939923,0.0070492354182766625,0.00014409974094283374,0.010123474350035633,0.07875321054303434,0.011511975660426998,273.81709933280945
dinov2_g,7,30,aniso_decoupled,-0.0012453950275482378,-0.0006939608060069963,0.007607134804311439,-0.0005514342215412416,-0.03746107598570197,0.07789847410766067,0.012036559415415064,221.90100073814392
dinov2_g,8,30,aniso_decoupled,-0.00024024021677779284,0.0002411514180481883,0.005796570349856961,-0.00048139163482598113,-0.04034752714120233,0.07971073612336806,0.00968352077488235,167.4774730205536
dinov2_g,9,30,aniso_decoupled,-0.001586124492747254,0.0006086724369525828,0.007069565484860331,-0.002194796929699837,-0.16820487397386594,0.07778600469902992,0.01044579217384514,160.1953547000885
clip_b,0,30,aniso_decoupled,-0.016880251859270903,0.0005875559160612414,0.0021954307154895864,-0.017467807775332144,-1.265491463104479,0.0940382664200836,0.008252642434802324,70.22853231430054
clip_b,1,30,aniso_decoupled,-0.012127982591476516,0.0013552742563159776,0.002103962657010923,-0.013483256847792493,-1.1609620565922525,0.09606440293252808,0.008972081204700071,49.121729612350464
clip_b,2,30,aniso_decoupled,-0.01448570757747733,0.00032904306450031866,0.004018071907592446,-0.01481475064197765,-1.0686811560426375,0.09567054552977522,0.008628759343177505,72.11986780166626
clip_b,3,30,aniso_decoupled,-0.015321940177997803,0.0008471583002596817,0.0032671162737919254,-0.016169098478257486,-1.2936397482272002,0.09285727730550768,0.008787191838480821,61.49881720542908
clip_b,4,30,aniso_decoupled,-0.016994157220439038,0.0002887437351570835,0.0023732296824900867,-0.01728290095559612,-1.277020832643906,0.09224789540586038,0.008210443020113117,47.42905592918396
clip_b,5,30,aniso_decoupled,-0.013829483252838934,0.0009443411687623457,0.0022142492159337177,-0.01477382442160128,-1.2475767439250203,0.09688861612892695,0.007252840811777113,45.00236535072327
clip_b,6,30,aniso_decoupled,-0.0159045211014468,0.0017863714374894064,0.0028113370829112756,-0.017690892538936208,-1.2912761092756948,0.09352473366106925,0.009504431953114926,41.53914260864258
clip_b,7,30,aniso_decoupled,-0.016467497162856296,0.0009316084036775959,0.003434872977428182,-0.01739910556653389,-1.2577722905723951,0.094689371039962,0.007989663730919788,35.965322494506836
clip_b,8,30,aniso_decoupled,-0.01518830168251048,0.001212889035365801,0.0031874556249185133,-0.016401190717876282,-1.2053236421941802,0.09429672512302385,0.007992180319887082,36.414196491241455
clip_b,9,30,aniso_decoupled,-0.016896839533407856,0.0011024734846984004,0.0028319454518120884,-0.017999313018106256,-1.4117402490132727,0.09412637244212052,0.009128160216113693,35.23024320602417
