model,seed,K,variant,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
i21k_t,0,30,aniso_decoupled,-0.022139813471213438,9.969756758483606e-05,0.0029773574608445976,-0.022239511038798274,-1.9332083384100207,0.09962649570531276,0.004786204072371617,95.37330651283264
i21k_t,1,30,aniso_decoupled,-0.02095282155021823,-0.0025468183565917958,0.0044421095648813,-0.01840600319362643,-1.6670059728528708,0.1001021740597241,0.004134964366593489,104.96274709701538
i21k_t,2,30,aniso_decoupled,-0.018353461748141592,0.0009408081129191698,0.004502551335510702,-0.01929426986106076,-2.019449805243085,0.10057644368351686,0.0036812285257159104,108.04315900802612
i21k_t,3,30,aniso_decoupled,-0.0185632433812742,0.0005252808005379389,0.0049347248903776125,-0.019088524181812137,-1.5587006907668255,0.10211269043505641,0.005381269071674726,108.15893507003784
i21k_t,4,30,aniso_decoupled,-0.016591814770666666,0.001265721454178466,0.005955079243799105,-0.017857536224845132,-1.5102016209471396,0.10133612013801763,0.006229394673280974,111.22632670402527
i21k_t,5,30,aniso_decoupled,-0.014166898927173488,0.0012995481153624741,0.0036845821908276055,-0.015466447042535962,-1.2136451107555757,0.10456421147987638,0.006979340139338622,106.20095324516296
i21k_t,6,30,aniso_decoupled,-0.019972095967277587,-0.0004043172641592166,0.004593003147638431,-0.01956777870311837,-1.8002140813450966,0.10213568961253092,0.006454277804657621,109.53064036369324
i21k_t,7,30,aniso_decoupled,-0.019513061760991365,-0.0005091738803995813,0.004733260009714229,-0.019003887880591784,-1.8980403915155881,0.1005689114194287,0.0035823909473207006,105.22010064125061
i21k_t,8,30,aniso_decoupled,-0.021871774424131615,3.142742719183106e-05,0.0031582293112230905,-0.021903201851323446,-1.943650304431354,0.10029712282506756,0.008027625757018814,108.22683072090149
i21k_t,9,30,aniso_decoupled,-0.01673913639018061,-0.0009341020280634674,0.002323415690946455,-0.015805034362117144,-1.3439641469540415,0.10414023579738978,0.00519425173815092,106.65119242668152
i21k_s,0,30,aniso_decoupled,-0.012626148233061199,0.0028649538290088676,0.00468335686099584,-0.015491102062070067,-1.4277603753909593,0.08460687508976211,0.0074659112503875,120.99926590919495
i21k_s,1,30,aniso_decoupled,-0.012869400809853826,0.0030040006709828745,0.0032562123009734685,-0.0158734014808367,-1.2475742819640883,0.08396395216760291,0.010770319477812302,121.70985388755798
i21k_s,2,30,aniso_decoupled,-0.013309820431837538,0.000980650270365245,0.0033287380432814617,-0.014290470702202783,-1.2314480137274864,0.0823385182738118,0.008482958367960357,124.06898975372314
i21k_s,3,30,aniso_decoupled,-0.013356193067067507,0.000924856562333376,0.004502118194913302,-0.014281049629400883,-1.1118737999217314,0.0827268394781396,0.009913730876522553,124.2301549911499
i21k_s,4,30,aniso_decoupled,-0.0187213161627391,0.0009035067733618188,0.004046099728904957,-0.01962482293610092,-1.558390606590721,0.07838225724319474,0.008964926846156325,122.85737323760986
i21k_s,5,30,aniso_decoupled,-0.016326950543517266,0.0014562722472425903,0.0036432810603033152,-0.017783222790759855,-1.4758570126567652,0.07770535686430005,0.008696636278296761,124.04644393920898
i21k_s,6,30,aniso_decoupled,-0.014808910430531286,-0.0018268749802486134,0.0025830373219626894,-0.012982035450282672,-1.0004238113142991,0.08282420211217802,0.010192725733371058,126.12003564834595
i21k_s,7,30,aniso_decoupled,-0.011836845973465418,0.0005375079949999209,0.0037820450282289807,-0.012374353968465339,-1.0792130097308728,0.08415762797017906,0.00788901268238212,100.02654552459717
i21k_s,8,30,aniso_decoupled,-0.015481668176331037,0.0007016747955459243,0.0036172431565819445,-0.01618334297187696,-1.4863206090612449,0.08235119383897205,0.007448044749358738,99.65147614479065
i21k_s,9,30,aniso_decoupled,-0.014467845222613712,0.0016742047549602693,0.0036950574628806833,-0.016142049977573982,-1.3694283621179084,0.08321767343019629,0.00730287050321962,95.31438088417053
