model,paradigm,c100_sibtrip_e,c100_sibtrip_c,c100_rec4_e,c100_rec4_c,c100_spoke,in_sibtrip_e,in_sibtrip_c
i21k_t,Supervised,0.8863684210526316,0.8861842105263158,0.4325,0.4225,0.4886401934274942,0.8050978423461995,0.7972419229776202
i21k_s,Supervised,0.9501315789473684,0.9555526315789473,0.5575,0.5775,0.5085072363175455,0.8061809639104485,0.7827852858686706
i21k_b,Supervised,0.9535789473684211,0.9563421052631579,0.56,0.58,0.5052620835491597,0.8075636965942188,0.7406829191645233
i21k_l,Supervised,0.9545263157894737,0.9626578947368422,0.565,0.6025,0.578911460580427,0.8233850278461446,0.7958829640435244
dinov1_b,SSL,0.8870789473684211,0.9019473684210526,0.5025,0.51,0.6409161304779485,0.7257647048296615,0.7863219900790881
dinov2_s,SSL,0.8714473684210526,0.9051842105263158,0.4975,0.5425,0.7429648355406815,0.6239576555329155,0.5880579291317294
dinov2_b,SSL,0.8048157894736843,0.929921052631579,0.3925,0.535,0.8722698086548508,0.5940767016523398,0.6094459667647263
dinov2_l,SSL,0.7095789473684211,0.9133421052631578,0.2675,0.4975,0.9777077616156498,0.593062830950506,0.657273666367209
dinov2_g,SSL,0.6340526315789474,0.8498684210526316,0.22,0.44,1.040460731451423,0.5926894077720187,0.6440554853457401
clip_b,Contrastive,0.9275263157894736,0.9261842105263158,0.5075,0.505,0.5327104261151192,0.8378433942435256,0.8287438626522341
clip_l,Contrastive,0.9341052631578948,0.9311315789473684,0.5375,0.55,0.5923470673304623,0.8454001705110123,0.8362234317440178
siglip_b,Contrastive,0.9279736842105263,0.9267368421052632,0.5425,0.5425,0.576222325903932,0.8393893701687212,0.8092718448712145
