model,paradigm,dataset,n_classes,d_eucl,null_eucl,exc_eucl,d_cos,null_cos,exc_cos
i21k_t,Supervised,imagenet,1000,0.12265904084513757,0.14373128578755465,-0.02107224494241708,0.14880089994032694,0.1690394617722818,-0.020238561831954854
i21k_s,Supervised,imagenet,1000,0.09710508712586821,0.12428833060442705,-0.02718324347855884,0.1152287063417156,0.13985315613663288,-0.024624449794917277
i21k_b,Supervised,imagenet,1000,0.08813671419454565,0.11524632177867704,-0.02710960758413139,0.1014650475733306,0.12537681218804894,-0.023911764614718348
i21k_l,Supervised,imagenet,1000,0.08417336972808849,0.11744860013031379,-0.0332752304022253,0.0984450813989185,0.12614689986787206,-0.02770181846895356
dinov1_b,SSL,imagenet,1000,0.11314437041860233,0.11755453433638792,-0.004410163917785592,0.13930097217756124,0.12981702251284197,0.009483949664719271
dinov2_s,SSL,imagenet,1000,0.11854299906221333,0.10658834378809852,0.011954655274114809,0.1415537417696966,0.11419626438746845,0.027357477382228143
dinov2_b,SSL,imagenet,1000,0.09264752285266412,0.08859772028271053,0.0040498025699535894,0.11994570014918678,0.09388789893297632,0.026057801216210458
dinov2_l,SSL,imagenet,1000,0.07059201450943249,0.07949324931406036,-0.008901234804627872,0.10290983197382975,0.08282524176669032,0.02008459020713943
dinov2_g,SSL,imagenet,1000,0.08081279346762844,0.07708746583799016,0.0037253276296382865,0.10410003147119784,0.08001132479896489,0.02408870667223295
clip_b,Contrastive,imagenet,1000,0.11952293132548993,0.1496462251706884,-0.030123293845198476,0.12365442988480524,0.16131752955258785,-0.03766309966778261
clip_l,Contrastive,imagenet,1000,0.11773102200261407,0.13753026306836233,-0.019799241065748263,0.11715126694355475,0.14385330849938724,-0.026702041555832487
siglip_b,Contrastive,imagenet,1000,0.11368551492727745,0.12990897543369687,-0.016223460506419415,0.11883970266911441,0.141739004764461,-0.022899302095346588
i21k_t,Supervised,cifar100,100,0.16886612693773034,0.21807715843706946,-0.049211031499339114,0.16605133518426457,0.21187579954133806,-0.04582446435707349
i21k_s,Supervised,cifar100,100,0.1565304832589991,0.19172605745896346,-0.03519557419996436,0.17126838993533317,0.2165322234930056,-0.04526383355767244
i21k_b,Supervised,cifar100,100,0.1691518489653338,0.18830271142909893,-0.019150862463765128,0.18324368174498878,0.2065141566773685,-0.023270474932379714
i21k_l,Supervised,cifar100,100,0.13567005864275186,0.18789041500419823,-0.05222035636144637,0.14955414374008727,0.19738932072814566,-0.04783517698805839
dinov1_b,SSL,cifar100,100,0.11419533445939303,0.18652906472617556,-0.07233373026678253,0.12236782690371764,0.1935968473480724,-0.07122902044435475
dinov2_s,SSL,cifar100,100,0.11326184133440934,0.16516332315248042,-0.05190148181807108,0.1318093292484518,0.17184584577534198,-0.04003651652689019
dinov2_b,SSL,cifar100,100,0.11196180005418092,0.15321271260826252,-0.0412509125540816,0.12281215105937719,0.16226375948449048,-0.03945160842511329
dinov2_l,SSL,cifar100,100,0.0983998808058492,0.14788134692904867,-0.049481466123199466,0.1153081401845921,0.15609244101846054,-0.04078430083386844
dinov2_g,SSL,cifar100,100,0.06984616018097747,0.14771787181176735,-0.07787171163078987,0.10140818432061409,0.15264252021925465,-0.05123433589864056
clip_b,Contrastive,cifar100,100,0.14103894015431093,0.19109567097755908,-0.05005673082324816,0.14067379659674145,0.1962914000432534,-0.055617603446511954
clip_l,Contrastive,cifar100,100,0.1406566097510245,0.18773543374954205,-0.04707882399851754,0.13068301559814238,0.19041497578287644,-0.05973196018473406
siglip_b,Contrastive,cifar100,100,0.14569211362869644,0.1923554153796905,-0.04666330175099406,0.14456065841004626,0.1960490151623638,-0.051488356752317554
i21k_t,Supervised,dtd,47,0.1399298739592871,0.181642353137608,-0.04171247917832088,0.1541180510122228,0.2047028187206202,-0.0505847677083974
i21k_s,Supervised,dtd,47,0.12325147231493894,0.18203643079355938,-0.05878495847862045,0.14318360750793663,0.19565610017744894,-0.052472492669512316
i21k_b,Supervised,dtd,47,0.11773657062183052,0.18194804945026108,-0.06421147882843056,0.13157884738662376,0.19092025262292056,-0.0593414052362968
i21k_l,Supervised,dtd,47,0.09745994519203147,0.17921818241209297,-0.08175823722006151,0.11636528511775404,0.1861133082156914,-0.06974802309793735
dinov1_b,SSL,dtd,47,0.12802947844009926,0.18127697651655275,-0.05324749807645349,0.13944689200510346,0.1968548017710432,-0.057407909765939735
dinov2_s,SSL,dtd,47,0.14050482573277404,0.1837417831791969,-0.04323695744642286,0.1559695901352543,0.2052167918807882,-0.0492472017455339
dinov2_b,SSL,dtd,47,0.11171688827609479,0.1841240490144126,-0.07240716073831781,0.14416146775480138,0.19727579344346122,-0.05311432568865984
dinov2_l,SSL,dtd,47,0.10201216077699407,0.1839852042238437,-0.08197304344684964,0.14366923440800433,0.19419795763017791,-0.05052872322217358
dinov2_g,SSL,dtd,47,0.10937109419271562,0.18559796991261668,-0.07622687571990105,0.1489892096858685,0.19307894079351326,-0.04408973110764475
