model,paradigm,xi_mean,xi_median,frac_neg,xi_mean_cos,xi_median_cos,frac_neg_cos
ref_gauss768,reference,0.09247195498973163,0.09275884948394601,0.0,,,
ref_sphere_geo,reference,0.11256153881549835,0.11295758187770844,0.0,,,
ref_sphere_chord,reference,0.11544749624223385,0.11575278831599807,0.0,,,
ref_H2_R6,reference,-0.19377042737669944,-0.19395096306746384,0.9590496716956544,,,
ref_tree_d9,reference,-0.23864491590355766,-0.25,0.9605415471337259,,,
i21k_t,Supervised,0.026961756071259585,0.03178432337263763,0.253483709273183,0.08414536696883644,0.08857939288730515,0.052475942261427426
i21k_s,Supervised,0.026813826182194363,0.031054842151885215,0.2312321347976531,0.08425736510665031,0.08761657320106886,0.026574408343361413
i21k_b,Supervised,0.03321310596272934,0.03610504438349017,0.1558910568290114,0.07667239264689707,0.0790606735038017,0.023808330409503285
i21k_l,Supervised,0.028291801378058926,0.032532232483878085,0.2107295061418902,0.08057692905780597,0.0825600024635507,0.01844519071725728
dinov1_b,SSL,-0.007628242013604058,-0.005923915444488429,0.5461291616526274,0.0910185848889202,0.09655691313483566,0.03514841556357802
dinov2_s,SSL,-0.020189127854370888,-0.02304804210885877,0.6617197292554525,0.10338667551623607,0.1053281939349703,0.00907359133747744
dinov2_b,SSL,-0.04857298213295922,-0.05306466206788499,0.8292805214339434,0.11156728958500066,0.11261352499453088,0.0038596491228070177
dinov2_l,SSL,-0.06817928382818085,-0.06984383460713298,0.8977637384677096,0.11410892051990444,0.11501240021667088,0.0020552408642037193
dinov2_g,SSL,-0.06983674742286054,-0.07314424772788408,0.886282764496567,0.10362365569662406,0.10473097142018464,0.002556519123765602
clip_b,Contrastive,0.018844734606725512,0.02605747324287653,0.3188289552837377,0.03042655947932678,0.036436391497511,0.24875946067866272
clip_l,Contrastive,0.027990086703515125,0.03303792173523268,0.27624586383234734,0.040559761817481804,0.04595007991502223,0.1924407238458068
siglip_b,Contrastive,0.035568753347642416,0.040374297596534735,0.20027077169934313,0.058536052261317036,0.06350741434182734,0.10037603409375784
