model,dataset,n_test,acc_R,acc_H,acc_COS,p_H_vs_R,flips_HR,p_H_vs_COS,flips_HC
i21k_t,imagenet,50000,0.68088,0.67158,0.68246,1.380078421547465e-22,901/1366,3.1384721043424867e-34,731/1275
i21k_t,cifar100,10000,0.2928,0.282,0.3023,1.9906425866415865e-05,262/370,1.2999991353541243e-12,308/511
i21k_t,cifar10,10000,0.8752,0.8735,0.8742,0.1927259101754288,67/84,0.7165752271146248,133/140
i21k_t,dtd,1880,0.6372340425531915,0.625531914893617,0.6345744680851064,0.026301665131122268,34/56,0.07116340869529121,31/48
i21k_t,fashionmnist,10000,0.7855,0.784,0.7859,0.3788021346118751,119/134,0.27418029511621267,126/145
i21k_t,mnist,10000,0.7589,0.7399,0.7608,1.6646225319152141e-13,238/428,4.304199479738366e-15,252/461
i21k_s,imagenet,50000,0.77656,0.77526,0.77858,0.09041526832620841,682/747,1.2722244882265732e-06,499/665
i21k_s,cifar100,10000,0.7489,0.7456,0.7587,0.09920713992769424,172/205,1.742923706360939e-11,125/256
i21k_s,cifar10,10000,0.9342,0.9319,0.9358,0.015232201861994662,30/53,0.00039617781879230647,39/78
i21k_s,dtd,1880,0.6930851063829787,0.6851063829787234,0.6968085106382979,0.09592363141082376,28/43,0.005354859650800294,18/40
i21k_s,fashionmnist,10000,0.807,0.8042,0.8132,0.08114540916016143,106/134,1.1259703410302782e-07,98/188
i21k_s,mnist,10000,0.8484,0.8406,0.8493,0.00014242186051643212,167/245,4.6931924014628025e-05,181/268
i21k_b,imagenet,50000,0.8159,0.81674,0.82368,0.21427139768456058,566/524,2.5013691349930375e-25,389/736
i21k_b,cifar100,10000,0.7733,0.7699,0.7812,0.07419853337024732,154/188,3.8165474270231204e-09,127/240
i21k_b,cifar10,10000,0.945,0.9404,0.947,5.103265178960252e-05,40/86,3.04462741798544e-09,30/96
i21k_b,dtd,1880,0.7079787234042553,0.7079787234042553,0.7101063829787234,1.0,28/28,0.6778086391424605,24/28
i21k_b,fashionmnist,10000,0.8134,0.816,0.8177,0.0798030469373801,115/89,0.2903504959901083,106/123
i21k_b,mnist,10000,0.8158,0.805,0.8184,1.4269082253803642e-07,155/263,5.96155189525001e-11,143/277
