task,model,dataset,mine_R,mine_H,repo_R,repo_H,dR,dH
kNN,i21k_t,cifar100,0.242,0.208,0.2412,0.2084,0.07999999999999952,-0.040000000000001146
kNN,i21k_t,cifar10,0.834,0.7993,0.8366,0.8002,-0.26000000000000467,-0.09000000000000119
kNN,i21k_t,dtd,0.6457446808510638,0.6047872340425532,0.6430851063829788,0.6021276595744681,0.26595744680850686,0.26595744680850686
kNN,i21k_t,fashionmnist,0.7755,0.7648,0.7773,0.769,-0.18000000000000238,-0.41999999999999815
kNN,i21k_t,mnist,0.7851,0.7718,0.7871,0.7793,-0.20000000000000018,-0.7499999999999951
kNN,i21k_s,cifar100,0.709,0.6743,0.7077,0.6747,0.12999999999999678,-0.039999999999995595
kNN,i21k_s,cifar10,0.8957,0.8737,0.896,0.8757,-0.029999999999996696,-0.20000000000000018
kNN,i21k_s,dtd,0.6819148936170213,0.5968085106382979,0.6867021276595745,0.5989361702127659,-0.4787234042553212,-0.21276595744680327
kNN,i21k_s,fashionmnist,0.8161,0.8144,0.819,0.8192,-0.28999999999999027,-0.48000000000000265
kNN,i21k_s,mnist,0.8302,0.8084,0.8242,0.8019,0.6000000000000005,0.6500000000000061
kNN,i21k_b,cifar100,0.731,0.6838,0.7309,0.6828,0.009999999999998899,0.10000000000000009
kNN,i21k_b,cifar10,0.9171,0.8838,0.917,0.8834,0.009999999999998899,0.0400000000000067
kNN,i21k_b,dtd,0.6914893617021277,0.5531914893617021,0.6893617021276596,0.5468085106382978,0.21276595744681437,0.638297872340432
kNN,i21k_b,fashionmnist,0.8275,0.8289,0.8298,0.8319,-0.22999999999999687,-0.30000000000000027
kNN,i21k_b,mnist,0.8237,0.8011,0.8223,0.8004,0.13999999999999568,0.07000000000000339
kNN,i21k_l,cifar100,0.7795,0.6617,0.7791,0.6606,0.039999999999995595,0.10999999999999899
kNN,i21k_l,cifar10,0.9332,0.8466,0.93,0.8339,0.31999999999999806,1.2700000000000045
kNN,i21k_l,dtd,0.6563829787234042,0.45478723404255317,0.6547872340425532,0.451063829787234,0.15957446808509967,0.37234042553191404
kNN,i21k_l,fashionmnist,0.8398,0.8325,0.8393,0.833,0.04999999999999449,-0.04999999999999449
kNN,i21k_l,mnist,0.8447,0.8242,0.8433,0.8245,0.13999999999999568,-0.029999999999996696
kNN,dinov1_b,cifar100,0.7051,0.6761,0.7056,0.6751,-0.050000000000005596,0.10000000000000009
kNN,dinov1_b,cifar10,0.8894,0.8612,0.891,0.8613,-0.16000000000000458,-0.009999999999998899
kNN,dinov1_b,dtd,0.6941489361702128,0.6845744680851064,0.6968085106382979,0.6888297872340425,-0.26595744680850686,-0.42553191489361764
kNN,dinov1_b,fashionmnist,0.806,0.7997,0.807,0.8005,-0.10000000000000009,-0.08000000000000229
kNN,dinov1_b,mnist,0.8181,0.8066,0.8188,0.809,-0.06999999999999229,-0.24000000000000687
kNN,dinov2_s,cifar100,0.6852,0.6316,0.6839,0.631,0.1300000000000079,0.060000000000004494
kNN,dinov2_s,cifar10,0.9429,0.9271,0.9434,0.9278,-0.050000000000005596,-0.06999999999999229
kNN,dinov2_s,dtd,0.7510638297872341,0.750531914893617,0.7563829787234042,0.7515957446808511,-0.5319148936170137,-0.10638297872340718
kNN,dinov2_s,fashionmnist,0.8222,0.8166,0.8234,0.8182,-0.11999999999999789,-0.16000000000000458
kNN,dinov2_s,mnist,0.8664,0.8567,0.8659,0.8574,0.04999999999999449,-0.07000000000000339
kNN,dinov2_b,cifar100,0.8594,0.8317,0.8593,0.8319,0.010000000000010001,-0.019999999999997797
kNN,dinov2_b,cifar10,0.9707,0.9581,0.9711,0.9608,-0.039999999999995595,-0.27000000000000357
kNN,dinov2_b,dtd,0.7632978723404256,0.752127659574468,0.7617021276595745,0.7542553191489362,0.15957446808511078,-0.21276595744681437
kNN,dinov2_b,fashionmnist,0.8373,0.8306,0.8358,0.8284,0.15000000000000568,0.21999999999999797
kNN,dinov2_b,mnist,0.855,0.8439,0.8531,0.8436,0.19000000000000128,0.029999999999996696
kNN,dinov2_l,cifar100,0.8578,0.8096,0.8582,0.8094,-0.039999999999995595,0.019999999999997797
kNN,dinov2_l,cifar10,0.9821,0.9763,0.9825,0.9766,-0.0400000000000067,-0.030000000000007798
kNN,dinov2_l,dtd,0.75,0.7446808510638298,0.752127659574468,0.7484042553191489,-0.21276595744680327,-0.37234042553191404
kNN,dinov2_l,fashionmnist,0.8486,0.8429,0.8466,0.8411,0.20000000000000018,0.18000000000000238
kNN,dinov2_l,mnist,0.7911,0.7836,0.7908,0.785,0.030000000000007798,-0.14000000000000679
kNN,dinov2_g,cifar100,0.8957,0.8518,0.8962,0.8512,-0.04999999999999449,0.060000000000004494
kNN,dinov2_g,cifar10,0.9791,0.9652,0.98,0.9664,-0.09000000000000119,-0.12000000000000899
kNN,dinov2_g,dtd,0.7446808510638298,0.7244680851063829,0.7468085106382979,0.7276595744680852,-0.21276595744681437,-0.31914893617022155
kNN,dinov2_g,fashionmnist,0.8662,0.861,0.866,0.8599,0.019999999999997797,0.10999999999999899
kNN,dinov2_g,mnist,0.8164,0.8135,0.819,0.8152,-0.25999999999999357,-0.17000000000000348
kNN,clip_b,cifar100,0.5898,0.5439,0.5915,0.5444,-0.17000000000000348,-0.04999999999999449
kNN,clip_b,cifar10,0.8692,0.8559,0.8689,0.8557,0.029999999999996696,0.019999999999997797
kNN,clip_b,dtd,0.6287234042553191,0.6186170212765958,0.6308510638297873,0.6223404255319149,-0.21276595744681437,-0.37234042553191404
kNN,clip_b,fashionmnist,0.7756,0.7718,0.7795,0.7795,-0.39000000000000146,-0.7699999999999929
kNN,clip_b,mnist,0.875,0.8662,0.8774,0.8695,-0.23999999999999577,-0.33000000000000806
kNN,clip_l,cifar100,0.6926,0.6555,0.6939,0.6561,-0.12999999999999678,-0.060000000000004494
kNN,clip_l,cifar10,0.9345,0.9269,0.9348,0.9257,-0.029999999999996696,0.11999999999999789
kNN,clip_l,dtd,0.6930851063829787,0.6712765957446809,0.6936170212765957,0.6776595744680851,-0.05319148936170359,-0.6382978723404209
kNN,clip_l,fashionmnist,0.7716,0.7635,0.773,0.7629,-0.14000000000000679,0.05999999999999339
kNN,clip_l,mnist,0.922,0.9135,0.9219,0.9146,0.009999999999998899,-0.10999999999999899
kNN,siglip_b,cifar100,0.6897,0.6626,0.6889,0.665,0.08000000000000229,-0.24000000000000687
kNN,siglip_b,cifar10,0.9107,0.8984,0.9106,0.8995,0.009999999999998899,-0.10999999999999899
kNN,siglip_b,dtd,0.7622340425531915,0.750531914893617,0.7654255319148936,0.7526595744680851,-0.31914893617021045,-0.21276595744680327
kNN,siglip_b,fashionmnist,0.8423,0.8375,0.8437,0.8401,-0.13999999999999568,-0.25999999999999357
kNN,siglip_b,mnist,0.9579,0.954,0.9578,0.9527,0.009999999999998899,0.12999999999999678
retr,i21k_t,cifar100,0.1444000005722046,0.11939999461174011,0.1444,0.1194,5.72204589266434e-08,-5.388259893823744e-07
retr,i21k_t,cifar10,0.7275999784469604,0.6728000044822693,0.7276,0.6728,-2.1553039575294974e-06,4.4822693334722885e-07
retr,i21k_t,dtd,0.5072000026702881,0.4526999890804291,0.5072,0.4527,2.670288101747076e-07,-1.0919570914147414e-06
retr,i21k_t,fashionmnist,0.6800000071525574,0.6614999771118164,0.68,0.6615,7.152557324197062e-07,-2.288818357065736e-06
retr,i21k_t,mnist,0.6022999882698059,0.5799999833106995,0.6023,0.58,-1.1730194038328534e-06,-1.6689300497141346e-06
retr,i21k_t,imagenet,0.4991999864578247,0.49139997363090515,0.4992,0.4914,-1.3542175270053747e-06,-2.636909485209671e-06
retr,i21k_s,cifar100,0.5613999962806702,0.5112999677658081,0.5614,0.5113,-3.719329844109609e-07,-3.2234191871260975e-06
retr,i21k_s,cifar10,0.8226000070571899,0.777899980545044,0.8226,0.7779,7.057189943537878e-07,-1.945495609056991e-06
retr,i21k_s,dtd,0.5421000123023987,0.44909998774528503,0.5421,0.4491,1.2302398655350544e-06,-1.2254714965020952e-06
retr,i21k_s,fashionmnist,0.7281000018119812,0.7214999794960022,0.7281,0.7215,1.8119812317252126e-07,-2.050399783293244e-06
retr,i21k_s,mnist,0.675599992275238,0.6412999629974365,0.6756,0.6413,-7.724761941219072e-07,-3.7002563457733118e-06
retr,i21k_s,imagenet,0.623699963092804,0.5703999996185303,0.6237,0.5704,-3.6907196077073934e-06,-3.8146974468133976e-08
retr,i21k_b,cifar100,0.5791000127792358,0.5083000063896179,0.5791,0.5083,1.277923589171337e-06,6.389617945856685e-07
retr,i21k_b,cifar10,0.8306999802589417,0.7540000081062317,0.8308,0.754,-0.010001974105833256,8.106231685900411e-07
retr,i21k_b,dtd,0.5590000152587891,0.4276999831199646,0.559,0.4277,1.5258789010097473e-06,-1.6880035424993167e-06
retr,i21k_b,fashionmnist,0.7322999835014343,0.7260000109672546,0.7323,0.726,-1.6498565624800676e-06,1.0967254659988157e-06
retr,i21k_b,mnist,0.6459999680519104,0.6108999848365784,0.646,0.6109,-3.194808961826112e-06,-1.516342162943829e-06
retr,i21k_b,imagenet,0.6656999588012695,0.5809000134468079,0.6657,0.5809,-4.119873042718325e-06,1.3446807889394563e-06
retr,i21k_l,cifar100,0.6071000099182129,0.4456000030040741,0.6071,0.4456,9.918212917625624e-07,3.0040741005876725e-07
