model,template,delta,delta_sd,time_s
gpt2,photo,0.1307896645749767,0.007016646425922743,2.689070224761963
gpt2,def_pair,0.10517323527873108,0.006791773619678075,2.029944896697998
gpt2,gloss_only,0.12446776069450735,0.004730331636783688,1.89143967628479
gpt2,concept,0.11181838538331079,0.0017517835648325315,1.759105920791626
gpt2,discussion,0.10466592376423682,0.0037140618646920847,1.7766261100769043
gpt2_m,photo,0.09051378032495502,0.0041786985325349595,2.8747637271881104
gpt2_m,def_pair,0.08073004098084699,0.004677652089788081,2.819888114929199
gpt2_m,gloss_only,0.10675376112810198,0.0034295067490498336,2.523205041885376
gpt2_m,concept,0.11247119245812413,0.006657811315592065,2.216158628463745
gpt2_m,discussion,0.09814865054788571,0.003799323953249215,2.2191123962402344
bge_base,photo,0.12388041279164423,0.006243590306106907,1.4468860626220703
bge_base,def_pair,0.11923978741501187,0.0026015277815464224,1.7561736106872559
bge_base,gloss_only,0.11519731272651453,0.0041861979472177365,1.5592982769012451
bge_base,concept,0.11889580241420153,0.0060433847733361214,1.396895170211792
bge_base,discussion,0.12079540962552464,0.0072125572735212435,1.4109001159667969
e5_base,photo,0.11433177931180674,0.0073848315089771,1.6168549060821533
e5_base,def_pair,0.10837441978042758,0.005728846708240984,1.6490752696990967
e5_base,gloss_only,0.1154013134552414,0.003801421699326664,1.5600848197937012
e5_base,concept,0.12032756612505016,0.009461886292082736,1.4259169101715088
e5_base,discussion,0.11625205680227882,0.008014286066281094,1.4317705631256104
