model,C,mode,seed,delta,delta_sd,null_mean,excess,nc_R,nc_H,nc_adv_pp,n_test,time_s
i21k_l,10,random,0,0.0523063594102303,0.0,0.15359326553688393,-0.10128690612665364,0.994,0.994,0.0,500,0.34679126739501953
i21k_l,10,random,1,0.05073293005585935,0.0,0.15695442464615228,-0.10622149459029293,0.992,0.992,0.0,500,0.03137016296386719
i21k_l,10,random,2,0.05011403150301977,0.0,0.15319449599990267,-0.1030804644968829,0.996,0.996,0.0,500,0.030991077423095703
i21k_l,10,random,3,0.0676386372998595,0.0,0.1497875525333592,-0.08214891523349971,0.958,0.96,0.20000000000000018,500,0.029451847076416016
i21k_l,10,random,4,0.08756308374063763,0.0,0.15149296809192456,-0.06392988435128692,0.998,0.998,0.0,500,0.04298734664916992
i21k_l,10,coherent,0,0.08736920121608674,0.0,0.1634145910516306,-0.07604538983554385,0.942,0.944,0.20000000000000018,500,0.038246870040893555
i21k_l,10,coherent,1,0.057994583634784845,0.0,0.18788109202142667,-0.1298865083866418,0.908,0.908,0.0,500,0.03436684608459473
i21k_l,10,coherent,2,0.09802273528546347,0.0,0.1722691106326987,-0.07424637534723523,0.926,0.922,-0.40000000000000036,500,0.06049633026123047
i21k_l,10,coherent,3,0.07567105981625627,0.0,0.16097930106249486,-0.08530824124623859,0.978,0.982,0.40000000000000036,500,0.03371095657348633
i21k_l,10,coherent,4,0.08798761021560857,0.0,0.1717239349110793,-0.08373632469547072,0.946,0.94,-0.6000000000000005,500,0.0448155403137207
i21k_l,20,random,0,0.06053779048918116,0.0,0.19699510091343275,-0.13645731042425158,0.988,0.989,0.10000000000000009,1000,0.3768959045410156
i21k_l,20,random,1,0.05796926719800909,0.0,0.19567909793149013,-0.13770983073348103,0.989,0.988,-0.10000000000000009,1000,0.5001223087310791
i21k_l,20,random,2,0.06963990290928337,0.0,0.19595670414810995,-0.12631680123882658,0.985,0.985,0.0,1000,0.4294016361236572
i21k_l,20,random,3,0.08581751798085573,0.0,0.19201009740597913,-0.1061925794251234,0.97,0.97,0.0,1000,0.39624547958374023
i21k_l,20,random,4,0.08064318112596097,0.0,0.1945843323478587,-0.11394115122189774,0.984,0.985,0.10000000000000009,1000,0.31903600692749023
i21k_l,20,coherent,0,0.09012911354404812,0.0,0.18937834909729995,-0.09924923555325182,0.942,0.945,0.30000000000000027,1000,0.3438558578491211
i21k_l,20,coherent,1,0.07170438981999756,0.0,0.18836245278665986,-0.1166580629666623,0.945,0.945,0.0,1000,0.49504971504211426
i21k_l,20,coherent,2,0.10784431563260949,0.0,0.19012876984676236,-0.08228445421415287,0.881,0.878,-0.30000000000000027,1000,0.4229731559753418
i21k_l,20,coherent,3,0.07640395307395911,0.0,0.186729663642792,-0.11032571056883289,0.973,0.976,0.30000000000000027,1000,0.4017627239227295
i21k_l,20,coherent,4,0.08867633310437009,0.0,0.19000559841596215,-0.10132926531159206,0.914,0.906,-0.8000000000000007,1000,0.4065258502960205
i21k_l,50,random,0,0.0783966974688999,0.0006589805076364848,0.17634507680186315,-0.09794837933296324,0.9748,0.976,0.11999999999999789,2500,2.187960386276245
i21k_l,50,random,1,0.07706892698651843,0.0007340980608060055,0.17517013556419658,-0.09810120857767815,0.9724,0.9712,-0.12000000000000899,2500,1.707463026046753
i21k_l,50,random,2,0.07138490859853955,0.001102825901326008,0.17458373151439316,-0.10319882291585361,0.9828,0.9836,0.08000000000000229,2500,1.9492743015289307
i21k_l,50,random,3,0.08993919138638326,0.0004271131207740864,0.17648981372665556,-0.0865506223402723,0.9592,0.9616,0.23999999999999577,2500,1.7549574375152588
i21k_l,50,random,4,0.0908866271041855,0.0008519302698931086,0.17417205323689772,-0.08328542613271221,0.9684,0.968,-0.0400000000000067,2500,2.0115044116973877
i21k_l,50,coherent,0,0.0886887154134767,0.0008908955091923246,0.17755053396010517,-0.08886181854662847,0.94,0.942,0.20000000000000018,2500,1.9878323078155518
i21k_l,50,coherent,1,0.08620943857313304,0.0008318277638834202,0.1818786572713303,-0.09566921869819725,0.956,0.9564,0.0400000000000067,2500,2.127345085144043
i21k_l,50,coherent,2,0.11670482471757122,0.004167589526377176,0.18624382653663907,-0.06953900181906784,0.872,0.87,-0.20000000000000018,2500,2.0791187286376953
i21k_l,50,coherent,3,0.09288678616156096,0.0023253423206229637,0.181273618869979,-0.08838683270841804,0.926,0.9268,0.07999999999999119,2500,2.0703132152557373
i21k_l,50,coherent,4,0.09142020356189569,0.0029664746485547123,0.18221803903719197,-0.09079783547529628,0.912,0.91,-0.20000000000000018,2500,2.230600595474243
i21k_l,100,random,0,0.0895089732713789,0.00308532787120213,0.15116508949735646,-0.06165611622597757,0.9552,0.956,0.07999999999999119,5000,2.8945329189300537
i21k_l,100,random,1,0.0895602877990314,0.0056113867808315785,0.14963006426576603,-0.06006977646673463,0.9464,0.9474,0.10000000000000009,5000,1.7007033824920654
i21k_l,100,random,2,0.08517718100760295,0.0043389868657539195,0.14904017624140425,-0.0638629952338013,0.967,0.9666,-0.039999999999995595,5000,3.8658244609832764
i21k_l,100,random,3,0.08045681530316331,0.00271950328638484,0.14853456561769315,-0.06807775031452984,0.9598,0.9598,0.0,5000,4.343501806259155
i21k_l,100,random,4,0.09376189156239653,0.004325503233487788,0.14861373983365533,-0.0548518482712588,0.9606,0.9616,0.10000000000000009,5000,4.243037223815918
i21k_l,100,coherent,0,0.08822881454093992,0.003152732726616644,0.1512198103750486,-0.06299099583410869,0.9226,0.927,0.44000000000000705,5000,3.8522253036499023
i21k_l,100,coherent,1,0.08398651501874942,0.003321683137870901,0.1480351046033031,-0.06404858958455369,0.9402,0.9418,0.15999999999999348,5000,3.6975157260894775
i21k_l,100,coherent,2,0.12473803514081294,0.002513564662579735,0.159220214825191,-0.034482179684378056,0.8572,0.855,-0.21999999999999797,5000,4.19349217414856
i21k_l,100,coherent,3,0.09088155549439833,0.0032350712622921736,0.1470944196018453,-0.05621286410744697,0.8872,0.8868,-0.039999999999995595,5000,3.9577524662017822
i21k_l,100,coherent,4,0.10551854485291104,0.006038146038283191,0.15400394273435386,-0.04848539788144282,0.9142,0.9152,0.10000000000000009,5000,4.195371866226196
i21k_l,200,random,0,0.09079537877169587,0.004260787136828031,0.13499056217325262,-0.044195183401556745,0.9306,0.932,0.14000000000000679,10000,5.006428480148315
