model,paradigm,n,d,variant,delta_max,delta_max_std
i21k_t,Supervised,1000,192,real,0.12294791897025936,0.003483978061760966
i21k_t,Supervised,1000,192,gauss,0.10383773048619953,0.003106933787937088
i21k_t,Supervised,1000,192,sphere,0.11230955378450398,0.004213542135028565
i21k_t,Supervised,1000,192,whitened,0.08179377511800896,0.007185609162444542
i21k_t,Supervised,1000,192,l2_chord,0.14727781510248553,0.006048416786623368
i21k_t,Supervised,1000,192,l2_geodesic,0.16424031555652618,0.007437447085976601
i21k_t,Supervised,1000,192,shufcoord,0.14004756079576136,0.007072031510254423
i21k_t,Supervised,1000,192,grp_wordnet,0.14598385141187148,0.003603345821887891
i21k_t,Supervised,1000,192,grp_random,0.1594702017609076,0.003738298455716335
i21k_t,Supervised,1000,192,cls_random100,0.14504651506526406,0.003822403003734004
i21k_s,Supervised,1000,384,real,0.10425233655119796,0.010281968866561304
i21k_s,Supervised,1000,384,gauss,0.08123805180704702,0.003737401876795263
i21k_s,Supervised,1000,384,sphere,0.08715023053613043,0.005034072744254588
i21k_s,Supervised,1000,384,whitened,0.0692920835489689,0.0061953345603898
i21k_s,Supervised,1000,384,l2_chord,0.1171873713924632,0.006539975388999285
i21k_s,Supervised,1000,384,l2_geodesic,0.12679336965084076,0.008801369927823544
i21k_s,Supervised,1000,384,shufcoord,0.106568384757349,0.005091262376927427
i21k_s,Supervised,1000,384,grp_wordnet,0.11032486720812533,0.004026874544292148
i21k_s,Supervised,1000,384,grp_random,0.1297979549670519,0.007013910539104355
i21k_s,Supervised,1000,384,cls_random100,0.10041508768468543,0.005281849222842117
i21k_b,Supervised,1000,768,real,0.092236951199716,0.006193597173661872
i21k_b,Supervised,1000,768,gauss,0.06129660191534527,0.002314976710283877
i21k_b,Supervised,1000,768,sphere,0.06543179547407021,0.002822320965577449
i21k_b,Supervised,1000,768,whitened,0.0404366797825813,0.006224570433133007
i21k_b,Supervised,1000,768,l2_chord,0.10217859468994435,0.005605029378170395
i21k_b,Supervised,1000,768,l2_geodesic,0.10905567556619644,0.004986364394426346
i21k_b,Supervised,1000,768,shufcoord,0.09993895705282482,0.004101481615221755
i21k_b,Supervised,1000,768,grp_wordnet,0.09235869728102808,0.001921293811467876
i21k_b,Supervised,1000,768,grp_random,0.12009155698006557,0.0031692668885000093
i21k_b,Supervised,1000,768,cls_random100,0.08739882879901921,0.0019476536649344204
i21k_l,Supervised,1000,1024,real,0.0842537907539591,0.003356678076345526
i21k_l,Supervised,1000,1024,gauss,0.0548860379455315,0.004534545953850686
i21k_l,Supervised,1000,1024,sphere,0.056358864135728784,0.0032828944089775443
i21k_l,Supervised,1000,1024,whitened,3.1843029941094343e-09,2.4221392658344025e-10
i21k_l,Supervised,1000,1024,l2_chord,0.09972755679831916,0.006523764866096176
i21k_l,Supervised,1000,1024,l2_geodesic,0.10728111118078232,0.006623432505875826
i21k_l,Supervised,1000,1024,shufcoord,0.10272507965008323,0.004611920168039885
i21k_l,Supervised,1000,1024,grp_wordnet,0.10423715385627826,0.003268620675567885
i21k_l,Supervised,1000,1024,grp_random,0.11730000449394491,0.0036201549395026614
i21k_l,Supervised,1000,1024,cls_random100,0.08650804373933772,0.003414847377997557
dinov1_b,SSL,1000,768,real,0.10907397644615376,0.0030609109547355103
dinov1_b,SSL,1000,768,gauss,0.06129660191534527,0.002314976710283877
dinov1_b,SSL,1000,768,sphere,0.06543179547407021,0.002822320965577449
dinov1_b,SSL,1000,768,whitened,0.04664045289643461,0.009779943543958726
