i21k_t     real=0.1229  specnull=0.1420±0.0041  excess=-0.0191
i21k_s     real=0.1043  specnull=0.1192±0.0020  excess=-0.0150
i21k_b     real=0.0922  specnull=0.1154±0.0052  excess=-0.0231
i21k_l     real=0.0843  specnull=0.1156±0.0037  excess=-0.0313
dinov1_b   real=0.1091  specnull=0.1197±0.0033  excess=-0.0106
dinov2_s   real=0.1193  specnull=0.1083±0.0009  excess=+0.0110
dinov2_b   real=0.0961  specnull=0.0853±0.0021  excess=+0.0108
dinov2_l   real=0.0671  specnull=0.0776±0.0017  excess=-0.0105
dinov2_g   real=0.0803  specnull=0.0753±0.0017  excess=+0.0050
clip_b     real=0.1218  specnull=0.1426±0.0015  excess=-0.0207
clip_l     real=0.1180  specnull=0.1375±0.0062  excess=-0.0195
siglip_b   real=0.1155  specnull=0.1328±0.0037  excess=-0.0173
Done
