model,dataset,n,delta,delta_sd,null_mean,null_sd,excess,z,time_s
i21k_t,imagenet,1000,0.12265904084513757,0.0037251295104670733,0.14319127115817754,0.006746829390272699,-0.020532230313039967,-2.6641363194353294,4.956992149353027
i21k_s,imagenet,1000,0.09710508712586821,0.006433846773109115,0.11730699568314393,0.0059739445840513985,-0.020201908557275716,-2.3009903217216583,8.420742511749268
i21k_b,imagenet,1000,0.08813671419454565,0.006245871095256074,0.1158220289226513,0.00692025975957996,-0.027685314728105648,-2.969869222039414,22.200037002563477
i21k_l,imagenet,1000,0.08417336972808849,0.0043893582435114336,0.11437961368089664,0.005193588281951969,-0.030206243952808146,-4.442103103194659,42.578474044799805
dinov1_b,imagenet,1000,0.11314437041860233,0.005553716755799432,0.11812902736768553,0.005314842435580244,-0.004984656949083205,-0.6484454234793103,21.724496364593506
dinov2_s,imagenet,1000,0.11854299906221333,0.01008253375538942,0.1066399387721548,0.003872528321709261,0.011903060290058526,1.1020692517559871,7.93033504486084
dinov2_b,imagenet,1000,0.09264752285266412,0.010022468329537142,0.0868784338641688,0.0018094217474058016,0.005769088988495319,0.5664581950402171,20.908634185791016
dinov2_l,imagenet,1000,0.07059201450943249,0.0074804318122916455,0.07898340924287708,0.0015409445010798493,-0.008391394733444593,-1.0987099622902492,29.407301664352417
dinov2_g,imagenet,1000,0.08081279346762844,0.007756857257241775,0.0766061030364975,0.0019859503253025395,0.004206690431130949,0.5253733862537158,42.434813022613525
clip_b,imagenet,1000,0.11952293132548993,0.0052766364691674335,0.14420911262539482,0.00586464595402285,-0.024686181299904894,-3.129173996629489,11.529892921447754
clip_l,imagenet,1000,0.11773102200261407,0.005185127444052652,0.13892467155092517,0.007745225573475616,-0.0211936495483111,-2.273844046862482,22.511801958084106
siglip_b,imagenet,1000,0.11368551492727745,0.009048028541595024,0.13236790543625673,0.006696951045691092,-0.018682390508979282,-1.6596509656756657,22.943108081817627
i21k_t,cifar100,100,0.16886612693773034,0.0027071835325949705,0.2119386411722822,0.011470937807644356,-0.043072514234551856,-3.6545297596313073,3.7006680965423584
i21k_s,cifar100,100,0.1565304832589991,0.005482901565579968,0.18991816032724396,0.006347887408705471,-0.03338767706824486,-3.9804284257403384,9.13318681716919
i21k_b,cifar100,100,0.1691518489653338,0.003852999500419518,0.18614339045142642,0.008199715699558494,-0.01699154148609261,-1.875476437831118,12.03541350364685
i21k_l,cifar100,100,0.13567005864275186,0.002268764796920949,0.1833316997753906,0.007566666877767119,-0.04766164113263874,-6.033518348852159,14.286794185638428
dinov1_b,cifar100,100,0.11419533445939303,0.0037573232522253074,0.18222230537454936,0.00547120045727701,-0.06802697091515633,-10.249453777343899,12.905034303665161
dinov2_s,cifar100,100,0.11326184133440934,0.00335544793386342,0.16579412846538816,0.004869782556231322,-0.05253228713097882,-8.88290091322718,10.826486587524414
dinov2_b,cifar100,100,0.11196180005418092,0.002229551727113432,0.1545523103561531,0.003030492935116454,-0.04259051030197218,-11.320383871424415,13.70238471031189
dinov2_l,cifar100,100,0.0983998808058492,0.0019029998758363228,0.14950039822269895,0.0023366269814082997,-0.05110051741684975,-16.957149930956692,8.484369277954102
dinov2_g,cifar100,100,0.06984616018097747,0.002435097721995694,0.14913609023151636,0.002185220438762044,-0.07928993005053889,-24.23410274318838,6.277985334396362
clip_b,cifar100,100,0.14103894015431093,0.0027354401390508286,0.18848055929892765,0.007717974422584271,-0.047441619144616726,-5.793765089893261,5.9683074951171875
clip_l,cifar100,100,0.1406566097510245,0.002964240248211589,0.18328740352602105,0.006768939002818687,-0.04263079377499654,-5.7690751666983715,6.014973163604736
siglip_b,cifar100,100,0.14569211362869644,0.003471695574866869,0.18779099120867762,0.0053196541648258735,-0.04209887757998118,-6.627370709249895,6.2224414348602295
i21k_t,cifar10,10,0.12219879620197657,0.0,0.18102948121317264,0.029226184916218038,-0.058830685011196066,-2.0129443914710214,1.302760124206543
i21k_s,cifar10,10,0.0859252978448907,1.3877787807814457e-17,0.18218175460609876,0.02491619354443101,-0.09625645676120806,-3.8632087437257137,1.4764835834503174
i21k_b,cifar10,10,0.08912335947310047,0.0,0.17888660636814366,0.028519353773836603,-0.08976324689504318,-3.1474502405237237,1.8247287273406982
i21k_l,cifar10,10,0.08357815749110106,1.3877787807814457e-17,0.18171882216181348,0.026318839673518748,-0.09814066467071242,-3.728913048148498,2.142740488052368
dinov1_b,cifar10,10,0.08839522628605256,0.0,0.1853973941978764,0.03045246008222518,-0.09700216791182384,-3.185363929544829,1.8133354187011719
dinov2_s,cifar10,10,0.08393180116410728,0.0,0.17896784794340742,0.04370827096290506,-0.09503604677930014,-2.1743263845864926,1.4696593284606934
dinov2_b,cifar10,10,0.04576619530477449,0.0,0.18083479842548483,0.04942929504875973,-0.13506860312071034,-2.732561793314498,1.8191449642181396
dinov2_l,cifar10,10,0.027459458662460006,0.0,0.18253260988869452,0.04592059032172212,-0.15507315122623452,-3.376985141954485,2.159104347229004
dinov2_g,cifar10,10,0.025407403002162116,0.0,0.18225830536001686,0.04580788765131572,-0.15685090235785473,-3.4241024941334435,2.71714448928833
clip_b,cifar10,10,0.10510009138196408,0.0,0.18243656615357762,0.025546580466513556,-0.07733647477161354,-3.0272730580512,1.582439661026001
clip_l,cifar10,10,0.09893099602982094,0.0,0.1817011663245504,0.02524208039024318,-0.08277017029472947,-3.2790550150819824,1.7894964218139648
siglip_b,cifar10,10,0.08738363341151585,1.3877787807814457e-17,0.17845092858928535,0.022670091339501465,-0.0910672951777695,-4.01706785446821,1.811274766921997
i21k_t,dtd,47,0.1399298739592871,0.0,0.17706210581394805,0.009412894974357197,-0.03713223185466094,-3.9448258963705993,1.4113290309906006
i21k_s,dtd,47,0.12325147231493894,0.0,0.17491177930680143,0.012478665295732346,-0.0516603069918625,-4.139890426384793,2.090092658996582
i21k_b,dtd,47,0.11773657062183052,0.0,0.17525349481748617,0.012030355753689666,-0.057516924195655655,-4.780982821560819,2.8107235431671143
i21k_l,dtd,47,0.09745994519203147,1.3877787807814457e-17,0.17412541215220712,0.010237005219777764,-0.07666546696017565,-7.489052248606745,2.5435311794281006
dinov1_b,dtd,47,0.12802947844009926,0.0015913018924607696,0.17881143073815306,0.010278058399681201,-0.050781952298053795,-4.882637930120014,2.5647830963134766
dinov2_s,dtd,47,0.14050482573277404,2.7755575615628914e-17,0.18094957575970874,0.00964774803480502,-0.040444750026934706,-4.192144102543625,2.138542652130127
dinov2_b,dtd,47,0.11171688827609479,1.3877787807814457e-17,0.17966850210052804,0.010286197624412602,-0.06795161382443325,-6.6060964707854,2.4282429218292236
dinov2_l,dtd,47,0.10201216077699407,1.3877787807814457e-17,0.1800772860774313,0.011185851068277792,-0.07806512530043722,-6.978916921379713,2.690194606781006
dinov2_g,dtd,47,0.10937109419271562,0.0015851902816283626,0.18081817155709762,0.01106445152662912,-0.071447077364382,-6.392085182528061,2.8319292068481445
clip_b,dtd,47,0.11979528802337283,1.3877787807814457e-17,0.17844885342166694,0.012036381619344939,-0.05865356539829411,-4.873023077303047,2.3648083209991455
clip_l,dtd,47,0.1307219730309844,0.0012150742496239485,0.17943348574474785,0.012471571599537244,-0.04871151271376345,-3.887397628732567,2.580578088760376
siglip_b,dtd,47,0.12091829871670065,0.0002797682972900895,0.17761115877994643,0.011740823267948269,-0.05669286006324578,-4.827325167125932,2.4900033473968506
i21k_t,fashionmnist,10,0.1533356490177405,0.0,0.17503081253861136,0.03184348303849512,-0.021695163520870864,-0.6813062344544376,1.3271949291229248
i21k_s,fashionmnist,10,0.10164670080883054,0.0,0.17040253628931865,0.029576595415869524,-0.06875583548048811,-2.3246703859497195,1.537050485610962
i21k_b,fashionmnist,10,0.09840654422505626,0.0,0.17430239982864087,0.02952740262646847,-0.07589585560358461,-2.5703532601120593,1.9569764137268066
i21k_l,fashionmnist,10,0.09336748126687247,1.3877787807814457e-17,0.17811890332741198,0.02938466288584491,-0.08475142206053951,-2.884206035978235,2.437833547592163
dinov1_b,fashionmnist,10,0.13503588484727033,0.0,0.17597050078978962,0.031198812518614838,-0.04093461594251929,-1.312056858513303,1.9495432376861572
dinov2_s,fashionmnist,10,0.10671717081770522,1.3877787807814457e-17,0.17444359969607717,0.02882452819748489,-0.06772642887837195,-2.3496110123419633,1.5463597774505615
dinov2_b,fashionmnist,10,0.08306454514354546,0.0,0.17832108526633633,0.029121454986760126,-0.09525654012279088,-3.271008957694546,1.9426004886627197
dinov2_l,fashionmnist,10,0.10601734515806413,0.0,0.1796591228180716,0.028174148831965038,-0.07364177766000746,-2.613806653014377,2.3288626670837402
dinov2_g,fashionmnist,10,0.10173915569675245,1.3877787807814457e-17,0.18295842773437845,0.026988754728894164,-0.08121927203762601,-3.009374565573144,2.9539334774017334
clip_b,fashionmnist,10,0.13816459551684931,0.0,0.18561425316585797,0.02837858834089086,-0.04744965764900866,-1.6720231844879399,1.6854844093322754
clip_l,fashionmnist,10,0.11607822501778646,1.3877787807814457e-17,0.18162948449769728,0.032340935260986775,-0.06555125947991082,-2.026881998028858,1.9616217613220215
siglip_b,fashionmnist,10,0.11203997664263372,0.0,0.18594793983175154,0.02866166720698647,-0.07390796318911781,-2.5786344756351878,1.9354369640350342
i21k_t,mnist,10,0.13427752465995457,0.0,0.18342649722489912,0.03418737240582467,-0.04914897256494455,-1.4376352760170241,1.3325772285461426
i21k_s,mnist,10,0.12767443878048385,0.0,0.18565952754517848,0.030753510928724446,-0.05798508876469463,-1.8854786661296385,2.0824246406555176
i21k_b,mnist,10,0.13347234307490144,0.0,0.17694429196741296,0.030527659768712963,-0.04347194889251152,-1.42401838928593,1.9551465511322021
i21k_l,mnist,10,0.12442113794682512,0.0,0.18822320348009036,0.03448623392163723,-0.06380206553326524,-1.8500734431669785,2.3185102939605713
dinov1_b,mnist,10,0.10843945881596892,0.0,0.17839424559535424,0.027605361397116987,-0.06995478677938533,-2.5341014657642256,1.93717622756958
dinov2_s,mnist,10,0.14935831439413907,0.0,0.18488121656361797,0.029167301522547394,-0.0355229021694789,-1.21790156494314,1.538370132446289
dinov2_b,mnist,10,0.14131261088643957,0.0,0.1862777487651159,0.0329499449542364,-0.04496513787867634,-1.3646498633344497,1.955029010772705
dinov2_l,mnist,10,0.15036074346998407,0.0,0.19209243629987335,0.035992846955709625,-0.04173169282988928,-1.159444066240203,2.336822986602783
dinov2_g,mnist,10,0.1472739529811991,2.7755575615628914e-17,0.18879352864238547,0.03312820549578872,-0.04151957566118636,-1.2532998706031435,2.950979471206665
clip_b,mnist,10,0.13803716575248368,0.0,0.17628429125293005,0.02426547331528371,-0.03824712550044637,-1.5761953209606778,1.6913952827453613
clip_l,mnist,10,0.16480574915157226,0.0,0.18917175511654505,0.04091380249703884,-0.024366005964972792,-0.5955448889585928,1.950333595275879
siglip_b,mnist,10,0.11328859388614661,0.0,0.18343670047617727,0.03615689693485085,-0.07014810659003066,-1.940103065714592,1.955524206161499
