model,xi,frac_neg,xi_null,xi_null_sd,xi_est_sd,null_frac_neg,excess,ci95,z,time_s
i21k_t,0.026961756071259585,0.253483709273183,0.02747430220814815,0.0017173313252320677,0.0004166799373857768,0.19796438537526923,-0.0005125461368885656,0.0034636305971796452,-0.2900397141426119,63.763851165771484
i21k_s,0.026813826182194363,0.2312321347976531,0.04216993479457766,0.0023370400046932435,0.0002912814225171969,0.0837385115382679,-0.015356108612383297,0.004616039625893558,-6.520302103005668,77.33592081069946
i21k_b,0.03321310596272934,0.1558910568290114,0.0470349702998485,0.0022789457979399447,0.0002584296280060302,0.051690109642144114,-0.013821864337119162,0.004495361512317032,-6.026401664588303,125.2614860534668
i21k_l,0.028291801378058926,0.2107295061418902,0.04630847496076916,0.0023975741975589136,0.00018625397627003787,0.05282741040754705,-0.018016673582710235,0.004713403735920865,-7.491970177091772,153.4229335784912
dinov1_b,-0.007628242013604058,0.5461291616526274,0.05158553357016058,0.002704940842695412,0.0005717959219264966,0.06882620600117328,-0.05921377558376464,0.005418843706724349,-21.417668865436884,123.77565956115723
dinov2_s,-0.020189127854370888,0.6617197292554525,0.06123758512305459,0.004028640962040054,0.0004835710574375936,0.04243893363853489,-0.08142671297742549,0.007952816589224485,-20.067903697414067,77.87046551704407
dinov2_b,-0.04857298213295922,0.8292805214339434,0.07489011706929777,0.002715753977509053,0.00035377552356420275,0.004895265661080129,-0.12346309920225698,0.005367851677029523,-45.08091672352906,121.70965003967285
dinov2_l,-0.06817928382818085,0.8977637384677096,0.08032912890633384,0.00221757237496803,0.0003721994791593463,0.001331084595618224,-0.1485084127345147,0.004407237577786669,-66.04510962302797,157.0302379131317
dinov2_g,-0.06983674742286054,0.886282764496567,0.08189792159479481,0.0021791701546569836,0.0003457840803078541,0.0007821197898903193,-0.15173466901765537,0.004324609839092383,-68.76919822598853,205.93174147605896
clip_b,0.018844734606725512,0.3188289552837377,0.02432790492853857,0.0016396654257410878,0.0006253224055688276,0.21037992421273563,-0.005483170321813058,0.0034395240361618147,-3.124564247193414,85.15552020072937
clip_l,0.027990086703515125,0.27624586383234734,0.03212195433669953,0.002059263718919153,0.0007478513176090712,0.1484285828964515,-0.004131867633184405,0.004294077153697652,-1.8859606549145975,124.26008367538452
siglip_b,0.035568753347642416,0.20027077169934313,0.030780974193450716,0.0019143953250238695,0.0003748980287066744,0.15355015070000103,0.0047877791541917,0.0038234862918034907,2.454316931208192,122.5798933506012
