model,euclid-average,euclid-ward,cosine-average,cosine-complete,cosine-ward
i21k_t,0.308,0.378,0.286,0.332,0.333
i21k_s,0.355,0.558,0.373,0.472,0.558
i21k_b,0.388,0.61,0.432,0.447,0.573
i21k_l,0.38,0.548,0.488,0.479,0.602
dinov1_b,0.216,0.481,0.28,0.384,0.541
dinov2_s,0.118,0.513,0.324,0.325,0.486
dinov2_b,0.017,0.474,0.348,0.418,0.513
dinov2_l,0.005,0.316,0.249,0.497,0.479
dinov2_g,0.003,0.188,0.082,0.197,0.517
clip_b,0.179,0.479,0.179,0.368,0.479
clip_l,0.349,0.516,0.318,0.413,0.543
siglip_b,0.222,0.486,0.22,0.373,0.522
