model,dataset,paradigm,NC_R,NC_H,NC_RT,NC_COS,NC_COSC,FS_R,FS_H,FS_RT,FS_COS,FS_COSC,FS_HR_diff_mean,FS_HR_diff_ci95,FS_HRT_diff_mean,FS_HRT_diff_ci95,time_s
i21k_t,imagenet,Supervised,0.68088,0.67158,0.6809,0.68246,0.68248,0.9750933333333333,0.9759066666666666,0.9751733333333332,0.9749866666666667,0.9758,0.0008133333333333339,0.0005697300423338914,0.0007333333333333337,0.0005518868740763616,2.71203351020813
i21k_t,cifar100,Supervised,0.2928,0.282,0.2954,0.3023,0.3044,0.6240933333333333,0.63152,0.62856,0.6342133333333334,0.6319066666666666,0.0074266666666666665,0.0019872936926204157,0.0029600000000000004,0.001713819935341322,1.2719297409057617
i21k_t,cifar10,Supervised,0.8752,0.8735,0.8756,0.8742,0.8732,0.8764266666666667,0.8808533333333335,0.8783466666666667,0.8830533333333332,0.8800933333333333,0.004426666666666664,0.0011802827142756,0.002506666666666665,0.0010700813418386059,2.2929611206054688
i21k_t,dtd,Supervised,0.6372340425531915,0.625531914893617,0.6367021276595745,0.6345744680851064,0.6361702127659574,0.8328266666666667,0.8386266666666666,0.8359866666666667,0.8305600000000001,0.8335333333333335,0.005799999999999999,0.0014121131613452388,0.0026400000000000004,0.00124970791350797,0.876143217086792
i21k_t,fashionmnist,Supervised,0.7855,0.784,0.7855,0.7859,0.7824,0.8161866666666666,0.81928,0.8171866666666667,0.8182666666666667,0.81776,0.0030933333333333334,0.0012207864366219018,0.0020933333333333333,0.0011469976267804568,1.4790153503417969
i21k_t,mnist,Supervised,0.7589,0.7399,0.7614,0.7608,0.7509,0.74276,0.7459066666666666,0.7479600000000001,0.7492000000000001,0.7408533333333334,0.003146666666666665,0.0018718298045329275,-0.0020533333333333345,0.0016852016728319359,1.4467988014221191
i21k_s,imagenet,Supervised,0.77656,0.77526,0.77572,0.77858,0.77868,0.9856133333333332,0.9869066666666665,0.9854533333333333,0.9873066666666667,0.98732,0.001293333333333333,0.00041779918314903386,0.0014533333333333334,0.00041081649872743266,2.935411214828491
i21k_s,cifar100,Supervised,0.7489,0.7456,0.75,0.7587,0.7518,0.9216666666666667,0.92436,0.9232666666666667,0.9276133333333333,0.9238266666666666,0.002693333333333335,0.0009817218935093358,0.0010933333333333335,0.0008727422204726637,1.545123815536499
i21k_s,cifar10,Supervised,0.9342,0.9318,0.9347,0.9358,0.9312,0.9204,0.92452,0.9231333333333334,0.9260266666666667,0.92348,0.00412,0.0009066116248390672,0.001386666666666668,0.0008293717091228357,1.7056386470794678
i21k_s,dtd,Supervised,0.6930851063829787,0.6851063829787234,0.6930851063829787,0.6968085106382979,0.6904255319148936,0.8534666666666667,0.8598533333333332,0.8559866666666667,0.8531866666666666,0.85752,0.0063866666666666655,0.001288126553782663,0.0038666666666666654,0.001212851350422723,0.9925191402435303
i21k_s,fashionmnist,Supervised,0.807,0.8042,0.8057,0.8132,0.8087,0.8365866666666667,0.8353066666666666,0.83736,0.8393866666666665,0.8318133333333333,-0.0012800000000000008,0.0011677781687670346,-0.002053333333333334,0.0011204722666526728,2.1412532329559326
i21k_s,mnist,Supervised,0.8484,0.8406,0.8511,0.8493,0.8461,0.8049733333333333,0.8136666666666666,0.8114533333333332,0.8083866666666667,0.8096666666666668,0.008693333333333332,0.0018336022723274654,0.002213333333333331,0.0016216241882973724,1.935183048248291
i21k_b,imagenet,Supervised,0.8159,0.81674,0.8157,0.82368,0.81904,0.9890266666666666,0.9900933333333333,0.9885866666666666,0.991,0.9907066666666667,0.001066666666666667,0.0003925223186860418,0.0015066666666666672,0.0004067332425503914,4.325623512268066
i21k_b,cifar100,Supervised,0.7733,0.7699,0.7744,0.7812,0.7749,0.9249333333333334,0.9266,0.9261066666666665,0.9305599999999999,0.9252666666666667,0.0016666666666666679,0.0009318191717757739,0.0004933333333333326,0.0008474742237548523,2.0509324073791504
i21k_b,cifar10,Supervised,0.945,0.9404,0.9458,0.947,0.9407,0.9269200000000001,0.9298533333333333,0.9287466666666667,0.9318533333333333,0.926,0.0029333333333333334,0.0010011488653874942,0.001106666666666666,0.0009105923656951131,2.37504243850708
i21k_b,dtd,Supervised,0.7079787234042553,0.7079787234042553,0.7069148936170213,0.7101063829787234,0.7101063829787234,0.8534666666666667,0.8614799999999999,0.8553333333333334,0.85624,0.8590399999999999,0.008013333333333336,0.001235694707956262,0.006146666666666667,0.0011711929664633977,0.9587125778198242
i21k_b,fashionmnist,Supervised,0.8134,0.816,0.8148,0.8177,0.8159,0.8340533333333334,0.8333733333333333,0.835,0.8343599999999999,0.8309066666666667,-0.0006799999999999981,0.0010946089467852081,-0.0016266666666666652,0.001102292723824101,2.5902979373931885
i21k_b,mnist,Supervised,0.8158,0.805,0.819,0.8184,0.8055,0.7680933333333334,0.7761733333333333,0.7731466666666666,0.7699600000000001,0.7682666666666667,0.008079999999999999,0.0017034371413847031,0.0030266666666666693,0.0015639595899070483,2.5112192630767822
i21k_l,imagenet,Supervised,0.86142,0.86176,0.86058,0.86722,0.86364,0.99352,0.9941199999999999,0.9932133333333334,0.9945999999999999,0.9944399999999999,0.0005999999999999993,0.00028980323132927414,0.0009066666666666656,0.00029494335172857995,6.1848766803741455
i21k_l,cifar100,Supervised,0.853,0.852,0.8545,0.8614,0.8585,0.9479866666666666,0.9551733333333334,0.9511066666666665,0.95972,0.95668,0.007186666666666669,0.0009445958313973938,0.004066666666666668,0.0007926524764639576,5.553101301193237
i21k_l,cifar10,Supervised,0.9747,0.975,0.9753,0.9738,0.9733,0.95012,0.9576933333333333,0.9536133333333333,0.9625999999999999,0.9586800000000001,0.0075733333333333356,0.0009928520750600825,0.004080000000000002,0.0007954001025228332,2.715181589126587
i21k_l,dtd,Supervised,0.7175531914893617,0.7154255319148937,0.7186170212765958,0.7207446808510638,0.7191489361702128,0.8558133333333333,0.8651333333333332,0.8574266666666667,0.8571466666666667,0.8642933333333332,0.009319999999999998,0.0012375172275990525,0.0077066666666666655,0.0011569471940777786,1.044053077697754
i21k_l,fashionmnist,Supervised,0.8373,0.8352,0.8383,0.8412,0.8418,0.84432,0.84724,0.8460133333333333,0.84432,0.84448,0.00292,0.00104043459487103,0.001226666666666666,0.0010086031262295393,3.072126865386963
i21k_l,mnist,Supervised,0.8415,0.8356,0.8435,0.8415,0.8323,0.8079066666666668,0.8158933333333334,0.8121199999999998,0.8087466666666667,0.8096133333333332,0.007986666666666668,0.0014625794977611,0.003773333333333335,0.0013173146893147606,3.061422348022461
dinov2_s,imagenet,SSL,0.74676,0.7442,0.74684,0.75112,0.75156,0.97396,0.9787199999999999,0.9742266666666667,0.9808,0.9808399999999999,0.004760000000000001,0.0006598607154847151,0.004493333333333334,0.0006387614306313605,2.7910807132720947
dinov2_s,cifar100,SSL,0.7342,0.7439,0.736,0.7409,0.7461,0.9432533333333333,0.9511333333333333,0.94476,0.9512266666666667,0.9553333333333333,0.007880000000000002,0.0009238490026117185,0.006373333333333335,0.0008474278851625734,1.2392065525054932
dinov2_s,cifar10,SSL,0.9499,0.9516,0.9506,0.9528,0.9532,0.929,0.9346533333333333,0.93028,0.9254133333333334,0.93408,0.005653333333333334,0.0008707632941174212,0.004373333333333335,0.0008589943583413237,1.6760003566741943
dinov2_s,dtd,SSL,0.7335106382978723,0.7340425531914894,0.7329787234042553,0.7361702127659574,0.7398936170212767,0.8983866666666667,0.9050133333333333,0.8987733333333333,0.9013733333333334,0.9043866666666667,0.006626666666666667,0.0011587388566387357,0.00624,0.001129182595339557,0.8884227275848389
dinov2_s,fashionmnist,SSL,0.822,0.822,0.8234,0.8222,0.8215,0.8542133333333333,0.8545600000000001,0.8549333333333333,0.8543866666666667,0.8532799999999999,0.00034666666666666667,0.0010855007797448452,-0.0003733333333333341,0.0010272813558644322,1.8391926288604736
dinov2_s,mnist,SSL,0.834,0.8193,0.835,0.8348,0.8224,0.802,0.8076666666666668,0.8064666666666667,0.8013199999999999,0.8040933333333332,0.005666666666666666,0.0016475144376369585,0.0011999999999999997,0.0014718194961792475,1.8215584754943848
dinov2_b,imagenet,SSL,0.78858,0.78904,0.78862,0.79454,0.79492,0.9702666666666666,0.9777066666666666,0.9706666666666667,0.9842266666666667,0.9842399999999999,0.007440000000000001,0.0007310965228993747,0.007040000000000002,0.000710526838726808,4.743873357772827
dinov2_b,cifar100,SSL,0.8735,0.8795,0.8742,0.8807,0.8823,0.9653733333333333,0.9723333333333333,0.96632,0.9765066666666666,0.9782933333333333,0.006960000000000003,0.0007553916736045687,0.006013333333333336,0.0006882544643629679,2.255826711654663
dinov2_b,cifar10,SSL,0.9713,0.9744,0.9709,0.9762,0.9762,0.9468133333333333,0.95356,0.9471333333333333,0.94952,0.9571866666666667,0.006746666666666669,0.0008155794234666681,0.006426666666666669,0.000812942433014513,4.404567003250122
dinov2_b,dtd,SSL,0.7420212765957447,0.7473404255319149,0.7425531914893617,0.7579787234042553,0.7585106382978724,0.8917466666666667,0.9030133333333333,0.8918933333333333,0.9065333333333333,0.9080533333333333,0.011266666666666666,0.0012097715310476326,0.01112,0.0011787390679422372,1.2905759811401367
dinov2_b,fashionmnist,SSL,0.8325,0.8283,0.8314,0.8373,0.8364,0.8594133333333334,0.85932,0.8597733333333333,0.8614666666666667,0.8601866666666667,-9.333333333333437e-05,0.001061203523183832,-0.00045333333333333537,0.0010488697248117451,2.5877387523651123
dinov2_b,mnist,SSL,0.8057,0.7885,0.8077,0.8085,0.7907,0.7657866666666666,0.7708933333333333,0.7706266666666667,0.7674533333333333,0.7627466666666667,0.005106666666666666,0.0016640000607692296,0.00026666666666666413,0.0014431658631094502,2.5641047954559326
dinov2_l,imagenet,SSL,0.79846,0.80412,0.79872,0.80994,0.81,0.9623999999999998,0.9712933333333333,0.9625733333333333,0.9837466666666667,0.9838933333333332,0.008893333333333335,0.0008012801332978237,0.00872,0.0008056038193002261,5.229269027709961
dinov2_l,cifar100,SSL,0.8562,0.8767,0.8571,0.8808,0.884,0.9607066666666667,0.9707466666666666,0.96156,0.97868,0.9805333333333333,0.010040000000000002,0.0008738038656713658,0.00918666666666667,0.0008298224288123334,1.893725872039795
dinov2_l,cifar10,SSL,0.9792,0.9834,0.9794,0.9852,0.9852,0.94128,0.9514133333333333,0.9412666666666667,0.9504666666666667,0.9617866666666667,0.010133333333333336,0.0009218808831224708,0.010146666666666667,0.0009487080306184828,2.888533353805542
dinov2_l,dtd,SSL,0.7441489361702127,0.7515957446808511,0.7446808510638298,0.7648936170212766,0.7611702127659574,0.8705466666666666,0.8844266666666666,0.8707999999999999,0.8945333333333333,0.8961333333333333,0.013879999999999997,0.0012688316004471724,0.013626666666666665,0.0012531787610783138,1.0117807388305664
dinov2_l,fashionmnist,SSL,0.8442,0.8453,0.8437,0.8489,0.8472,0.87752,0.8792533333333333,0.87784,0.88044,0.8788799999999999,0.0017333333333333326,0.0009520212285214839,0.001413333333333333,0.0009220157031586345,3.0861475467681885
dinov2_l,mnist,SSL,0.7409,0.7269,0.7425,0.7459,0.7327,0.7052666666666666,0.7114400000000001,0.7096,0.7077199999999999,0.7048666666666665,0.006173333333333334,0.0016089796932410995,0.0018400000000000003,0.001506458261079056,3.5435523986816406
dinov2_g,imagenet,SSL,0.7844,0.78306,0.78462,0.7958,0.79594,0.9622933333333333,0.9714133333333334,0.9625866666666666,0.9879466666666666,0.9880666666666666,0.009120000000000003,0.0008533019567564844,0.008826666666666668,0.0008426758068702606,8.49652910232544
dinov2_g,cifar100,SSL,0.8976,0.9099,0.8987,0.9176,0.9187,0.9593599999999999,0.97156,0.9606666666666667,0.9837733333333333,0.9860266666666666,0.012200000000000003,0.0010174478956902142,0.010893333333333338,0.000933333624533288,3.3896243572235107
dinov2_g,cifar10,SSL,0.9777,0.9824,0.9777,0.9844,0.9868,0.92336,0.9382533333333334,0.9231333333333333,0.9485066666666666,0.9618,0.014893333333333335,0.0011329066755798262,0.015120000000000001,0.0011463105982353417,3.607020378112793
dinov2_g,dtd,SSL,0.7292553191489362,0.7308510638297873,0.7276595744680852,0.7446808510638298,0.7441489361702127,0.8721733333333334,0.8853733333333333,0.87224,0.8985066666666667,0.9016133333333334,0.013199999999999996,0.001310294164766913,0.013133333333333332,0.0012799398624761852,1.3692069053649902
dinov2_g,fashionmnist,SSL,0.8586,0.8581,0.8578,0.8622,0.8578,0.8898266666666665,0.8920266666666666,0.8902,0.8935866666666666,0.8917999999999999,0.002200000000000001,0.000954412446598546,0.0018266666666666668,0.0009394309965411096,3.9884257316589355
