model,dataset,paradigm,NC_COS,NC_HN,NC_RTN,NC_RN,FS_COS,FS_HN,FS_RTN,FS_RN,FS_HN_COS_diff,FS_HN_COS_ci95,time_s
i21k_t,imagenet,Supervised,0.6827,0.67218,0.68182,0.682,0.9752399999999999,0.9760666666666666,0.9755733333333333,0.9756399999999998,0.0008266666666666685,0.0005292603290715155,2.1450283527374268
i21k_t,cifar100,Supervised,0.302,0.2899,0.3026,0.3011,0.6362666666666666,0.64176,0.6390666666666667,0.6356666666666666,0.0054933333333333344,0.00199132844769404,0.8707871437072754
i21k_t,cifar10,Supervised,0.8757,0.8731,0.8754,0.8748,0.8809733333333334,0.8839066666666665,0.8840133333333333,0.8833866666666667,0.002933333333333333,0.0011580340244473724,1.164395809173584
i21k_t,dtd,Supervised,0.6361702127659574,0.6276595744680851,0.6351063829787233,0.6324468085106383,0.8324266666666668,0.8393466666666667,0.83816,0.83684,0.006920000000000001,0.0013329637075929714,0.7428028583526611
i21k_t,fashionmnist,Supervised,0.7873,0.7851,0.7868,0.7875,0.8174533333333333,0.8205066666666666,0.8186666666666668,0.8180666666666666,0.0030533333333333345,0.0010890293377866362,1.2410764694213867
i21k_t,mnist,Supervised,0.7626,0.7451,0.766,0.763,0.7492133333333334,0.7512000000000001,0.7535333333333333,0.7491200000000001,0.0019866666666666657,0.0017791405584794777,1.2475557327270508
i21k_s,imagenet,Supervised,0.77856,0.77532,0.77444,0.77434,0.9873066666666667,0.9865866666666666,0.9850133333333333,0.98524,-0.0007199999999999989,0.0005074740749853357,2.192965030670166
i21k_s,cifar100,Supervised,0.7594,0.7487,0.755,0.7549,0.9272533333333334,0.9272533333333334,0.9269333333333333,0.9267466666666667,-8.881784197001253e-19,0.0008419639263848146,1.2308073043823242
i21k_s,cifar10,Supervised,0.936,0.9345,0.9383,0.9376,0.9254666666666667,0.9274133333333332,0.9273199999999999,0.9265333333333333,0.0019466666666666664,0.0009475573325978752,1.3904836177825928
i21k_s,dtd,Supervised,0.6978723404255319,0.6835106382978723,0.6925531914893617,0.6941489361702128,0.8537866666666666,0.8610399999999999,0.8563466666666666,0.8556399999999998,0.007253333333333334,0.0015008052749492702,0.7558846473693848
i21k_s,fashionmnist,Supervised,0.8125,0.8046,0.8075,0.8082,0.8387866666666667,0.8368399999999999,0.8383066666666666,0.8377733333333333,-0.0019466666666666673,0.0011144829557063669,1.5073292255401611
i21k_s,mnist,Supervised,0.8494,0.8414,0.8522,0.8492,0.8079733333333333,0.8163333333333334,0.8144933333333333,0.80904,0.008360000000000001,0.0017436772195487712,1.4782016277313232
i21k_b,imagenet,Supervised,0.82406,0.81754,0.81684,0.81796,0.9910533333333332,0.9905866666666666,0.9892,0.9897999999999998,-0.00046666666666666645,0.0005640049235403691,3.1925125122070312
i21k_b,cifar100,Supervised,0.7837,0.7735,0.7798,0.7793,0.93052,0.9300133333333334,0.9305333333333333,0.9306933333333334,-0.0005066666666666649,0.0009167385600510348,8.020562648773193
i21k_b,cifar10,Supervised,0.9477,0.9421,0.9481,0.9476,0.9318,0.9332933333333333,0.9332266666666666,0.9329066666666668,0.001493333333333335,0.0009155831142173822,1.8543848991394043
i21k_b,dtd,Supervised,0.7074468085106383,0.7063829787234043,0.7074468085106383,0.7079787234042553,0.8563200000000001,0.8632666666666666,0.8576400000000001,0.85688,0.006946666666666665,0.001491560772667343,0.805182933807373
i21k_b,fashionmnist,Supervised,0.818,0.8155,0.8152,0.8138,0.8346399999999999,0.8342133333333334,0.8354400000000001,0.8345333333333333,-0.00042666666666666515,0.0010985254764941353,1.9770987033843994
i21k_b,mnist,Supervised,0.8199,0.808,0.8221,0.8206,0.7705733333333332,0.7772133333333333,0.7749866666666667,0.7713466666666667,0.0066400000000000035,0.0016499213305744137,1.9587528705596924
i21k_l,imagenet,Supervised,0.86684,0.86148,0.86092,0.86166,0.9945466666666666,0.9943066666666666,0.99352,0.9938266666666666,-0.000239999999999999,0.00041623107291770267,4.060784339904785
i21k_l,cifar100,Supervised,0.8614,0.8571,0.8596,0.8595,0.9600533333333333,0.9612133333333333,0.95992,0.9597199999999999,0.0011600000000000002,0.0008360342927150511,1.892986536026001
i21k_l,cifar10,Supervised,0.9746,0.9755,0.9764,0.9763,0.9613599999999999,0.9672533333333333,0.96632,0.96532,0.005893333333333336,0.0009381233330526315,2.1053249835968018
i21k_l,dtd,Supervised,0.7186170212765958,0.7159574468085106,0.7180851063829787,0.7186170212765958,0.8562000000000001,0.8663733333333333,0.8588266666666667,0.8579066666666666,0.010173333333333335,0.0016881467850660642,0.8466501235961914
i21k_l,fashionmnist,Supervised,0.8419,0.8358,0.8401,0.8395,0.8444133333333335,0.8467466666666666,0.8466133333333333,0.8444266666666667,0.002333333333333334,0.0011862273793651684,2.304631233215332
i21k_l,mnist,Supervised,0.8409,0.8351,0.8426,0.8409,0.8089866666666666,0.81572,0.81296,0.8088933333333334,0.006733333333333336,0.0015085012523841153,2.452380418777466
dinov2_s,imagenet,SSL,0.75118,0.74434,0.74746,0.74738,0.9808266666666666,0.9786666666666665,0.9747866666666665,0.9746933333333333,-0.002159999999999999,0.0008539468054835475,7.453924655914307
dinov2_s,cifar100,SSL,0.7418,0.7437,0.738,0.7382,0.9509066666666667,0.9514666666666667,0.9461733333333333,0.9455333333333333,0.000560000000000001,0.0007566202532138123,0.9770047664642334
dinov2_s,cifar10,SSL,0.9531,0.9526,0.9517,0.9519,0.9250933333333332,0.9356666666666666,0.9318133333333333,0.9308266666666666,0.010573333333333332,0.0012500781046958626,1.406371831893921
dinov2_s,dtd,SSL,0.7367021276595744,0.7335106382978723,0.7361702127659574,0.7356382978723405,0.9015599999999999,0.9051333333333333,0.8999333333333333,0.8997866666666667,0.003573333333333333,0.0015287834711357187,0.758659839630127
dinov2_s,fashionmnist,SSL,0.8232,0.8227,0.8231,0.8222,0.8540399999999999,0.85476,0.8552000000000001,0.85432,0.0007200000000000008,0.0010138534362103603,1.4808261394500732
dinov2_s,mnist,SSL,0.834,0.8194,0.8357,0.834,0.8010666666666667,0.8077466666666667,0.8064133333333333,0.80136,0.006679999999999999,0.0016827104990804439,1.4868509769439697
