model,paradigm,spearman_wn,spearman_shuf,spearman_gauss,c100_ari,c100_nmi,c100_ari_rand
i21k_t,Supervised,0.5210687571142972,0.015306376890729563,0.007830558923638271,0.30756143667296787,0.7384024395296112,-0.007466918714555766
i21k_s,Supervised,0.501721204543467,0.0026900891012369655,-0.002383177394011796,0.3552735203247107,0.7747428975655865,0.007421094081298843
i21k_b,Supervised,0.4892617230642002,0.026724499571636907,0.009005226870101416,0.3882798485150488,0.7800298673091132,-0.006378313733306757
i21k_l,Supervised,0.5335573089417298,0.00571818008748137,0.030520872823362046,0.3800397758090761,0.7766517671837075,-0.0039775809076116435
dinov1_b,SSL,0.3617416031668852,-0.006659203085195926,-0.0073407250077157276,0.21582373560340512,0.7037684914277569,-0.002754131196795193
dinov2_s,SSL,0.22126094820166797,0.010481387269081184,0.01258442393816071,0.11836676172117698,0.6250064217915116,0.003233977473674149
dinov2_b,SSL,0.18187044398160732,-0.012771946248285808,0.010875270744714382,0.017072096170185985,0.3947928444312107,-0.0023995342543348965
dinov2_l,SSL,0.18195766645409708,-0.0030103717012255485,-0.030394707967790036,0.005092961894827269,0.3342178414414765,0.0010431367736393202
dinov2_g,SSL,0.19860507621576476,-0.029888465016454733,-0.011848628258077226,0.003402168150371929,0.3097358825808598,-0.0011058672764115258
clip_b,Contrastive,0.5664366670299401,0.003369434792100955,0.01482292249807517,0.1794548649121032,0.6872485952639202,-0.006328939258741387
clip_l,Contrastive,0.591341846604964,0.007771814710620144,0.025301270291001716,0.3487145989828769,0.7624218636184581,0.009984603182009052
siglip_b,Contrastive,0.5797691733862315,-0.014966222562432772,0.008794725906601457,0.22195602525637007,0.7242303087206189,0.00029107518695983164
