model,paradigm,dataset,n_edges,frac_within,orc_within,orc_across,fneg_within,fneg_across
i21k_t,Supervised,imagenet,6952,0.7238204833141542,0.3498269174466332,0.2725266318592458,0.05186804451510334,0.09375
i21k_t,Supervised,cifar100,706,0.20396600566572237,0.5101828466007297,0.4189823676418942,0.013888888888888888,0.026690391459074734
i21k_s,Supervised,imagenet,7379,0.7120205989971541,0.3703286468824488,0.27827140974613546,0.03406928054815379,0.08329411764705882
i21k_s,Supervised,cifar100,676,0.2603550295857988,0.6079898822733999,0.4778283531768752,0.0,0.03
i21k_b,Supervised,imagenet,7623,0.7154663518299882,0.4030572000276229,0.2956372811648612,0.021268793546021268,0.059474412171507604
i21k_b,Supervised,cifar100,655,0.26259541984732826,0.6074743685835657,0.4820148296188304,0.0,0.016563146997929608
i21k_l,Supervised,imagenet,7516,0.7257849920170303,0.4046183403458089,0.3052429098784769,0.021264894592117323,0.06792819019893255
i21k_l,Supervised,cifar100,662,0.2673716012084592,0.6059729950033106,0.4671910055386518,0.005649717514124294,0.020618556701030927
dinov1_b,SSL,imagenet,7699,0.6712560072736719,0.3995189725752165,0.32547857944696257,0.028057275541795667,0.04148557882259976
dinov1_b,SSL,cifar100,750,0.212,0.5974396787388065,0.44576356820083246,0.0,0.01353637901861252
dinov2_s,SSL,imagenet,8019,0.5428357650579873,0.36813943016265843,0.33336543963805454,0.018378130025269928,0.012002182214948172
dinov2_s,SSL,cifar100,769,0.20546163849154747,0.6047365876343404,0.44004481327861034,0.0,0.008183306055646482
dinov2_b,SSL,imagenet,9159,0.3247079375477672,0.5787993717784123,0.6364713245337299,0.0026899798251513113,0.0008084074373484236
dinov2_b,SSL,cifar100,825,0.15393939393939393,0.657046608850803,0.5361633576360447,0.0,0.0014326647564469914
dinov2_l,SSL,imagenet,9504,0.2633627946127946,0.6926335842898476,0.7240424040554078,0.0,0.0
dinov2_l,SSL,cifar100,892,0.10538116591928251,0.7004801517824659,0.6432305622387903,0.0,0.0012531328320802004
dinov2_g,SSL,imagenet,9476,0.2645631067961165,0.6979307656638954,0.7391092359208957,0.00039888312724371757,0.0
dinov2_g,SSL,cifar100,918,0.0860566448801743,0.7677301445501737,0.7027097438380747,0.0,0.0
clip_b,Contrastive,imagenet,7141,0.7186668533818793,0.3580736414788245,0.28956866930139075,0.04150428682774747,0.07914385266301642
clip_b,Contrastive,cifar100,734,0.24795640326975477,0.5982796464732256,0.46348913668407526,0.0,0.030797101449275364
clip_l,Contrastive,imagenet,7072,0.7207296380090498,0.35058650225189114,0.27364231176774617,0.04002354326074161,0.0840506329113924
clip_l,Contrastive,cifar100,718,0.2479108635097493,0.5737346465414497,0.4337355807577392,0.0,0.022222222222222223
siglip_b,Contrastive,imagenet,7042,0.709599545583641,0.3361332377296191,0.26186269920554506,0.05023013808284971,0.07530562347188265
siglip_b,Contrastive,cifar100,739,0.2449255751014885,0.5903116092352141,0.4313710674704896,0.0,0.023297491039426525
