model,kind,template,delta_max,delta_max_std,ORC_mean,frac_neg
gpt2,causal,photo,0.1307896645749767,0.007016646425922743,0.31434631942899083,0.0477820567679361
gpt2,causal,name_only,0.14520569866179497,0.00404374353450261,0.29394788132378613,0.054247835497835496
gpt2,causal,image,0.1101147629541549,0.004403515242817383,0.3442166622555688,0.04976269236300877
gpt2,causal,closeup,0.08613171721857768,0.005154511084679612,0.2968789640376392,0.053952843273231625
gpt2,causal,this_is,0.08037265732856562,0.0031487258084288003,0.29223435907868867,0.04745850622406639
gpt2,causal,wild,0.08886480715614904,0.0020931934795739935,0.33342384048982976,0.04963419882369818
gpt2_m,causal,photo,0.09051378032495502,0.0041786985325349595,0.3036826444679652,0.04354395604395604
gpt2_m,causal,name_only,0.12176066518895559,0.006703763259837863,0.30512983642428326,0.050640033760022504
gpt2_m,causal,image,0.11045341119094301,0.0035041930460524965,0.33556618591575393,0.041560188298587764
gpt2_m,causal,closeup,0.10049259719197348,0.004750284923005473,0.3023284869305505,0.056282538342479246
gpt2_m,causal,this_is,0.13369997641766634,0.0027995939604952154,0.3188342784742201,0.04819277108433735
gpt2_m,causal,wild,0.10405699520750752,0.004300974959003678,0.31028665030212926,0.05968018275271274
bge_base,embed,photo,0.12388041279164423,0.006243590306106907,0.2168354398509576,0.1319268635724332
bge_base,embed,name_only,0.1183699675471824,0.0088301992585113,0.16169688455634407,0.15725085910652922
bge_base,embed,image,0.1251373785491233,0.005344037398974627,0.22861832175446567,0.11554447215295095
bge_base,embed,closeup,0.1257110642519621,0.005706426262421057,0.23157974912054605,0.12755530663679643
bge_base,embed,this_is,0.12523111548579882,0.005482221100580945,0.2242774338723234,0.12528026905829595
bge_base,embed,wild,0.11471493308428762,0.006121550426849105,0.25297805318180294,0.07334311241498867
e5_base,embed,photo,0.11433177931180674,0.0073848315089771,0.20315824480594943,0.14706715783508076
e5_base,embed,name_only,0.11891762053876728,0.012271044058387222,0.18161816966079236,0.11589580010632643
e5_base,embed,image,0.11725092977935381,0.01051928166834561,0.20122841134464886,0.14597620713785864
e5_base,embed,closeup,0.12021353898193318,0.006168746752080009,0.22453673756802725,0.14269324537501793
e5_base,embed,this_is,0.11451058515171202,0.008098629442761416,0.20639711748116366,0.15943081167416873
e5_base,embed,wild,0.11566228981357891,0.011495896022347357,0.21451350113955805,0.13644599303135888
