model,paradigm,method,space,ari,nmi,max_cluster
i21k_t,Supervised,average,R,0.30756143667296787,0.7384024395296112,24
i21k_t,Supervised,complete,R,0.31322702085360177,0.7138359318834931,13
i21k_t,Supervised,average,COS,0.2858232433978454,0.7142913672588268,24
i21k_t,Supervised,complete,COS,0.3318984153241724,0.7303352317684515,19
i21k_t,Supervised,average,H,0.2394125312194592,0.6925958495599136,24
i21k_t,Supervised,complete,H,0.28457513082481933,0.7179211559760387,24
i21k_t,Supervised,ward,R,0.3777901012061555,0.7375819049413972,10
i21k_t,Supervised,kmeans,R,0.3722583730067982,0.7399963554058467,14
i21k_s,Supervised,average,R,0.3552735203247107,0.7747428975655865,25
i21k_s,Supervised,complete,R,0.504733947988589,0.8236710327002185,15
i21k_s,Supervised,average,COS,0.37265219020313745,0.792697258726168,25
i21k_s,Supervised,complete,COS,0.47207735130383827,0.8241806196039478,19
i21k_s,Supervised,average,H,0.2747931563775224,0.7282571570990009,26
i21k_s,Supervised,complete,H,0.41518076230983153,0.7883244188755728,16
i21k_s,Supervised,ward,R,0.5575751962396092,0.8381822719703662,11
i21k_s,Supervised,kmeans,R,0.5184909298045746,0.8173289168011633,13
i21k_b,Supervised,average,R,0.3882798485150488,0.7800298673091132,21
i21k_b,Supervised,complete,R,0.4891976894772545,0.812225086033998,16
i21k_b,Supervised,average,COS,0.4318350118483412,0.8094599526935768,21
i21k_b,Supervised,complete,COS,0.4471592750004765,0.8141513228152231,20
i21k_b,Supervised,average,H,0.3632465543644717,0.7807341125353768,25
i21k_b,Supervised,complete,H,0.5339720891480941,0.8385570051193486,15
i21k_b,Supervised,ward,R,0.6097240473061761,0.8525849500990317,9
i21k_b,Supervised,kmeans,R,0.5676855895196506,0.8363459874773208,10
i21k_l,Supervised,average,R,0.3800397758090761,0.7766517671837075,21
i21k_l,Supervised,complete,R,0.43463497453310695,0.7966807981719075,18
i21k_l,Supervised,average,COS,0.48822302009511814,0.835873318446943,20
i21k_l,Supervised,complete,COS,0.47947922885811683,0.8306223914109994,20
i21k_l,Supervised,average,H,0.3462905972691147,0.7653223983251555,24
i21k_l,Supervised,complete,H,0.4655282732144285,0.8049896215750834,15
i21k_l,Supervised,ward,R,0.5482708933717579,0.828562798660565,12
i21k_l,Supervised,kmeans,R,0.5221830332281419,0.8178857034855314,10
dinov1_b,SSL,average,R,0.21582373560340512,0.7037684914277569,34
dinov1_b,SSL,complete,R,0.22144039735099338,0.7081161962367126,32
dinov1_b,SSL,average,COS,0.2802145411203814,0.7272591567771146,25
dinov1_b,SSL,complete,COS,0.38432368890068636,0.7682384145401808,16
dinov1_b,SSL,average,H,0.1874755734600006,0.6843978809392605,38
dinov1_b,SSL,complete,H,0.31176470588235294,0.7343870279039064,19
dinov1_b,SSL,ward,R,0.48092416556545464,0.8128238113429156,16
dinov1_b,SSL,kmeans,R,0.427935298138061,0.7766235227412539,15
dinov2_s,SSL,average,R,0.11836676172117698,0.6250064217915116,46
dinov2_s,SSL,complete,R,0.28303767191548734,0.7147386601091635,20
dinov2_s,SSL,average,COS,0.3241504304485727,0.7631149493999402,25
dinov2_s,SSL,complete,COS,0.3247758448923289,0.7271523346367266,13
dinov2_s,SSL,average,H,0.04248128445225429,0.4970075069638899,64
dinov2_s,SSL,complete,H,0.2668128863189677,0.7159016458974458,22
dinov2_s,SSL,ward,R,0.5134793597304128,0.8119548079631032,9
dinov2_s,SSL,kmeans,R,0.4140459363957597,0.7687542725670563,12
dinov2_b,SSL,average,R,0.017072096170185985,0.3947928444312107,72
dinov2_b,SSL,complete,R,0.2608101085797117,0.695424127836836,22
dinov2_b,SSL,average,COS,0.3480631704410012,0.7610642601739049,22
dinov2_b,SSL,complete,COS,0.4176585154728414,0.7835811811580793,17
dinov2_b,SSL,average,H,0.003402168150371929,0.31106177760433834,80
dinov2_b,SSL,complete,H,0.07230313014827018,0.5405814149931426,51
dinov2_b,SSL,ward,R,0.4737102640810968,0.7983723399671576,13
dinov2_b,SSL,kmeans,R,0.2269569097399286,0.6569986141514306,21
dinov2_l,SSL,average,R,0.005092961894827269,0.3342178414414765,78
dinov2_l,SSL,complete,R,0.0577628379182704,0.511454091719171,57
dinov2_l,SSL,average,COS,0.24934282009042796,0.7301241526953927,33
dinov2_l,SSL,complete,COS,0.49748318599044034,0.81604317208894,15
dinov2_l,SSL,average,H,0.002574370709382151,0.2972692310572562,81
dinov2_l,SSL,complete,H,0.012051746660486284,0.3714929760013309,73
dinov2_l,SSL,ward,R,0.31573375277908017,0.7243200818587808,20
dinov2_l,SSL,kmeans,R,0.1573907839616996,0.6095775816105161,32
dinov2_g,SSL,average,R,0.003402168150371929,0.3097358825808598,80
dinov2_g,SSL,complete,R,0.033150989182741744,0.45027102546431647,66
dinov2_g,SSL,average,COS,0.08188886879698277,0.5686082946607407,53
dinov2_g,SSL,complete,COS,0.1973299195318215,0.7099495677963304,39
dinov2_g,SSL,average,H,0.003402168150371929,0.3097358825808598,80
dinov2_g,SSL,complete,H,0.002923227002893262,0.3190343828262341,79
dinov2_g,SSL,ward,R,0.18845166894651183,0.6442214082587565,33
dinov2_g,SSL,kmeans,R,0.0940388981206263,0.5488299604560786,44
clip_b,Contrastive,average,R,0.1794548649121032,0.6872485952639202,41
clip_b,Contrastive,complete,R,0.3732298157342308,0.783205858304878,19
clip_b,Contrastive,average,COS,0.1794548649121032,0.6872485952639202,41
clip_b,Contrastive,complete,COS,0.36785803134588274,0.7758542994329052,19
clip_b,Contrastive,average,H,0.16325766211770837,0.6766504784028106,45
clip_b,Contrastive,complete,H,0.2701003725165563,0.7355854388228185,30
clip_b,Contrastive,ward,R,0.47855216585201416,0.8108990465136869,14
clip_b,Contrastive,kmeans,R,0.4566410537870472,0.7962584765941292,13
clip_l,Contrastive,average,R,0.3487145989828769,0.7624218636184581,22
clip_l,Contrastive,complete,R,0.44092179047694535,0.7948788748013218,15
clip_l,Contrastive,average,COS,0.3179077912384452,0.7552396242737566,26
clip_l,Contrastive,complete,COS,0.4126966901790559,0.7943963272442,17
clip_l,Contrastive,average,H,0.22435752814980414,0.7099434136355899,36
clip_l,Contrastive,complete,H,0.36667934575884364,0.7630772232234276,19
clip_l,Contrastive,ward,R,0.5157826927206356,0.8129289639050586,10
clip_l,Contrastive,kmeans,R,0.5280781304499477,0.8210602321407037,12
siglip_b,Contrastive,average,R,0.22195602525637007,0.7242303087206189,36
siglip_b,Contrastive,complete,R,0.38170221247757624,0.7915968919015849,24
siglip_b,Contrastive,average,COS,0.2200325071109305,0.7265809235490804,36
siglip_b,Contrastive,complete,COS,0.3734282404687159,0.7889417544055021,24
siglip_b,Contrastive,average,H,0.1687225852654194,0.6817805349914635,42
siglip_b,Contrastive,complete,H,0.2499909089807149,0.7442830605285434,34
siglip_b,Contrastive,ward,R,0.48649463013580696,0.8128824902129224,16
siglip_b,Contrastive,kmeans,R,0.536563195927828,0.8317423339172503,12
