model,paradigm,delta_real,delta_permnull,permnull_std,excess
i21k_t,Supervised,0.12265904084513757,0.15762449506544607,0.0036555939624672777,-0.0349654542203085
i21k_s,Supervised,0.09710508712586821,0.13299917748332915,0.005874085461043978,-0.03589409035746094
i21k_b,Supervised,0.08813671419454565,0.12412606311411616,0.0035282544918989324,-0.03598934891957051
i21k_l,Supervised,0.08417336972808849,0.12383067161180213,0.0044954021007112535,-0.039657301883713636
dinov1_b,SSL,0.11314437041860233,0.1173023187280634,0.0018510685773667375,-0.004157948309461076
dinov2_s,SSL,0.11854299906221333,0.10137572766251797,0.0003537641109404886,0.017167271399695358
dinov2_b,SSL,0.09264752285266412,0.08172122814155737,0.0012387410753541554,0.010926294711106746
dinov2_l,SSL,0.07059201450943249,0.07408165972696164,0.0026946373971907175,-0.003489645217529147
dinov2_g,SSL,0.08081279346762844,0.07516282771920081,0.002035646510216361,0.005649965748427632
clip_b,Contrastive,0.11952293132548993,0.1666362633671214,0.0020206767816487252,-0.04711333204163147
clip_l,Contrastive,0.11773102200261407,0.1543755569380241,0.003632554058458804,-0.036644534935410034
siglip_b,Contrastive,0.11368551492727745,0.14917496189684673,0.003366979059333472,-0.03548944696956928
