model,m_imgs,rho_mean,rho_std
i21k_l,1,0.2468693769526209,0.007287831712676218
i21k_l,10,0.48927998833754494,0.005435620648826028
i21k_l,100,0.5254006917218316,0.0
dinov2_l,1,0.08403709865714167,0.010508387557268482
dinov2_l,10,0.15282389788522263,0.003718980704859744
dinov2_l,100,0.17816567553198787,0.0
dinov2_g,1,0.030064974505307967,0.0038602967347680073
dinov2_g,10,0.16766112451947665,0.0043431991790544135
dinov2_g,100,0.19539761051833596,0.0
clip_l,1,0.263924493626417,0.010760311368444353
clip_l,10,0.5573724544836849,0.004958044849607693
clip_l,100,0.5918074451660784,0.0
