model,template,d,delta,delta_sd,null_mean,null_sd,excess,z,time_s
gpt2,photo,768,0.13057019679209114,0.005235770620381964,0.09509597072076932,0.0035389044317671783,0.03547422607132185,5.613380179221358,50.70763969421387
gpt2,name_only,768,0.15353323068343702,0.008122717470254613,0.12170653317452645,0.007075686531353306,0.03182669750891058,2.95447594069664,5.920971393585205
gpt2,image,768,0.10353338786244466,0.0017923807156150003,0.07599153622749001,0.001700870991491109,0.02754185163495465,11.14626306646639,5.850029706954956
gpt2,closeup,768,0.08817188211062907,0.005007230244270218,0.08036165019694033,0.0028605882559814963,0.00781023191368875,1.3543576493051055,5.718506336212157
gpt2,this_is,768,0.08435547633936244,0.005453670567938408,0.08175206109284414,0.002347924562334709,0.002603415246518304,0.4384614406803069,5.678958415985107
gpt2,wild,768,0.08970260443497552,0.002456695307604542,0.08777846568103853,0.003030783284660876,0.001924138753937016,0.4931906174234014,5.978995084762572
gpt2,def_pair,768,0.1261656216826489,0.0066379172519666395,0.09612386344808277,0.003488056523565575,0.030041758234566108,4.006334071347113,6.2694242000579825
gpt2,gloss_only,768,0.1307720457532328,0.005906547796865153,0.09703616454819272,0.0035162004281393236,0.033735881205040084,4.907798050920044,6.100813150405884
gpt2,concept,768,0.11416850996729308,0.003097410996022897,0.07360974099836566,0.001145954193388274,0.040558768968927406,12.280860710793718,6.10509467124939
gpt2,discussion,768,0.09995476737007067,0.0035236772232430384,0.08514854426252437,0.0026799448115239323,0.0148062231075463,3.3445209534288836,6.0472564697265625
gpt2_m,photo,1024,0.09960827051767733,0.002582667973536659,0.12558651473870672,0.0054321053581181744,-0.025978244221029387,-4.3190463358115085,138.14251351356506
gpt2_m,name_only,1024,0.12067254869273952,0.006499276249645906,0.11461523794955225,0.003895476862142493,0.006057310743187272,0.7994032590456664,16.83651876449585
gpt2_m,image,1024,0.11367993720800113,0.003407594202073271,0.1195576015628612,0.004822453508806242,-0.0058776643548600896,-0.9953888745195388,17.345035791397095
gpt2_m,closeup,1024,0.11017364556078964,0.002955527846774473,0.10994430240428717,0.003958112954925191,0.0002293431565024706,0.04642744957952242,17.72454810142517
gpt2_m,this_is,1024,0.14330667211949294,0.006446126791447232,0.13812830096295878,0.004150643755756448,0.005178371156534162,0.6754246833854185,18.727224111557007
gpt2_m,wild,1024,0.10384417541898636,0.0037522501495875584,0.11295786424487718,0.0038030078000124063,-0.009113688825890823,-1.7058863611137256,18.23878502845764
gpt2_m,def_pair,1024,0.08685896024425471,0.003509951670305792,0.10315340729764966,0.003332167905916589,-0.016294447053394945,-3.36680068619282,18.830299854278568
gpt2_m,gloss_only,1024,0.1066328570236377,0.005869479775360514,0.10389169810840147,0.0033607882286035627,0.0027411589152362137,0.4052836847490637,19.75421762466431
