model,dataset,stat,n_quads,delta,delta_sd,null_mean,null_sd,excess,time_s
i21k_l,imagenet,max,10000,0.08129027813952028,0.004803916473266866,0.10763767575825345,0.004418127063476387,-0.02634739761873317,1.8087239265441895
i21k_l,imagenet,p999,10000,0.0686150462778358,0.0010354249223935093,0.08564520027691103,0.0025746626736123297,-0.01703015399907523,1.8088269233703613
i21k_l,imagenet,max,50000,0.09335076557216451,0.006213617169048059,0.11752088564167977,0.0036924134003863645,-0.024170120069515258,2.1748664379119873
i21k_l,imagenet,p999,50000,0.06817398816524116,0.0006599879618722922,0.08632817266462418,0.0030124953007394507,-0.018154184499383025,2.1749331951141357
i21k_l,imagenet,max,100000,0.09700982766836633,0.0060754243789041635,0.12397438076844426,0.005678750689230222,-0.026964553100077934,3.146251678466797
i21k_l,imagenet,p999,100000,0.06851111185162778,0.0006819399520968275,0.08625505187273043,0.003041060073655148,-0.017743940021102647,3.1463286876678467
i21k_l,imagenet,max,500000,0.10136989103099658,0.002913243408846331,0.1312117477932496,0.005469788064562099,-0.02984185676225301,7.3384716510772705
i21k_l,imagenet,p999,500000,0.06857185369052046,0.00019671001546362347,0.08652436700326784,0.0030115721025340647,-0.017952513312747373,7.338576793670654
i21k_l,imagenet,max,1000000,0.10231028348660694,0.0029214623561003056,0.13652267415836297,0.005179862514160182,-0.034212390671756035,9.549890518188477
i21k_l,imagenet,p999,1000000,0.06860798769316767,0.0001209714042087206,0.08634803581053409,0.0030368837953745212,-0.017740048117366417,9.549992322921753
i21k_l,imagenet,max,2000000,0.10534716926919903,0.0024975205109720815,0.13994633185089553,0.005038727793994957,-0.0345991625816965,20.015708923339844
i21k_l,imagenet,p999,2000000,0.06864683920434847,0.0001287500136577054,0.08644102115127456,0.0030124762249675884,-0.017794181946926085,20.015801906585693
dinov2_l,imagenet,max,10000,0.04223197612724751,0.0044687468425581595,0.0692614358997095,0.0007297521749877352,-0.02702945977246199,2.799929141998291
dinov2_l,imagenet,p999,10000,0.03142285400124118,0.0009225978265139041,0.054449171835184725,4.430584975003486e-05,-0.023026317833943544,2.800001621246338
dinov2_l,imagenet,max,50000,0.05758031727141909,0.008127073599121166,0.07609964069668827,0.0021273788210972432,-0.018519323425269185,4.044551134109497
dinov2_l,imagenet,p999,50000,0.03156763231657362,0.00046405413099039934,0.055715823123788887,0.0005406040710306678,-0.024148190807215267,4.044615030288696
dinov2_l,imagenet,max,100000,0.053066826485624864,0.005377774268555453,0.0773037070805572,0.0030599988420629966,-0.024236880594932335,3.7246463298797607
dinov2_l,imagenet,p999,100000,0.03166629300247287,0.0003150455222494247,0.05536074395967481,0.0003491648428858847,-0.02369445095720194,3.7247164249420166
dinov2_l,imagenet,max,500000,0.07108348975897645,0.008849156390472906,0.08224502144738839,0.0010788887696079677,-0.011161531688411941,8.046919822692871
dinov2_l,imagenet,p999,500000,0.03175137759461159,0.00010293878267148824,0.05556870940017691,0.0003301518958128022,-0.02381733180556532,8.046972274780273
dinov2_l,imagenet,max,1000000,0.07944413016476183,0.008007228733066855,0.08352475079471285,0.0013667730342105493,-0.004080620629951015,15.453851461410522
dinov2_l,imagenet,p999,1000000,0.031681556701275156,9.27186912357897e-05,0.055533334388214346,0.0003446023884490414,-0.02385177768693919,15.453922986984253
dinov2_l,imagenet,max,2000000,0.08093144487188608,0.013509114079265024,0.08621350677751882,0.002162155920263943,-0.00528206190563274,25.320162534713745
dinov2_l,imagenet,p999,2000000,0.031702494713885386,8.186495731469464e-05,0.055593197054713196,0.00034768024342735857,-0.02389070234082781,25.320212841033936
clip_b,imagenet,max,10000,0.1057501514353794,0.007461935941330365,0.11355960521923197,0.0034535041088942188,-0.007809453783852574,0.9442877769470215
clip_b,imagenet,p999,10000,0.08740297744685335,0.00200509963060094,0.09284034090027683,0.0005060353119884337,-0.00543736345342348,0.944343090057373
clip_b,imagenet,max,50000,0.11474244821952193,0.008332523919718539,0.12695754752942415,0.003786424506165953,-0.012215099309902222,2.3282413482666016
clip_b,imagenet,p999,50000,0.08642840477272003,0.0010151924373517746,0.09403156897726489,0.001599175260635711,-0.007603164204544863,2.328298807144165
clip_b,imagenet,max,100000,0.11475334624204488,0.004901216451274051,0.1382228459982152,0.0030042395313750656,-0.02346949975617031,2.3124048709869385
