model,dataset,b,n_per_class,delta,excess
i21k_l,cifar100,-1,500,0.13688195383248739,-0.04872368486951267
i21k_l,cifar100,0,500,0.13482837625055466,-0.05030763101137253
i21k_l,cifar100,1,500,0.1320875773564325,-0.053913027500172406
i21k_l,cifar100,2,500,0.13640482207829716,-0.04871353358051847
i21k_l,cifar100,3,500,0.13498440566503841,-0.050207985572436165
i21k_l,cifar100,4,500,0.13693053704015812,-0.04768385140955006
i21k_l,cifar100,5,500,0.13685028210799546,-0.04902305432662238
i21k_l,cifar100,6,500,0.13533091354710292,-0.04968090203859421
i21k_l,cifar100,7,500,0.14007173848401597,-0.045767249775951285
i21k_l,cifar100,8,500,0.13698773972120792,-0.04872839277266544
i21k_l,cifar100,9,500,0.13472179489692995,-0.050942557135455924
i21k_l,cifar100,10,500,0.13600609817766982,-0.05014006948475644
i21k_l,cifar100,11,500,0.13706388492816515,-0.04776047261922198
i21k_l,cifar100,12,500,0.14065625290405742,-0.04465394911225207
i21k_l,cifar100,13,500,0.1374054862220786,-0.047780309451937564
i21k_l,cifar100,14,500,0.1370863723310232,-0.048111623507100715
i21k_l,cifar100,15,500,0.133690542748328,-0.05198591955431045
i21k_l,cifar100,16,500,0.14244815587951298,-0.04351811049399229
i21k_l,cifar100,17,500,0.13581341292042873,-0.04981532732249791
i21k_l,cifar100,18,500,0.13071485844669242,-0.05588463732682683
i21k_l,cifar100,19,500,0.13199524911179195,-0.05322214978972675
i21k_l,cifar100,20,500,0.14171686541642145,-0.042897413783409694
i21k_l,cifar100,21,500,0.13201349564237275,-0.05309650771104682
i21k_l,cifar100,22,500,0.1367559462173333,-0.04864383213803117
i21k_l,cifar100,23,500,0.14016151873723545,-0.04635901432990722
i21k_l,cifar100,24,500,0.13549725020876238,-0.05068186832236507
i21k_l,cifar100,25,500,0.13429491335886332,-0.05022610749028744
i21k_l,cifar100,26,500,0.13670247900724175,-0.04883545013306251
i21k_l,cifar100,27,500,0.1376617391347395,-0.04801931241102822
i21k_l,cifar100,28,500,0.13684789710434841,-0.04768712265767999
i21k_l,cifar100,29,500,0.13159877454585886,-0.05343558555089237
dinov2_l,cifar100,-1,500,0.09787865077312659,-0.04803960611590012
dinov2_l,cifar100,0,500,0.09535670163372968,-0.05064532661978531
dinov2_l,cifar100,1,500,0.09641611619997663,-0.04958670113606524
dinov2_l,cifar100,2,500,0.09561618446438143,-0.05010765783068981
dinov2_l,cifar100,3,500,0.09751299776720139,-0.04854584367396382
dinov2_l,cifar100,4,500,0.09886786396661883,-0.04705744991451326
dinov2_l,cifar100,5,500,0.0955687326315992,-0.0504626015973952
dinov2_l,cifar100,6,500,0.10135104759696655,-0.044276067673574435
dinov2_l,cifar100,7,500,0.09563618663983296,-0.05024260091289422
dinov2_l,cifar100,8,500,0.09770451032158504,-0.048352133418314056
dinov2_l,cifar100,9,500,0.0930266343162618,-0.05308845149490245
dinov2_l,cifar100,10,500,0.09387113191851619,-0.05217016687445182
dinov2_l,cifar100,11,500,0.09480877869589138,-0.051393218738023494
dinov2_l,cifar100,12,500,0.09939409526193499,-0.046565375775497075
dinov2_l,cifar100,13,500,0.09541673425591857,-0.050334831692840476
dinov2_l,cifar100,14,500,0.09552312242809276,-0.0501599330863836
dinov2_l,cifar100,15,500,0.09772446102126271,-0.047967328349198465
dinov2_l,cifar100,16,500,0.0901490153542797,-0.055876362778108604
dinov2_l,cifar100,17,500,0.09810657237111582,-0.04772801488172372
dinov2_l,cifar100,18,500,0.09600043823511216,-0.05006145809788749
dinov2_l,cifar100,19,500,0.09784289242629966,-0.04798410080442213
