model,p999,p999_sd,null_mean,null_sd,excess,z,frac_null_above,time_s
i21k_t,0.10039079115589797,0.00022709055050368373,0.09350778332086267,0.005414567601576428,0.006883007835035301,1.2700851932235981,0.05,10.2083899974823
i21k_s,0.07896719520461207,0.0003021299350643867,0.08380437593555616,0.004244283366516444,-0.004837180730944093,-1.1368164923785042,0.85,16.53927969932556
i21k_b,0.08138601788576076,0.00019787211548717378,0.08784576203555274,0.0036284137306240583,-0.006459744149791974,-1.7776804079829378,1.0,45.43294954299927
i21k_l,0.06857185369052046,0.00019671001546362347,0.0824966821595589,0.0032350260881267986,-0.013924828469038433,-4.296458937855085,1.0,80.16207647323608
dinov1_b,0.054348962837057015,0.00033322195488131077,0.07900245352067271,0.002246728543183685,-0.0246534906836157,-10.854328944673485,1.0,60.15246605873108
dinov2_s,0.053307359689816494,0.00042643000538487993,0.07529028715225788,0.0012940059983798798,-0.02198292746244139,-16.134746180827182,1.0,33.740976333618164
dinov2_b,0.03495649928507461,0.00016446503830526828,0.06056553326994281,0.0007564381712105719,-0.025609033984868197,-33.08187353435131,1.0,63.692779541015625
dinov2_l,0.03175137759461159,0.00010293878267148824,0.05522764137732775,0.0005463811750307208,-0.02347626378271616,-42.22398899836989,1.0,60.86920189857483
dinov2_g,0.03163255894319051,0.00034454542833889504,0.05197579762604615,0.00041095369150012575,-0.02034323868285564,-37.934102641079896,1.0,109.16917181015015
clip_b,0.08668419602221591,0.0002675039684350675,0.09282360350354321,0.00388545604724495,-0.006139407481327297,-1.5763680239817377,0.95,40.316527366638184
clip_l,0.07622853491399023,0.00034640293671771755,0.0876395525736421,0.003690436396112746,-0.01141101765965187,-3.0785189033926827,1.0,42.40187382698059
siglip_b,0.07583879794088053,0.0002112013024691193,0.08483744739805664,0.003310857432082627,-0.008998649457176114,-2.7124080522918588,1.0,40.523306369781494
