model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,store_centroids,time_s
i21k_t,imagenet,0.13995610591662577,0.00515029483378623,0.14526122751100817,0.009022432426000175,-0.0053051215943824,-0.5106514959650971,0.7,1,13.354649305343628
i21k_s,imagenet,0.11267257201978109,0.004677295442700293,0.13212289594034016,0.006011653970742414,-0.019450323920559065,-2.5535767728359544,1.0,1,16.28529405593872
i21k_b,imagenet,0.11342182635045166,0.004668948469678963,0.13723319946046905,0.006377494644377829,-0.023811373110017395,-3.012613456012492,1.0,1,24.868250608444214
i21k_l,imagenet,0.10136989103099658,0.002913243408846331,0.12850651241685024,0.004948396843784999,-0.027136621385853654,-4.725768803197795,1.0,1,33.51492500305176
dinov1_b,imagenet,0.11215371720064467,0.005159968490903539,0.11755967983315033,0.00378325566042783,-0.005405962632505659,-0.8449055185515146,0.9,0,24.783221006393433
dinov2_s,imagenet,0.11946804374327194,0.011836764895877743,0.11046034341333584,0.003053469723202415,0.0090077003299361,0.7368704419874057,0.0,0,15.591043472290039
dinov2_b,imagenet,0.09538213572924951,0.00837724196518084,0.08957082159256267,0.002420443240491182,0.00581131413668684,0.6664424327666412,0.0,0,24.49698781967163
dinov2_l,imagenet,0.07108348975897645,0.008849156390472906,0.08207798824868642,0.0017620111095508798,-0.010994498489709972,-1.218514046515041,1.0,0,33.71236968040466
dinov2_g,imagenet,0.07943258716889476,0.0066441289344806274,0.07713530885731665,0.0017349020724347086,0.0022972783115781104,0.33454365892319093,0.15,0,48.502296447753906
clip_b,imagenet,0.12302522715153039,0.005644122493340373,0.1460944869669222,0.007753915613469696,-0.023069259815391818,-2.40540687934028,1.0,0,19.402962684631348
clip_l,imagenet,0.12073955720395646,0.006568586537007707,0.13762429760986253,0.007404426842941546,-0.016884740405906068,-1.7058612270927616,1.0,0,25.57355785369873
siglip_b,imagenet,0.11381965718742892,0.008088544319572349,0.13113668370533932,0.005978999661205852,-0.017317026517910394,-1.721634820216434,1.0,0,24.227078437805176
i21k_t,cifar100,0.16886612693773034,0.0027071835325949705,0.20779154855822476,0.013209789020069435,-0.03892542162049442,-2.88671360104474,1.0,0,7.173259973526001
i21k_s,cifar100,0.1565304832589991,0.005482901565579968,0.18725743510450074,0.009841372966488397,-0.030726951845501643,-2.727490779806961,1.0,0,7.587231397628784
i21k_b,cifar100,0.1691518489653338,0.003852999500419518,0.18460217007898844,0.010321000314145743,-0.01545032111365463,-1.4024398535227722,0.9,0,8.158667802810669
i21k_l,cifar100,0.13567005864275186,0.002268764796920949,0.17909006224725582,0.00878746421589665,-0.04342000360450396,-4.784248207470898,1.0,0,8.55949330329895
dinov1_b,cifar100,0.11419533445939303,0.0037573232522253074,0.1768644589093693,0.007491839178403326,-0.06266912444997627,-7.477312126323617,1.0,0,8.183672904968262
dinov2_s,cifar100,0.11326184133440934,0.00335544793386342,0.1639717552481455,0.006156340615269716,-0.050709913913736165,-7.232507239646414,1.0,0,7.522301197052002
dinov2_b,cifar100,0.11196180005418092,0.002229551727113432,0.15431531718748404,0.004984626176908077,-0.04235351713330311,-7.756300069205517,1.0,0,8.251586437225342
dinov2_l,cifar100,0.0983998808058492,0.0019029998758363228,0.149806669180043,0.005239375315076314,-0.05140678837419381,-9.222159685966595,1.0,0,7.143182277679443
dinov2_g,cifar100,0.06984616018097747,0.002435097721995694,0.1488617027224311,0.005348860016407253,-0.07901554254145363,-13.444706693883628,1.0,0,8.745582818984985
clip_b,cifar100,0.14103894015431093,0.0027354401390508286,0.1849194832703378,0.009939575256554112,-0.04388054311602688,-4.256481388738279,1.0,0,6.9616687297821045
clip_l,cifar100,0.1406566097510245,0.002964240248211589,0.17906874768855413,0.008221314731102856,-0.03841213793752962,-4.395294017812959,1.0,0,8.001544713973999
siglip_b,cifar100,0.14569211362869644,0.003471695574866869,0.1831696892990087,0.007988916922978144,-0.03747757567031226,-4.3024993205528,1.0,0,7.920408487319946
i21k_t,cifar10,0.12219879620197657,0.0,0.17277600719474706,0.02722469550923189,-0.05057721099277049,-1.857769574525444,1.0,0,6.704221248626709
i21k_s,cifar10,0.0859252978448907,1.3877787807814457e-17,0.17599574394925438,0.027337402902602774,-0.09007044610436368,-3.294769676010011,1.0,0,7.336106300354004
i21k_b,cifar10,0.08912335947310047,0.0,0.17207688732702692,0.029651904183209888,-0.08295352785392644,-2.797578440203449,1.0,0,7.915186166763306
i21k_l,cifar10,0.08357815749110106,1.3877787807814457e-17,0.1797674757331641,0.02512913465443178,-0.09618931824206303,-3.8278006610585398,1.0,0,8.917969703674316
dinov1_b,cifar10,0.08839522628605256,0.0,0.18242045657962366,0.023562913654360192,-0.0940252302935711,-3.990390648321721,1.0,0,7.7995734214782715
dinov2_s,cifar10,0.08393180116410728,0.0,0.1791639237415887,0.025789377188099073,-0.09523212257748143,-3.6926879576381486,1.0,0,6.756105899810791
dinov2_b,cifar10,0.04576619530477449,0.0,0.18007702719896526,0.027217191173461126,-0.13431083189419077,-4.9347793105540685,1.0,0,7.85312557220459
dinov2_l,cifar10,0.027459458662460006,0.0,0.18099723651623603,0.02742673349922105,-0.15353777785377604,-5.598106601288727,1.0,0,8.824907064437866
dinov2_g,cifar10,0.025407403002162116,0.0,0.1808528946390292,0.02770019422277376,-0.15544549163686708,-5.611711253239782,1.0,0,9.91258692741394
clip_b,cifar10,0.10510009138196408,0.0,0.17635916324569367,0.02729759367180376,-0.0712590718637296,-2.6104525080294727,1.0,0,7.187390565872192
clip_l,cifar10,0.09893099602982094,0.0,0.17920031306720402,0.024334238938541645,-0.08026931703738308,-3.2986162928748506,1.0,0,7.371188163757324
siglip_b,cifar10,0.08738363341151585,1.3877787807814457e-17,0.17580466490700336,0.02555484296441675,-0.08842103149548751,-3.460049886379945,1.0,0,7.41413688659668
i21k_t,dtd,0.1399298739592871,0.0,0.18168603929889587,0.015272802139642602,-0.04175616533960877,-2.734021233158325,1.0,0,6.541078567504883
i21k_s,dtd,0.12325147231493894,0.0,0.17852400218914424,0.013755274612971389,-0.055272529874205306,-4.0182789096833185,1.0,0,6.797659873962402
i21k_b,dtd,0.11773657062183052,0.0,0.1785834206818162,0.0130786981180791,-0.06084685005998569,-4.652362911861629,1.0,0,6.931323289871216
i21k_l,dtd,0.09745994519203147,1.3877787807814457e-17,0.1794069613760328,0.012072043708973662,-0.08194701618400133,-6.788164304200343,1.0,0,7.021587371826172
dinov1_b,dtd,0.12802947844009926,0.0015913018924607696,0.18497667341334434,0.013132236824506786,-0.056947194973245074,-4.304952313958564,1.0,0,6.981354475021362
dinov2_s,dtd,0.14050482573277404,2.7755575615628914e-17,0.186575825739847,0.012137674455644797,-0.046071000007072954,-3.7957023954985862,1.0,0,6.8307716846466064
dinov2_b,dtd,0.11171688827609479,1.3877787807814457e-17,0.18226097245899242,0.010546304014010362,-0.07054408418289763,-6.688986405965779,1.0,0,6.921813249588013
dinov2_l,dtd,0.10201216077699407,1.3877787807814457e-17,0.1826772856713953,0.011283333602040644,-0.08066512489440122,-7.149050780508037,1.0,0,7.109251022338867
dinov2_g,dtd,0.10937109419271562,0.0015851902816283626,0.18262931958170855,0.011059187868789592,-0.07325822538899293,-6.55717804639925,1.0,0,6.953569412231445
clip_b,dtd,0.11979528802337283,1.3877787807814457e-17,0.18152039684700988,0.014510141483515584,-0.06172510882363705,-4.253928805157454,1.0,0,6.878580093383789
clip_l,dtd,0.1307219730309844,0.0012150742496239485,0.18708440253248965,0.013449770495886972,-0.056362429501505246,-4.17358971322504,1.0,0,6.970606088638306
siglip_b,dtd,0.12091829871670065,0.0002797682972900895,0.18325376648030792,0.012599307732770735,-0.062335467763607266,-4.9463118979656215,1.0,0,6.886192083358765
i21k_t,fashionmnist,0.1533356490177405,0.0,0.16494920423233525,0.02710796890492553,-0.011613555214594756,-0.42841849403496135,0.55,0,6.293023347854614
