model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,store_centroids,time_s
i21k_t,cifar100,0.16886612693773034,0.0027071835325949705,0.2077915485582248,0.013209789020069435,-0.03892542162049442,-2.88671360104474,1.0,0,7.173259973526001
i21k_s,cifar100,0.1565304832589991,0.005482901565579968,0.18725743510450074,0.009841372966488396,-0.030726951845501643,-2.7274907798069608,1.0,0,7.587231397628784
i21k_b,cifar100,0.1691518489653338,0.003852999500419518,0.18460217007898844,0.010321000314145744,-0.015450321113654632,-1.4024398535227722,0.9,0,8.158667802810669
i21k_l,cifar100,0.13567005864275186,0.002268764796920949,0.17909006224725582,0.00878746421589665,-0.04342000360450396,-4.784248207470899,1.0,0,8.55949330329895
dinov1_b,cifar100,0.11419533445939305,0.003757323252225307,0.1768644589093693,0.007491839178403327,-0.06266912444997627,-7.477312126323618,1.0,0,8.183672904968263
dinov2_s,cifar100,0.11326184133440935,0.00335544793386342,0.1639717552481455,0.006156340615269716,-0.050709913913736165,-7.232507239646415,1.0,0,7.522301197052003
dinov2_b,cifar100,0.11196180005418092,0.002229551727113432,0.15431531718748406,0.004984626176908077,-0.04235351713330311,-7.756300069205518,1.0,0,8.251586437225344
dinov2_l,cifar100,0.0983998808058492,0.0019029998758363226,0.149806669180043,0.005239375315076314,-0.05140678837419381,-9.222159685966595,1.0,0,7.1431822776794425
dinov2_g,cifar100,0.06984616018097747,0.0024350977219956943,0.1488617027224311,0.005348860016407253,-0.07901554254145363,-13.444706693883624,1.0,0,8.745582818984985
clip_b,cifar100,0.14103894015431093,0.002735440139050829,0.1849194832703378,0.009939575256554112,-0.043880543116026884,-4.256481388738279,1.0,0,6.9616687297821045
clip_l,cifar100,0.1406566097510245,0.0029642402482115892,0.17906874768855413,0.008221314731102856,-0.038412137937529615,-4.395294017812959,1.0,0,8.001544713973999
siglip_b,cifar100,0.14569211362869644,0.0034716955748668693,0.1831696892990087,0.007988916922978144,-0.03747757567031226,-4.3024993205527995,1.0,0,7.920408487319946
i21k_t,cifar10,0.12219879620197655,0.0,0.17277600719474706,0.02722469550923189,-0.05057721099277049,-1.8577695745254441,1.0,0,6.704221248626709
i21k_s,cifar10,0.0859252978448907,1.3877787807814454e-17,0.17599574394925438,0.027337402902602767,-0.09007044610436367,-3.2947696760100116,1.0,0,7.336106300354004
i21k_b,cifar10,0.08912335947310047,0.0,0.17207688732702692,0.029651904183209888,-0.08295352785392644,-2.797578440203449,1.0,0,7.9151861667633066
i21k_l,cifar10,0.08357815749110106,1.3877787807814454e-17,0.1797674757331641,0.02512913465443178,-0.09618931824206303,-3.82780066105854,1.0,0,8.917969703674316
dinov1_b,cifar10,0.08839522628605256,0.0,0.18242045657962366,0.023562913654360192,-0.0940252302935711,-3.990390648321721,1.0,0,7.799573421478271
dinov2_s,cifar10,0.08393180116410727,0.0,0.1791639237415887,0.02578937718809908,-0.09523212257748144,-3.6926879576381486,1.0,0,6.756105899810791
dinov2_b,cifar10,0.045766195304774486,0.0,0.18007702719896526,0.027217191173461133,-0.13431083189419074,-4.9347793105540685,1.0,0,7.85312557220459
dinov2_l,cifar10,0.02745945866246001,0.0,0.1809972365162361,0.02742673349922105,-0.15353777785377604,-5.598106601288726,1.0,0,8.824907064437868
dinov2_g,cifar10,0.02540740300216212,0.0,0.1808528946390292,0.02770019422277376,-0.15544549163686708,-5.611711253239782,1.0,0,9.912586927413939
clip_b,cifar10,0.10510009138196408,0.0,0.17635916324569367,0.02729759367180376,-0.0712590718637296,-2.6104525080294727,1.0,0,7.187390565872192
clip_l,cifar10,0.09893099602982093,0.0,0.17920031306720402,0.024334238938541645,-0.08026931703738308,-3.2986162928748506,1.0,0,7.371188163757324
siglip_b,cifar10,0.08738363341151585,1.3877787807814454e-17,0.17580466490700336,0.02555484296441675,-0.08842103149548751,-3.4600498863799447,1.0,0,7.41413688659668
