model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,store_centroids,time_s
i21k_t,imagenet,0.12265660377499435,0.003726257716344887,0.14263507345629353,0.0067733651894120745,-0.01997846968129917,-2.584308207079486,0.995,199,0.009950248756218905,0,259.0189144611358
i21k_s,imagenet,0.09710775274121362,0.00643771707378804,0.11946560423947747,0.0052926632564079465,-0.02235785149826386,-2.682709611373698,1.0,200,0.0049751243781094535,0,304.03294157981867
i21k_b,imagenet,0.08813706792283382,0.006249006262011937,0.11339471639302437,0.0047371824360276675,-0.02525764847019056,-3.2209739982449914,1.0,200,0.0049751243781094535,0,519.8203573226929
i21k_l,imagenet,0.08417299741796473,0.004392220806412441,0.11456993022472005,0.0048198980146180286,-0.03039693280675533,-4.661414369920504,1.0,200,0.0049751243781094535,0,688.7241055965424
dinov1_b,imagenet,0.11314413824770322,0.005554511413452446,0.11662828923360175,0.003910960056179358,-0.0034841509858985487,-0.5128844800861098,0.81,162,0.19402985074626866,0,498.878078699112
dinov2_s,imagenet,0.118540418659274,0.010082760431329104,0.10728298544430544,0.0026978813364259705,0.011257433214968568,1.0785603597517213,0.0,0,1.0,0,315.8472845554352
dinov2_b,imagenet,0.09264803677029444,0.010022778245263935,0.08562845618018965,0.002064330627314227,0.007019580590104796,0.6859641814782863,0.0,0,1.0,0,488.3020143508911
dinov2_l,imagenet,0.07059325784273303,0.007479214010511662,0.07853980388065301,0.0017177935438881567,-0.007946546037919984,-1.0355227135974858,1.0,200,0.0049751243781094535,0,670.611955165863
dinov2_g,imagenet,0.08081277950780391,0.00775670136192715,0.07604440178212173,0.0017147318997738693,0.004768377725682185,0.6002509296755371,0.005,1,0.9950248756218906,0,968.8556780815125
clip_b,imagenet,0.11952016031417192,0.00527248911176936,0.1441967876290064,0.007330441751462455,-0.024676627314834467,-2.7328453050634685,1.0,200,0.0049751243781094535,0,355.4758229255676
clip_l,imagenet,0.11773132952248234,0.0051828696143681715,0.13527665981589596,0.0067866722451818615,-0.017545330293413597,-2.0546368308892933,1.0,200,0.0049751243781094535,0,442.0534405708313
siglip_b,imagenet,0.11368781032794305,0.00904794161036362,0.12988210061929148,0.006284710857542466,-0.016194290291348418,-1.4700058337340849,0.995,199,0.009950248756218905,0,402.3038532733917
i21k_t,cifar100,0.16886612693773034,0.0027071835325949705,0.20710081751181367,0.012274253312196674,-0.038234690574083324,-3.0419221117700683,1.0,200,0.0049751243781094535,0,243.47270441055298
i21k_s,cifar100,0.1565304832589991,0.005482901565579968,0.1872728126390934,0.01047854003160057,-0.030742329380094306,-2.5994824368931315,0.995,199,0.009950248756218905,0,113.58681869506836
i21k_b,cifar100,0.1691518489653338,0.003852999500419518,0.18480265401529086,0.010892445981357616,-0.015650805049957108,-1.3545988844779449,0.935,187,0.06965174129353234,0,112.02968454360962
i21k_l,cifar100,0.13567005864275186,0.002268764796920949,0.17974710665142005,0.008604868697150941,-0.04407704800866818,-4.953069538307521,1.0,200,0.0049751243781094535,0,114.853506565094
dinov1_b,cifar100,0.11419533445939305,0.003757323252225307,0.17816498748885742,0.0072263923987652785,-0.06396965302946439,-7.854021236317966,1.0,200,0.0049751243781094535,0,109.13019490242004
dinov2_s,cifar100,0.11326184133440935,0.00335544793386342,0.16487921532871735,0.006417566447689684,-0.05161737399430802,-7.127663945480901,1.0,200,0.0049751243781094535,0,115.2885468006134
dinov2_b,cifar100,0.11196180005418092,0.002229551727113432,0.15408855456890946,0.005666675857326116,-0.04212675451472851,-6.9179233675485685,1.0,200,0.0049751243781094535,0,122.36484026908876
dinov2_l,cifar100,0.0983998808058492,0.0019029998758363226,0.14950385517986292,0.005642463107368135,-0.05110397437401372,-8.582082184826927,1.0,200,0.0049751243781094535,0,121.73436212539671
dinov2_g,cifar100,0.06984616018097747,0.0024350977219956943,0.14845821753869984,0.005704277227451181,-0.07861205735772236,-12.674669725606424,1.0,200,0.0049751243781094535,0,125.06202864646912
clip_b,cifar100,0.14103894015431093,0.002735440139050829,0.18468031478492453,0.009712087888339648,-0.043641374630613634,-4.325227903521492,1.0,200,0.0049751243781094535,0,115.01224780082704
clip_l,cifar100,0.1406566097510245,0.0029642402482115892,0.17978746787815264,0.008449482803574012,-0.03913085812712813,-4.370036318401047,1.0,200,0.0049751243781094535,0,123.34292912483215
siglip_b,cifar100,0.14569211362869644,0.0034716955748668693,0.18406498663488408,0.008092930723815355,-0.038372873006187636,-4.357510692948192,1.0,200,0.0049751243781094535,0,122.81012225151062
i21k_t,cifar10,0.12219879620197655,0.0,0.16399785704286005,0.02624284421891401,-0.041799060840883466,-1.5927793684328482,0.955,191,0.04975124378109453,0,99.86915183067322
i21k_s,cifar10,0.0859252978448907,1.3877787807814454e-17,0.16704292315718333,0.026249227056724358,-0.08111762531229262,-3.0902862448863018,1.0,200,0.0049751243781094535,0,100.43683290481569
i21k_b,cifar10,0.08912335947310047,0.0,0.16245188762537713,0.02615708775256089,-0.07332852815227665,-2.8033903791563137,1.0,200,0.0049751243781094535,0,102.49751138687134
i21k_l,cifar10,0.08357815749110106,1.3877787807814454e-17,0.17124535268270696,0.024722180314843457,-0.08766719519160587,-3.5460948053586345,1.0,200,0.0049751243781094535,0,96.82350587844849
dinov1_b,cifar10,0.08839522628605256,0.0,0.1736493293681213,0.02518742113170509,-0.08525410308206874,-3.3847888847482563,1.0,200,0.0049751243781094535,0,90.02764749526978
dinov2_s,cifar10,0.08393180116410727,0.0,0.17917907150466006,0.025050381834957683,-0.09524727034055278,-3.8022282841068593,1.0,200,0.0049751243781094535,0,94.20709371566772
dinov2_b,cifar10,0.045766195304774486,0.0,0.18103902795618587,0.025274094662553655,-0.13527283265141138,-5.352232570839933,1.0,200,0.0049751243781094535,0,94.3841426372528
dinov2_l,cifar10,0.02745945866246001,0.0,0.18007513036288955,0.02507948235484337,-0.15261567170042956,-6.085279972732622,1.0,200,0.0049751243781094535,0,93.67128324508668
dinov2_g,cifar10,0.02540740300216212,0.0,0.180869151832566,0.02514515563023109,-0.15546174883040387,-6.1825725446494335,1.0,200,0.0049751243781094535,0,101.6242573261261
clip_b,cifar10,0.10510009138196408,0.0,0.1668343945688356,0.025666241626480527,-0.061734303186871536,-2.4052724230250626,1.0,200,0.0049751243781094535,0,91.61332011222841
clip_l,cifar10,0.09893099602982093,0.0,0.17073259643260708,0.02468758806559983,-0.07180160040278613,-2.90840888190434,1.0,200,0.0049751243781094535,0,91.37715101242064
siglip_b,cifar10,0.08738363341151585,1.3877787807814454e-17,0.1678687361836071,0.024177903798645442,-0.08048510277209124,-3.3288701718053986,1.0,200,0.0049751243781094535,0,92.42182660102844
i21k_t,dtd,0.1399298739592871,0.0,0.1855474182933607,0.013400943766915028,-0.045617544334073584,-3.4040546044746964,1.0,200,0.0049751243781094535,0,111.21743416786194
i21k_s,dtd,0.12325147231493895,0.0,0.1816560175818187,0.01278239010800505,-0.05840454526687978,-4.569141199211528,1.0,200,0.0049751243781094535,0,102.2087185382843
i21k_b,dtd,0.11773657062183053,0.0,0.1812348965688025,0.01214477398355323,-0.06349832594697202,-5.228448551859682,1.0,200,0.0049751243781094535,0,98.83879113197328
i21k_l,dtd,0.09745994519203148,1.3877787807814454e-17,0.18205654984813244,0.011146622237859671,-0.08459660465610097,-7.589438562721478,1.0,200,0.0049751243781094535,0,98.05768489837645
dinov1_b,dtd,0.12802947844009924,0.0015913018924607696,0.1884066472067603,0.011771687162908058,-0.06037716876666105,-5.0827852080195965,1.0,200,0.0049751243781094535,0,94.67787766456604
dinov2_s,dtd,0.14050482573277406,2.7755575615628914e-17,0.18983721347199303,0.011423930197224671,-0.04933238773921897,-4.318337637532465,1.0,200,0.0049751243781094535,0,98.15551662445068
dinov2_b,dtd,0.1117168882760948,1.3877787807814454e-17,0.18519553206140785,0.010731199484829798,-0.07347864378531302,-6.847197639852508,1.0,200,0.0049751243781094535,0,93.98733758926392
dinov2_l,dtd,0.10201216077699407,1.3877787807814454e-17,0.18495948275216,0.010371889746162323,-0.08294732197516591,-7.997320064634994,1.0,200,0.0049751243781094535,0,94.9093267917633
dinov2_g,dtd,0.10937109419271562,0.0015851902816283626,0.18498345920828754,0.010596535152599151,-0.07561236501557192,-7.057047499357232,1.0,200,0.0049751243781094535,0,101.39452362060548
clip_b,dtd,0.11979528802337285,1.3877787807814454e-17,0.18500482860508669,0.012774730805059531,-0.06520954058171385,-5.104572579790654,1.0,200,0.0049751243781094535,0,85.49631786346436
clip_l,dtd,0.1307219730309844,0.0012150742496239485,0.1896022691887992,0.011844832769758215,-0.05888029615781479,-4.945018357413943,1.0,200,0.0049751243781094535,0,85.90248346328734
siglip_b,dtd,0.12091829871670065,0.00027976829729008953,0.18665792034695933,0.01184405436752914,-0.06573962163025868,-5.548884487650005,1.0,200,0.0049751243781094535,0,82.2996082305908
i21k_t,fashionmnist,0.1533356490177405,0.0,0.15235060425317787,0.025529013469970132,0.000985044764562626,0.03858530474439748,0.475,95,0.527363184079602,0,66.64051580429077
i21k_s,fashionmnist,0.10164670080883054,0.0,0.15175577818819735,0.024221028302021788,-0.05010907737936682,-2.068825351035327,0.99,198,0.01492537313432836,0,65.87269759178162
i21k_b,fashionmnist,0.09840654422505626,0.0,0.1581427723090371,0.025456272144879718,-0.059736228083980825,-2.346621207693059,0.995,199,0.009950248756218905,0,67.26023554801941
i21k_l,fashionmnist,0.09336748126687247,1.3877787807814454e-17,0.16309993817493906,0.025547813037335557,-0.06973245690806656,-2.729488305169589,1.0,200,0.0049751243781094535,0,69.23019528388977
dinov1_b,fashionmnist,0.13503588484727033,0.0,0.15717712525159253,0.02646205661287146,-0.022141240404322197,-0.8367165382584977,0.82,164,0.18407960199004972,0,71.11327338218689
dinov2_s,fashionmnist,0.10671717081770522,1.3877787807814454e-17,0.15578422974539066,0.025646068079391102,-0.04906705892768541,-1.913239049970204,0.98,196,0.02487562189054726,0,68.84261465072632
dinov2_b,fashionmnist,0.08306454514354546,0.0,0.16068459099206506,0.027664045027261063,-0.0776200458485196,-2.8058096989081043,1.0,200,0.0049751243781094535,0,72.69982504844666
dinov2_l,fashionmnist,0.10601734515806413,0.0,0.16406292543412954,0.025180259082898192,-0.05804558027606541,-2.305201868057368,0.995,199,0.009950248756218905,0,75.7384057044983
dinov2_g,fashionmnist,0.10173915569675243,1.3877787807814454e-17,0.16820434329814218,0.02615404447364369,-0.06646518760138974,-2.5412967263387864,1.0,200,0.0049751243781094535,0,78.13032412528993
clip_b,fashionmnist,0.13816459551684931,0.0,0.17494661429583974,0.02972693580482858,-0.036782018778990455,-1.2373296400436908,0.885,177,0.11940298507462685,0,71.25867080688477
clip_l,fashionmnist,0.11607822501778645,1.3877787807814454e-17,0.16348546043006773,0.028516066083253095,-0.04740723541228127,-1.6624745949835829,0.955,191,0.04975124378109453,0,80.54209971427917
siglip_b,fashionmnist,0.11203997664263372,0.0,0.17053848218333542,0.02604380494086888,-0.0584985055407017,-2.246158181322566,1.0,200,0.0049751243781094535,0,74.47514486312865
i21k_t,mnist,0.13427752465995454,0.0,0.16713770542579026,0.02895683175218482,-0.03286018076583569,-1.1347988981341637,0.89,178,0.11442786069651742,0,69.06139850616455
i21k_s,mnist,0.12767443878048385,0.0,0.17147678516425605,0.029622173929362245,-0.0438023463837722,-1.4787012758828686,0.93,186,0.07462686567164177,0,71.2790126800537
