model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,store_centroids,time_s
i21k_t,imagenet,0.10039079115589797,0.00022709055050368373,0.09348748752576795,0.005450396347149713,0.006903303630130017,1.2654711731993846,0.05,1,13.99379301071167
i21k_s,imagenet,0.07896719520461207,0.0003021299350643867,0.08379008461744272,0.004267294221994485,-0.004822889412830655,-1.127376336316775,0.9,1,19.807642221450806
i21k_b,imagenet,0.08138601788576076,0.00019787211548717378,0.08787659603752403,0.00365163423851833,-0.0064905781517632655,-1.7748409742900202,1.0,1,32.4857759475708
i21k_l,imagenet,0.06857185369052046,0.00019671001546362347,0.08247717827752164,0.003155475149728531,-0.01390532458700118,-4.398191428345227,1.0,1,33.72313928604126
dinov1_b,imagenet,0.054348962837057015,0.00033322195488131077,0.07905356346668632,0.002253261393753287,-0.024704600629629307,-10.845972216484437,1.0,0,23.78716230392456
dinov2_s,imagenet,0.053307359689816494,0.00042643000538487993,0.07533679741629477,0.0012701975171344959,-0.02202943772647828,-16.441507556355866,1.0,0,15.779308795928955
dinov2_b,imagenet,0.03495649928507461,0.00016446503830526828,0.06058877837970149,0.0007659664233280453,-0.025632279094626877,-32.7182675422141,1.0,0,24.34510827064514
dinov2_l,imagenet,0.03175137759461159,0.00010293878267148824,0.055199455225319494,0.0005202254482362344,-0.0234480776307079,-44.21561980356291,1.0,0,30.42850947380066
dinov2_g,imagenet,0.03163255894319051,0.00034454542833889504,0.05196043149609084,0.0004000664176006228,-0.020327872552900333,-38.50109198985982,1.0,0,38.739123582839966
clip_b,imagenet,0.08668419602221591,0.0002675039684350675,0.09282949456969442,0.003948733007544648,-0.0061452985474785005,-1.5527121300073068,0.95,0,17.52267837524414
clip_l,imagenet,0.07622853491399023,0.00034640293671771755,0.08769633708001542,0.0037152646001468548,-0.011467802166025193,-3.073341915422061,1.0,0,21.642393112182617
siglip_b,imagenet,0.07583879794088053,0.0002112013024691193,0.08486478709583606,0.003342220001049644,-0.009025989154955533,-2.695221011913019,1.0,0,21.40722393989563
i21k_t,cifar100,0.13091116037629616,0.00018946347045129994,0.1384479202767696,0.00937378401255339,-0.00753675990047345,-0.803861159570118,0.75,0,7.32306694984436
i21k_s,cifar100,0.12201883887540599,0.0003118169999520068,0.1271775237926043,0.008357440501515637,-0.005158684917198314,-0.6168273770129935,0.75,0,8.000556468963623
i21k_b,cifar100,0.12592955120900734,0.00041531548991135056,0.12482522777844765,0.008424028835684945,0.0011043234305596894,0.1309330487760185,0.6,0,7.903218746185303
i21k_l,cifar100,0.09395713512929824,0.00021135002477319726,0.12258904885181879,0.007024435203620301,-0.028631913722520552,-4.074201237560549,1.0,0,8.85126256942749
dinov1_b,cifar100,0.08217579478434547,0.00020743078514805192,0.12284067801205052,0.005798557840741074,-0.04066488322770505,-7.008447612019495,1.0,0,7.930105447769165
dinov2_s,cifar100,0.0672418727517851,0.00028089798370294533,0.11395905372322687,0.004964495808019607,-0.04671718097144177,-9.395229738568908,1.0,0,7.501667022705078
dinov2_b,cifar100,0.049220013861640696,0.0002254516791667539,0.10618101465344151,0.004141194755136716,-0.05696100079180082,-13.734388144584651,1.0,0,8.30958867073059
dinov2_l,cifar100,0.03646468310739012,0.00016461804818072786,0.10325966081909846,0.0037021811080699693,-0.06679497771170834,-18.024251564261338,1.0,0,8.189345836639404
dinov2_g,cifar100,0.030008624669895567,0.00014585741071636364,0.10291469658885025,0.0033944775848754887,-0.07290607191895468,-21.458047238395586,1.0,0,9.791826486587524
clip_b,cifar100,0.1009863390958035,0.00035877607415080425,0.12617199541906987,0.007810345751242894,-0.025185656323266373,-3.2212563655577715,1.0,0,7.5385236740112305
clip_l,cifar100,0.09706439934187909,0.0005306858483585808,0.1231979790622965,0.006866106071064228,-0.02613357972041741,-3.794853803213503,1.0,0,8.429446697235107
siglip_b,cifar100,0.09781604158699787,0.0005469030512733433,0.12643450503599424,0.007114089195865331,-0.028618463448996365,-4.010951951158951,1.0,0,8.302720308303833
i21k_t,cifar10,0.12219879620197657,0.0,0.17277600719474706,0.02722469550923189,-0.05057721099277049,-1.857769574525444,1.0,0,6.595715761184692
i21k_s,cifar10,0.0859252978448907,1.3877787807814457e-17,0.17599574394925438,0.027337402902602774,-0.09007044610436368,-3.294769676010011,1.0,0,6.763748407363892
i21k_b,cifar10,0.08912335947310047,0.0,0.17207688732702692,0.029651904183209888,-0.08295352785392644,-2.797578440203449,1.0,0,7.240556955337524
i21k_l,cifar10,0.08357815749110106,1.3877787807814457e-17,0.1797674757331641,0.02512913465443178,-0.09618931824206303,-3.8278006610585398,1.0,0,8.191521167755127
dinov1_b,cifar10,0.08839522628605256,0.0,0.18242045657962366,0.023562913654360192,-0.0940252302935711,-3.990390648321721,1.0,0,7.159648418426514
dinov2_s,cifar10,0.08393180116410728,0.0,0.1791639237415887,0.025789377188099073,-0.09523212257748143,-3.6926879576381486,1.0,0,6.765160322189331
dinov2_b,cifar10,0.04576619530477449,0.0,0.18007702719896526,0.027217191173461126,-0.13431083189419077,-4.9347793105540685,1.0,0,7.250083684921265
dinov2_l,cifar10,0.027459458662460006,0.0,0.18099723651623603,0.02742673349922105,-0.15353777785377604,-5.598106601288727,1.0,0,8.402294158935547
dinov2_g,cifar10,0.025407403002162116,0.0,0.1808528946390292,0.02770019422277376,-0.15544549163686708,-5.611711253239782,1.0,0,9.068905353546143
clip_b,cifar10,0.10510009138196408,0.0,0.17635916324569367,0.02729759367180376,-0.0712590718637296,-2.6104525080294727,1.0,0,6.984698534011841
clip_l,cifar10,0.09893099602982094,0.0,0.17920031306720402,0.024334238938541645,-0.08026931703738308,-3.2986162928748506,1.0,0,7.381205081939697
siglip_b,cifar10,0.08738363341151585,1.3877787807814457e-17,0.17580466490700336,0.02555484296441675,-0.08842103149548751,-3.460049886379945,1.0,0,7.20479416847229
i21k_t,dtd,0.1105465467483246,0.0002472334637240465,0.1346892841935227,0.011555560037123441,-0.024142737445198084,-2.0887965223730864,1.0,0,7.14855694770813
i21k_s,dtd,0.09584507552385388,0.0003461725965027012,0.13097146299803136,0.010270592635983126,-0.035126387474177484,-3.4181525037495146,1.0,0,7.180230617523193
i21k_b,dtd,0.08885700661181575,0.00044942660245905384,0.13039037583729648,0.009410469014557037,-0.04153336922548073,-4.408503394101985,1.0,0,7.142361640930176
i21k_l,dtd,0.07733017339604878,0.0003670979005732898,0.1310428782349951,0.009137264364149933,-0.05371270483894633,-5.873684526376521,1.0,0,7.358078241348267
