model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,store_centroids,time_s
i21k_t,imagenet,0.08783908467353604,0.0003035147351940353,0.0934364946740071,0.004346583810643232,-0.005597410000471051,-1.284644095064546,0.89,178,0.11442786069651742,0,202.08386015892032
i21k_s,imagenet,0.06289278478250815,0.00026560569479597545,0.07707640376334055,0.00325845207950184,-0.014183618980832396,-4.3384808912160615,1.0,200,0.0049751243781094535,0,232.1256091594696
i21k_b,imagenet,0.05393620095877087,0.00019941582908156085,0.07282920365652479,0.0027445827739038474,-0.01889300269775392,-6.865644451027068,1.0,200,0.0049751243781094535,0,289.85044050216675
i21k_l,imagenet,0.05545452090601352,0.00017080526901697715,0.07372977124270882,0.003311745178370976,-0.01827525033669531,-5.510989300288641,1.0,200,0.0049751243781094535,0,409.4798066616058
dinov1_b,imagenet,0.0552455916591852,0.0003731814462132311,0.07839950494350449,0.0021082202682485974,-0.023153913284319292,-10.81456033068814,1.0,200,0.0049751243781094535,0,277.61014127731323
dinov2_s,imagenet,0.05293377280502317,0.00023910565046815884,0.07313170411556003,0.0010176166971039547,-0.020197931310536852,-19.32205829165413,1.0,200,0.0049751243781094535,0,179.72498774528503
dinov2_b,imagenet,0.033561652366344834,0.00016182450755775234,0.05796002458200901,0.0006719535525163522,-0.024398372215664186,-35.300369828720775,1.0,200,0.0049751243781094535,0,354.83640575408936
dinov2_l,imagenet,0.029723104229456367,0.00011737536245415696,0.053076572258116086,0.0005758338325591705,-0.02335346802865972,-39.73876562920195,1.0,200,0.0049751243781094535,0,394.7696170806885
dinov2_g,imagenet,0.03264781036605507,0.0004987619777615,0.051341685595109016,0.0005306079080969852,-0.018693875229053955,-25.670548174811675,1.0,200,0.0049751243781094535,0,551.0625610351561
clip_b,imagenet,0.08431129786955477,0.00026180391642323636,0.09180113012985952,0.0046436638914683385,-0.007489832260304752,-1.6103570990379412,0.955,191,0.04975124378109453,0,200.05440139770508
clip_l,imagenet,0.07603490956647023,0.00028942422421858796,0.08635422421008371,0.0038450171333291572,-0.010319314643613492,-2.6762439652083465,0.995,199,0.009950248756218905,0,240.02349066734314
siglip_b,imagenet,0.07474222652776473,0.00034010496388139314,0.08363071755568545,0.003849604128481008,-0.008888491027920734,-2.299977734383248,0.99,198,0.01492537313432836,0,204.0319254398346
i21k_t,cifar100,0.13091116037629616,0.00018946347045129994,0.1384915093497338,0.008976209337305405,-0.0075803489734376514,-0.844305281057422,0.8,160,0.20398009950248755,0,91.75642776489258
i21k_s,cifar100,0.122018838875406,0.00031181699995200686,0.12675919184956352,0.007445343515158156,-0.004740352974157536,-0.6361292975987924,0.745,149,0.25870646766169153,0,99.44421768188477
i21k_b,cifar100,0.12592955120900734,0.00041531548991135056,0.12465055763741033,0.007689519251199116,0.0012789935715970258,0.16608738429138434,0.445,89,0.5572139303482587,0,106.52585577964784
i21k_l,cifar100,0.09395713512929824,0.0002113500247731973,0.12268582036164533,0.006032665626060005,-0.028728685232347083,-4.759267698925839,1.0,200,0.0049751243781094535,0,103.30826592445374
dinov1_b,cifar100,0.08217579478434547,0.00020743078514805192,0.12332637285877285,0.005336772132043501,-0.04115057807442739,-7.704943805926943,1.0,200,0.0049751243781094535,0,89.32063388824463
dinov2_s,cifar100,0.0672418727517851,0.00028089798370294533,0.11454433455731555,0.004535966022931373,-0.04730246180553045,-10.408371832903669,1.0,200,0.0049751243781094535,0,88.01017165184021
dinov2_b,cifar100,0.049220013861640696,0.00022545167916675392,0.10709571696181873,0.003775758226252844,-0.057875703100178026,-15.300981149867,1.0,200,0.0049751243781094535,0,89.43602252006531
dinov2_l,cifar100,0.036464683107390115,0.00016461804818072786,0.10412426883141793,0.003299623714466527,-0.06765958572402779,-20.479771589500228,1.0,200,0.0049751243781094535,0,91.93933200836182
dinov2_g,cifar100,0.030008624669895567,0.00014585741071636364,0.10363788294693824,0.003121900554442012,-0.07362925827704267,-23.559055911798325,1.0,200,0.0049751243781094535,0,96.55086469650269
clip_b,cifar100,0.1009863390958035,0.00035877607415080425,0.12618862196026656,0.006812185278024837,-0.025202282864463063,-3.6944682838556746,1.0,200,0.0049751243781094535,0,91.03406691551208
clip_l,cifar100,0.09706439934187908,0.0005306858483585809,0.12340605514880774,0.005978037722670811,-0.026341655806928654,-4.389144538341174,1.0,200,0.0049751243781094535,0,92.20355892181395
siglip_b,cifar100,0.09781604158699787,0.0005469030512733434,0.12667789139655194,0.006004157331893936,-0.028861849809554068,-4.787159300708514,1.0,200,0.0049751243781094535,0,92.17659378051758
i21k_t,cifar10,0.12219879620197655,0.0,0.16399785704286005,0.02624284421891401,-0.041799060840883466,-1.5927793684328482,0.955,191,0.04975124378109453,0,80.37511587142943
i21k_s,cifar10,0.0859252978448907,1.3877787807814454e-17,0.16704292315718333,0.026249227056724358,-0.08111762531229262,-3.0902862448863018,1.0,200,0.0049751243781094535,0,81.484370470047
i21k_b,cifar10,0.08912335947310047,0.0,0.16245188762537713,0.02615708775256089,-0.07332852815227665,-2.8033903791563137,1.0,200,0.0049751243781094535,0,80.013947725296
i21k_l,cifar10,0.08357815749110106,1.3877787807814454e-17,0.17124535268270696,0.024722180314843457,-0.08766719519160587,-3.5460948053586345,1.0,200,0.0049751243781094535,0,72.7184944152832
dinov1_b,cifar10,0.08839522628605256,0.0,0.1736493293681213,0.02518742113170509,-0.08525410308206874,-3.3847888847482563,1.0,200,0.0049751243781094535,0,73.07966661453247
dinov2_s,cifar10,0.08393180116410727,0.0,0.17917907150466006,0.025050381834957683,-0.09524727034055278,-3.8022282841068593,1.0,200,0.0049751243781094535,0,72.48579287528993
dinov2_b,cifar10,0.045766195304774486,0.0,0.18103902795618587,0.025274094662553655,-0.13527283265141138,-5.352232570839933,1.0,200,0.0049751243781094535,0,65.90989995002747
dinov2_l,cifar10,0.02745945866246001,0.0,0.18007513036288955,0.02507948235484337,-0.15261567170042956,-6.085279972732622,1.0,200,0.0049751243781094535,0,68.34146475791931
dinov2_g,cifar10,0.02540740300216212,0.0,0.180869151832566,0.02514515563023109,-0.15546174883040387,-6.1825725446494335,1.0,200,0.0049751243781094535,0,65.84860515594482
clip_b,cifar10,0.10510009138196408,0.0,0.1668343945688356,0.025666241626480527,-0.061734303186871536,-2.4052724230250626,1.0,200,0.0049751243781094535,0,60.94480705261231
clip_l,cifar10,0.09893099602982093,0.0,0.17073259643260708,0.02468758806559983,-0.07180160040278613,-2.90840888190434,1.0,200,0.0049751243781094535,0,61.92388868331909
siglip_b,cifar10,0.08738363341151585,1.3877787807814454e-17,0.1678687361836071,0.024177903798645442,-0.08048510277209124,-3.3288701718053986,1.0,200,0.0049751243781094535,0,60.451157569885254
