model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,store_centroids,time_s
i21k_t,cifar100,0.13091116037629616,0.00018946347045129994,0.1384915093497338,0.008976209337305405,-0.007580348973437651,-0.844305281057422,0.8,160,0.20398009950248755,0,91.75642776489258
i21k_s,cifar100,0.12201883887540599,0.0003118169999520068,0.12675919184956352,0.007445343515158156,-0.004740352974157536,-0.6361292975987924,0.745,149,0.25870646766169153,0,99.44421768188477
i21k_b,cifar100,0.12592955120900734,0.00041531548991135056,0.12465055763741031,0.007689519251199116,0.0012789935715970258,0.16608738429138434,0.445,89,0.5572139303482587,0,106.52585577964783
i21k_l,cifar100,0.09395713512929824,0.00021135002477319726,0.12268582036164531,0.006032665626060005,-0.028728685232347076,-4.7592676989258385,1.0,200,0.004975124378109453,0,103.30826592445374
dinov1_b,cifar100,0.08217579478434547,0.00020743078514805192,0.12332637285877286,0.005336772132043501,-0.04115057807442739,-7.704943805926944,1.0,200,0.004975124378109453,0,89.32063388824463
dinov2_s,cifar100,0.0672418727517851,0.00028089798370294533,0.11454433455731555,0.004535966022931373,-0.04730246180553045,-10.408371832903667,1.0,200,0.004975124378109453,0,88.01017165184021
dinov2_b,cifar100,0.049220013861640696,0.0002254516791667539,0.10709571696181872,0.003775758226252844,-0.05787570310017802,-15.300981149867,1.0,200,0.004975124378109453,0,89.43602252006531
dinov2_l,cifar100,0.03646468310739012,0.00016461804818072786,0.10412426883141791,0.003299623714466527,-0.06765958572402779,-20.479771589500224,1.0,200,0.004975124378109453,0,91.93933200836182
dinov2_g,cifar100,0.030008624669895567,0.00014585741071636364,0.10363788294693825,0.003121900554442012,-0.07362925827704268,-23.559055911798325,1.0,200,0.004975124378109453,0,96.55086469650269
clip_b,cifar100,0.1009863390958035,0.00035877607415080425,0.12618862196026656,0.006812185278024837,-0.025202282864463063,-3.6944682838556746,1.0,200,0.004975124378109453,0,91.03406691551208
clip_l,cifar100,0.09706439934187909,0.0005306858483585808,0.12340605514880774,0.005978037722670811,-0.026341655806928654,-4.389144538341174,1.0,200,0.004975124378109453,0,92.20355892181396
siglip_b,cifar100,0.09781604158699787,0.0005469030512733433,0.12667789139655194,0.006004157331893936,-0.02886184980955407,-4.787159300708515,1.0,200,0.004975124378109453,0,92.17659378051758
i21k_t,cifar10,0.12219879620197657,0.0,0.16399785704286005,0.026242844218914006,-0.04179906084088347,-1.5927793684328482,0.955,191,0.04975124378109453,0,80.37511587142944
i21k_s,cifar10,0.0859252978448907,1.3877787807814457e-17,0.16704292315718333,0.02624922705672436,-0.08111762531229263,-3.0902862448863018,1.0,200,0.004975124378109453,0,81.484370470047
i21k_b,cifar10,0.08912335947310047,0.0,0.16245188762537713,0.026157087752560895,-0.07332852815227665,-2.8033903791563137,1.0,200,0.004975124378109453,0,80.01394772529602
i21k_l,cifar10,0.08357815749110106,1.3877787807814457e-17,0.17124535268270694,0.024722180314843457,-0.08766719519160587,-3.5460948053586345,1.0,200,0.004975124378109453,0,72.7184944152832
dinov1_b,cifar10,0.08839522628605256,0.0,0.1736493293681213,0.025187421131705093,-0.08525410308206874,-3.384788884748256,1.0,200,0.004975124378109453,0,73.07966661453247
dinov2_s,cifar10,0.08393180116410728,0.0,0.17917907150466006,0.02505038183495768,-0.09524727034055278,-3.8022282841068593,1.0,200,0.004975124378109453,0,72.48579287528992
dinov2_b,cifar10,0.04576619530477449,0.0,0.18103902795618587,0.025274094662553655,-0.13527283265141138,-5.352232570839933,1.0,200,0.004975124378109453,0,65.90989995002747
dinov2_l,cifar10,0.027459458662460006,0.0,0.18007513036288955,0.025079482354843367,-0.15261567170042956,-6.085279972732623,1.0,200,0.004975124378109453,0,68.34146475791931
dinov2_g,cifar10,0.025407403002162116,0.0,0.180869151832566,0.025145155630231092,-0.15546174883040387,-6.1825725446494335,1.0,200,0.004975124378109453,0,65.84860515594482
clip_b,cifar10,0.10510009138196408,0.0,0.16683439456883561,0.025666241626480527,-0.061734303186871536,-2.4052724230250626,1.0,200,0.004975124378109453,0,60.944807052612305
clip_l,cifar10,0.09893099602982094,0.0,0.17073259643260708,0.02468758806559983,-0.07180160040278613,-2.90840888190434,1.0,200,0.004975124378109453,0,61.92388868331909
siglip_b,cifar10,0.08738363341151585,1.3877787807814457e-17,0.1678687361836071,0.02417790379864544,-0.08048510277209124,-3.3288701718053986,1.0,200,0.004975124378109453,0,60.451157569885254
i21k_t,dtd,0.1105465467483246,0.0002472334637240465,0.13694875333498538,0.00878499767847574,-0.026402206586660773,-3.0041849002448044,1.0,200,0.004975124378109453,0,63.79232215881348
i21k_s,dtd,0.09584507552385388,0.0003461725965027012,0.13338158572316017,0.007782884439351645,-0.03753651019930629,-4.818192435427818,1.0,200,0.004975124378109453,0,63.91937041282654
i21k_b,dtd,0.08885700661181575,0.00044942660245905384,0.13278522587336516,0.00721123433194069,-0.04392821926154941,-6.079840511515654,1.0,200,0.004975124378109453,0,64.07486724853516
i21k_l,dtd,0.07733017339604878,0.0003670979005732898,0.13349821774601725,0.006927264965527073,-0.05616804434996847,-8.096895757943514,1.0,200,0.004975124378109453,0,64.39769148826599
dinov1_b,dtd,0.095200424225416,0.0003949681991277883,0.13890433524308338,0.007626437351679601,-0.04370391101766738,-5.722910543766983,1.0,200,0.004975124378109453,0,64.17208576202393
dinov2_s,dtd,0.10531931977064338,0.00042696525002554325,0.14025871668337686,0.007024811895596569,-0.034939396912733484,-4.964551340518532,1.0,200,0.004975124378109453,0,63.67337894439697
dinov2_b,dtd,0.07665548771119285,0.00038836079159903727,0.1363537233560432,0.006146031054659884,-0.059698235644850356,-9.69396481506778,1.0,200,0.004975124378109453,0,64.2703959941864
dinov2_l,dtd,0.06926402629604358,0.00039434552188302675,0.1364136483798762,0.0058617473801695465,-0.06714962208383263,-11.429728580501328,1.0,200,0.004975124378109453,0,64.38684892654419
dinov2_g,dtd,0.07308887946938485,0.0002303184640741918,0.13651595322966195,0.006045261920627091,-0.0634270737602771,-10.484424225664702,1.0,200,0.004975124378109453,0,64.8613646030426
clip_b,dtd,0.09882658147110926,0.00018551046647280768,0.13655433205369008,0.008543270432882052,-0.03772775058258082,-4.415037492485742,1.0,200,0.004975124378109453,0,63.85534191131592
clip_l,dtd,0.09791602685789025,0.00023660329674651888,0.13978754946486963,0.007817146722617714,-0.04187152260697938,-5.3539172172175205,1.0,200,0.004975124378109453,0,63.337066650390625
siglip_b,dtd,0.0961696797036115,0.00023303961698772178,0.1372836500673114,0.00757696633654721,-0.04111397036369992,-5.42361367542896,1.0,200,0.004975124378109453,0,61.55608892440796
i21k_t,fashionmnist,0.1533356490177405,0.0,0.15235060425317787,0.025529013469970135,0.000985044764562626,0.03858530474439748,0.475,95,0.527363184079602,0,58.59598422050476
i21k_s,fashionmnist,0.10164670080883054,0.0,0.15175577818819735,0.024221028302021788,-0.05010907737936682,-2.068825351035327,0.99,198,0.014925373134328358,0,56.25868797302246
i21k_b,fashionmnist,0.09840654422505626,0.0,0.1581427723090371,0.02545627214487972,-0.059736228083980825,-2.346621207693059,0.995,199,0.009950248756218905,0,56.24427390098572
i21k_l,fashionmnist,0.09336748126687247,1.3877787807814457e-17,0.16309993817493904,0.025547813037335554,-0.06973245690806656,-2.7294883051695895,1.0,200,0.004975124378109453,0,59.79737997055054
dinov1_b,fashionmnist,0.13503588484727033,0.0,0.15717712525159253,0.02646205661287146,-0.022141240404322193,-0.8367165382584977,0.82,164,0.18407960199004975,0,57.4472222328186
dinov2_s,fashionmnist,0.10671717081770522,1.3877787807814457e-17,0.15578422974539063,0.025646068079391106,-0.04906705892768541,-1.9132390499702039,0.98,196,0.024875621890547265,0,55.42147707939148
dinov2_b,fashionmnist,0.08306454514354546,0.0,0.16068459099206506,0.027664045027261063,-0.0776200458485196,-2.8058096989081043,1.0,200,0.004975124378109453,0,56.24285626411438
dinov2_l,fashionmnist,0.10601734515806413,0.0,0.16406292543412954,0.02518025908289819,-0.058045580276065406,-2.3052018680573676,0.995,199,0.009950248756218905,0,56.94061231613159
dinov2_g,fashionmnist,0.10173915569675245,1.3877787807814457e-17,0.16820434329814218,0.02615404447364369,-0.06646518760138974,-2.5412967263387864,1.0,200,0.004975124378109453,0,62.00738573074341
clip_b,fashionmnist,0.13816459551684931,0.0,0.17494661429583977,0.029726935804828585,-0.036782018778990455,-1.2373296400436908,0.885,177,0.11940298507462686,0,57.4123318195343
clip_l,fashionmnist,0.11607822501778646,1.3877787807814457e-17,0.16348546043006773,0.028516066083253095,-0.04740723541228127,-1.6624745949835829,0.955,191,0.04975124378109453,0,56.09245419502258
