reference,seed,xi,frac_neg
gaussian,0,0.09306669212342569,0.0
gauss_lognorm_r0.3,0,-0.05134785046411931,0.9875025095362377
gauss_lognorm_r0.6,0,-0.0785843637309963,0.9982431482782853
gauss_lognorm_r1.0,0,-0.05392307566981247,0.9920148654077943
core_shell,0,-0.3183053472474524,0.7830212360058236
sphere,0,0.11532768226003251,0.0
sphere_radial_jitter,0,-0.0668627422882067,0.9995982927441627
gaussian,1,0.09279824779326135,0.0
gauss_lognorm_r0.3,1,-0.06526729768847593,0.9971391286890182
gauss_lognorm_r0.6,1,-0.05994449066634939,0.9983440385387394
gauss_lognorm_r1.0,1,-0.058623379857954835,0.991271194943313
core_shell,1,-0.3251190030720184,0.7968585336478146
sphere,1,0.11541320868894547,0.0
sphere_radial_jitter,1,-0.046527743217457854,0.989109705911874
gaussian,2,0.09036386803909466,5.023358617571708e-05
gauss_lognorm_r0.3,2,-0.072077525657215,0.9992466475817388
gauss_lognorm_r0.6,2,-0.05110389442629163,0.9980927524593455
gauss_lognorm_r1.0,2,-0.04167844829839746,0.9890545764924437
core_shell,2,-0.3167008314383796,0.7886362495608091
sphere,2,0.1153020201337712,0.0
sphere_radial_jitter,2,-0.05391594575930081,0.9963333165904867
gaussian,3,0.09174472949318012,0.0
gauss_lognorm_r0.3,3,-0.053873713744625615,0.9892537913026012
gauss_lognorm_r0.6,3,-0.04529943048364106,0.9957329317269076
gauss_lognorm_r1.0,3,-0.043155324191972565,0.9888001607151825
core_shell,3,-0.32481105781580727,0.7938636135382143
sphere,3,0.11516814737505153,0.0
sphere_radial_jitter,3,-0.05367597400788007,0.9969871955812202
gaussian,4,0.09129941402110045,0.0
gauss_lognorm_r0.3,4,-0.06785161029240046,0.9982423542409481
gauss_lognorm_r0.6,4,-0.06847743892389134,0.9970357717041801
gauss_lognorm_r1.0,4,-0.05071402111475127,0.9888531833701546
core_shell,4,-0.32381340300107075,0.7884905091895149
sphere,4,0.11560494538740544,0.0
sphere_radial_jitter,4,-0.06446818342696287,0.9971366855879841
