model,kind,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,time_s
gpt2,causal,768,0.13057019679209117,0.005235770620381964,0.09365755860023733,0.006012708888119691,0.036912638191853836,4.629805786008615,0.0,79.57776975631714
gpt2_m,causal,1024,0.09960827051767733,0.002582667973536659,0.11239440184225127,0.009397298476775036,-0.012786131324573943,-1.3119716992920043,0.95,168.9436011314392
gpt2_l,causal,1280,0.09094921337600172,0.0025327495004577824,0.11965805458346171,0.006331649370952572,-0.028708841207459992,-4.209860342680103,1.0,73.08964443206787
gpt2_xl,causal,1600,0.08013685919846276,0.004437178444207813,0.1164811152779012,0.006168683422210026,-0.03634425607943843,-4.782917085251364,1.0,124.1907274723053
pythia_410m,causal,1024,0.0983878774755619,0.005186282485002587,0.1345214624368874,0.006119559802046592,-0.0361335849613255,-4.50451936538056,1.0,138.51233315467834
pythia_1b,causal,2048,0.09623113575748798,0.003899169252791591,0.1281358812551308,0.006198794426943234,-0.03190474549764283,-4.356695060412233,1.0,276.32027316093445
pythia_2b8,causal,2560,0.0980148708763057,0.004496108499889059,0.13417918129153225,0.007207609682441544,-0.03616431041522655,-4.257140629285206,1.0,542.4823062419891
olmo_1b,causal,2048,0.08164152031797628,0.0036757860325395387,0.12105848329833784,0.005853482551733548,-0.039416962980361556,-5.702750256422817,1.0,434.6675612926483
bge_base,embed,768,0.12131534384554106,0.00574149569874797,0.11765628921519652,0.005663639921425315,0.0036590546303445354,0.45370474245220843,0.25,46.56852746009827
bge_large,embed,1024,0.12051413166295008,0.007566507666432364,0.11766408542436294,0.0039192100778609055,0.002850046238587145,0.3344621453277111,0.25,103.50363159179688
gte_base,embed,768,0.12423773344404239,0.010938172815128235,0.11295690931493356,0.0042795115723290485,0.01128082412910883,0.9604342289053597,0.0,40.807554483413696
gte_large,embed,1024,0.12025216314809277,0.011574562405994086,0.11337079830599232,0.0036753012404076323,0.006881364842100446,0.566644232397366,0.05,88.05073475837708
gte_qwen2,embed,1536,0.12500214265545267,0.004273612590436578,0.12697635496578022,0.006259865959803261,-0.0019742123103275444,-0.2604653905748837,0.55,536.6455647945404
e5_base,embed,768,0.11521564290678994,0.007467614096819342,0.11280234331845748,0.005474525268758245,0.00241329958833246,0.2606336116424628,0.45,47.60418486595154
e5_large,embed,1024,0.11386096013564476,0.009794376217243468,0.10914040740807673,0.00473241740594167,0.004720552727568023,0.4339638285627084,0.15,106.23940300941467
