model,dataset,delta,excess_gauss,z_gauss,excess_haar,z_haar,excess_pcperm,z_pcperm,time_s
i21k_t,cifar100,0.16871586469297126,-0.04449367365892312,-3.4886358202003867,-0.030722565809522123,-3.6484160800233196,-0.055041640264141295,-6.3392761379925675,10.474884748458862
i21k_s,cifar100,0.15589904860185166,-0.03449230174395215,-2.9840235002240214,-0.025292225145899655,-1.8762340659366894,-0.04880874687013276,-4.4977765159892975,11.339351892471313
i21k_b,cifar100,0.16893534587802644,-0.017988224012660897,-1.5316039621450765,-0.011343155480027761,-1.0237066800396912,-0.03878862601675792,-3.1764684257358375,13.817994117736816
i21k_l,cifar100,0.13647886945306165,-0.04690821662176897,-4.151214853544618,-0.03406769369456561,-3.2990956714739847,-0.05053628152312489,-5.549215202437138,12.820194959640503
dinov1_b,cifar100,0.11278932667331047,-0.06770120745192644,-7.289739041409801,-0.0556544426827338,-5.773430368100835,-0.06776780213692289,-10.445852687252906,14.744187116622925
dinov2_s,cifar100,0.11510543216304576,-0.04988298668157949,-7.338117141377498,-0.028690639633259393,-4.126275244510038,-0.05138194816617968,-5.978400671637227,12.727841854095459
dinov2_b,cifar100,0.11268454332987925,-0.04248248464521369,-7.995699499126279,-0.006608476931335247,-1.0756682996703155,-0.040914969137578125,-4.867367114264118,18.067023992538452
dinov2_l,cifar100,0.09781946085323592,-0.05253173728747135,-8.810717894376511,-0.007523818097317919,-1.9250741776321885,-0.04444554303717496,-5.321725656349327,17.334184408187866
dinov2_g,cifar100,0.07071219482059443,-0.07952619422237966,-12.191767599929051,-0.03153362669303246,-9.377064521877069,-0.07430194410111635,-9.059314741518817,12.637484550476074
clip_b,cifar100,0.141512957245601,-0.04634419158388928,-4.290953030180831,-0.03566226974070599,-3.36173188212365,-0.053121082931276375,-6.535120485979114,12.014327049255371
clip_l,cifar100,0.14038071506899769,-0.04220863948646103,-3.7489493782854386,-0.030793949737318443,-2.887006201625336,-0.05150532908687752,-9.32813135294505,10.270880937576294
siglip_b,cifar100,0.14490339842017305,-0.04164858900994933,-4.280671166226525,-0.03183847197527723,-3.1369651584670804,-0.04611855651992253,-5.165595162515908,12.995955228805542
i21k_t,imagenet,0.13702883450234649,-0.004682673709730717,-0.4652177924948541,-0.013789812947130858,-1.7247247068977256,-0.038000578576115246,-7.550056767664004,25.39795732498169
i21k_s,imagenet,0.10993565190094878,-0.022678017529259936,-2.9420279910634894,-0.02507998276752174,-3.1422023900827782,-0.052029858493436554,-14.904002436817617,33.65612769126892
i21k_b,imagenet,0.11335388479981415,-0.026862818926304433,-3.1747776995512615,-0.02517777722377998,-2.6126908627959144,-0.054427859398427814,-7.16447472250742,55.957114696502686
i21k_l,imagenet,0.10023330425134236,-0.027650984234000975,-4.045607232211268,-0.0285183666418998,-3.443204344966547,-0.040236216856953944,-6.193376425817486,89.78735446929932
dinov1_b,imagenet,0.11216564181042574,-0.0046280494065188416,-0.8299794461387737,-0.0023089953104382666,-0.449069060374445,-0.008024821307388894,-1.5449785802553977,54.193523645401
dinov2_s,imagenet,0.12015000232416692,0.010161977572688788,0.6143590597052071,0.014899874469324809,0.9071133023303533,0.012736805910801327,0.7675600645168802,26.500231742858887
dinov2_b,imagenet,0.09446825880373057,0.003978199879785552,0.47684075930222075,0.014794917496111878,1.877593080713251,0.006056395131212158,0.769453012712398,46.28533720970154
dinov2_l,imagenet,0.0693094285979447,-0.01312836939389575,-2.0156302816861427,0.0004827165072835704,0.07622604079586207,-0.010961202968477496,-1.622141938033971,73.32960057258606
dinov2_g,imagenet,0.07720847153984074,-0.000357914346961849,-0.05338330845693391,0.016109167805407915,2.561724120692815,0.000990487562605849,0.13748083566572547,88.24625325202942
clip_b,imagenet,0.11976031030145932,-0.027985689560651714,-3.1308307456293027,-0.028028513385573148,-4.50546326408535,-0.047960852709163046,-6.081212400980726,28.619728803634644
clip_l,imagenet,0.12136953074305856,-0.015674023182186997,-1.8365974127471691,-0.016820170972933368,-2.1724031360131257,-0.028571084039744843,-4.221607554376009,39.03509259223938
siglip_b,imagenet,0.11167919976810037,-0.018968474881905423,-2.7603708412510737,-0.019650973906617908,-2.4713822765608273,-0.04449472833424481,-7.708960148269021,37.14321517944336
i21k_t,cifar10,0.12219879620197657,-0.05705384520775436,-1.8607243303969718,-0.027159468358079808,-1.5920784485713129,-0.05045842402911113,-2.0100370812452857,6.482926368713379
i21k_s,cifar10,0.08592529784489071,-0.0978378006358979,-3.2780553634290226,-0.0630131139710731,-3.293154460910147,-0.09041071464963445,-5.544641601968313,7.833319664001465
i21k_b,cifar10,0.08912335947310047,-0.08968013367749957,-2.784556395877772,-0.0544889598743588,-2.5872612916213087,-0.07829878972902198,-3.156827509280607,7.824207782745361
i21k_l,cifar10,0.08357815749110105,-0.10365530461607052,-4.005914214482617,-0.06614150342306567,-2.6688515013177136,-0.09574809357088564,-5.156509470388512,8.46746277809143
dinov1_b,cifar10,0.08839522628605256,-0.09950639505725709,-3.9186079484751333,-0.07023438514491917,-3.7109269205427418,-0.09720792887308058,-3.4253187514113437,7.786665439605713
dinov2_s,cifar10,0.08393180116410728,-0.0934499523149688,-2.9401332079666695,-0.08338127340421872,-3.865727999016434,-0.09816052919457399,-4.1147225748857235,6.8711793422698975
dinov2_b,cifar10,0.04576619530477449,-0.13156525305388364,-3.7817455876079746,-0.12043529049853596,-5.0486535062505675,-0.12429275924657676,-4.602968547546423,8.75568437576294
dinov2_l,cifar10,0.027459458662460006,-0.15276315641928798,-4.58264516937625,-0.1362696130913611,-5.893705150058438,-0.1218868146066512,-6.541050166863689,9.305159091949463
dinov2_g,cifar10,0.025407403002162116,-0.1548592013612099,-4.610857409752742,-0.1379655718834729,-5.768547385978122,-0.11020885502507886,-8.17128823792349,19.625823736190796
clip_b,cifar10,0.10510009138196408,-0.07885829291637611,-2.6536601054904847,-0.045202774516443,-2.386011238186284,-0.07513494740030152,-3.7409959626299223,7.21493124961853
clip_l,cifar10,0.09893099602982094,-0.08741294896606477,-3.5056734576460093,-0.04905213791488172,-1.97042897764244,-0.08166003673881617,-4.3745722336678075,8.221315383911133
siglip_b,cifar10,0.08738363341151584,-0.09649213084406699,-3.721721246330784,-0.05584197534103022,-2.0709031645739153,-0.08068936717720984,-8.575563376536762,7.69695782661438
